seqnames	start	end	width	strand	closest_gene	strand_gene	collision	reassigned	reassigned.to	CD13_BM_01	CD13_BM_03	CD13_BM_06	CD13_BM_12	CD13_BM_18	CD13_BM_24	CD13_BM_30	CD13_BM_36	CD14_PB_01	CD14_PB_03	CD14_PB_06	CD14_PB_09	CD14_PB_12	CD14_PB_18	CD14_PB_24	CD14_PB_30	CD14_PB_36	CD15_BM_01	CD15_BM_03	CD15_BM_06	CD15_BM_12	CD15_BM_18	CD15_BM_24	CD15_BM_30	CD15_BM_36	CD15_PB_01	CD15_PB_03	CD15_PB_06	CD15_PB_09	CD15_PB_18	CD15_PB_30	CD15_PB_36	CD19_BM_01	CD19_BM_03	CD19_BM_06	CD19_BM_12	CD19_BM_18	CD19_BM_24	CD19_BM_30	CD19_BM_36	CD19_PB_01	CD19_PB_03	CD19_PB_06	CD19_PB_09	CD19_PB_12	CD19_PB_24	CD19_PB_30	CD19_PB_36	CD34_BM_00	CD34_BM_01	CD34_BM_03	CD34_BM_06	CD34_BM_12	CD34_BM_18	CD34_BM_24	CD34_BM_30	CD34_BM_36	CD3_BM_01	CD3_BM_03	CD3_BM_06	CD3_BM_12	CD3_BM_18	CD3_BM_24	CD3_BM_30	CD3_BM_36	CD3_PB_01	CD3_PB_03	CD3_PB_06	CD3_PB_09	CD3_PB_12	CD3_PB_18	CD3_PB_24	CD3_PB_30	CD3_PB_36	CD56_BM_01	CD56_BM_03	CD56_BM_06	CD56_BM_12	CD56_BM_18	CD56_BM_24	CD56_BM_30	CD56_BM_36	CD56_PB_01	CD56_PB_03	CD56_PB_06	CD56_PB_09	CD56_PB_12	CD56_PB_18	CD56_PB_24	CD56_PB_30	CD56_PB_36	CD61_BM_01	CD61_BM_03	CD61_BM_06	CD61_BM_12	CD61_BM_30	CFC_BM_00	CFC_BM_03	CFC_BM_12	CFC_BM_18	CFC_BM_24	CFC_BM_30	CFC_PB_12	CFC_PB_18	CFC_PB_24	CFC_PB_30	GLY_BM_01	GLY_BM_03	GLY_BM_06	GLY_BM_12	GLY_BM_18	GLY_BM_30	GLY_BM_36	MNC_BM_01	MNC_BM_03	MNC_BM_06	MNC_BM_12	MNC_BM_18	MNC_BM_24	MNC_BM_30	MNC_BM_36	MNC_PB_01	MNC_PB_03	MNC_PB_06	MNC_PB_09	MNC_PB_12	MNC_PB_18	MNC_PB_24	MNC_PB_30	MNC_PB_36	WHOLE.BM_BM_01	WHOLE.BM_BM_03	WHOLE.BM_BM_06	WHOLE.BM_BM_12	WHOLE.BM_BM_18	WHOLE.BM_BM_24	WHOLE.BM_BM_30	WHOLE.BM_BM_36	WHOLE.PB_PB_01	WHOLE.PB_PB_03	WHOLE.PB_PB_06	WHOLE.PB_PB_09	WHOLE.PB_PB_12	WHOLE.PB_PB_18	WHOLE.PB_PB_24	WHOLE.PB_PB_30	WHOLE.PB_PB_36
chr1	2807896	2807896	1	+	TTC34	-	FALSE	FALSE					1																																									122																																																																																																		1				
chr1	2909495	2909495	1	+	ACTRT2	+	FALSE	FALSE																																																																																																																																																				2
chr1	2963743	2963743	1	+	LINC00982	-	FALSE	FALSE																																																																		887																																					213																																													
chr1	3014827	3014827	1	-	PRDM16	+	FALSE	FALSE																																																																																																																										51																										
chr1	3015039	3015039	1	-	PRDM16	+	FALSE	FALSE																																			6																																																																																																																	
chr1	3036704	3036704	1	+	MIR4251	+	FALSE	FALSE										2																																																																																																																																										
chr1	3047416	3047416	1	-	MIR4251	+	FALSE	FALSE																																												7																																																															277																																									
chr1	3047423	3047423	1	+	MIR4251	+	FALSE	FALSE																																																																																																																				3																																
chr1	3060385	3060385	1	-	MIR4251	+	FALSE	FALSE																																																																																																																	111																																			
chr1	3065074	3065074	1	+	MIR4251	+	FALSE	FALSE																																																																																																																																														4						
chr1	3067835	3067835	1	-	MIR4251	+	FALSE	FALSE																																																																					8																																																																															
chr1	3074712	3074712	1	+	PRDM16	+	FALSE	FALSE																																																																																																																																							11										1			
chr1	3104407	3104407	1	+	PRDM16	+	FALSE	FALSE																																																																													1																																																								49															
chr1	3140608	3140608	1	+	PRDM16	+	FALSE	FALSE																																																																																																																		106																																		
chr1	3143125	3143125	1	+	PRDM16	+	FALSE	FALSE																																																																																																																				20																																
chr1	3167443	3167443	1	-	PRDM16	+	FALSE	FALSE																																																				29																																																																																																
chr1	3175444	3175444	1	+	PRDM16	+	FALSE	FALSE			1									1						40																																																																																																																																		
chr1	3279736	3279736	1	+	PRDM16	+	FALSE	FALSE																																																																																																																																													5							
chr1	3312710	3312710	1	+	PRDM16	+	FALSE	FALSE			1																																																																																																																																																	
chr1	3336714	3336714	1	+	PRDM16	+	FALSE	FALSE																																																																																																																																														12						
chr1	3496321	3496321	1	-	MEGF6	-	FALSE	FALSE																																																																																																																																											847									
chr1	3563906	3563906	1	-	WRAP73	-	FALSE	FALSE																																																										1928																																																																124																										
chr1	3577013	3577013	1	-	TP73	+	FALSE	FALSE																																												32																																																																																																								
chr1	3709061	3709061	1	-	LRRC47	-	FALSE	FALSE																																						386																																																														2				1																																												
chr1	4557397	4557397	1	-	LOC284661	+	FALSE	FALSE														1																																																																																																																																						
chr1	5993435	5993435	1	-	NPHP4	-	FALSE	FALSE							297		11																				1																																																																			1																	1186																														60					
chr1	6293150	6293150	1	+	ICMT	-	FALSE	FALSE																																																																	5548																																																																															19				
chr1	6596009	6596009	1	+	NOL9	-	FALSE	FALSE			1																																																																																																																																																	
chr1	6669615	6669615	1	-	PHF13	+	FALSE	FALSE																																																																																																																											2																									
chr1	6872927	6872927	1	+	CAMTA1	+	FALSE	FALSE																																	2335																																																																																																																			
chr1	6881259	6881259	1	-	CAMTA1	+	FALSE	FALSE																	1333						2		829								711																														2																																					3	596			5			196																																									
chr1	6882421	6882421	1	-	CAMTA1	+	FALSE	FALSE																																																																																																																								666		90																										
chr1	6922149	6922149	1	+	CAMTA1	+	FALSE	FALSE																																																																																											1																																																									
chr1	6927406	6927406	1	+	CAMTA1	+	FALSE	FALSE																																																													10																																																																																							
chr1	6928786	6928786	1	-	CAMTA1	+	FALSE	FALSE																																																																												1																																																																								
chr1	6932267	6932267	1	-	CAMTA1	+	FALSE	FALSE																		2132																							5472																																																																																																											
chr1	7810338	7810338	1	-	CAMTA1	+	FALSE	FALSE																																																										1599							326																															1																						16		2651																												
chr1	7819568	7819568	1	+	CAMTA1	+	FALSE	FALSE																																																									22																																																								1																																			
chr1	7861923	7861923	1	-	PER3	+	FALSE	FALSE																																																																																	4540																																																																			
chr1	7898201	7898201	1	-	PER3	+	FALSE	FALSE																																																																																																																																							6													
chr1	7898914	7898914	1	-	PER3	+	FALSE	FALSE																																							2443																																																																																																													
chr1	8474998	8474998	1	-	RERE	-	FALSE	FALSE																																								542								5										34																																																																																										
chr1	8479738	8479738	1	-	RERE	-	FALSE	FALSE																																																	134																																																																									6																										
chr1	8529951	8529951	1	+	RERE	-	FALSE	FALSE																												1																																																																																																																								
chr1	8530101	8530101	1	+	RERE	-	FALSE	FALSE																																																	290																																																																																																			
chr1	8533988	8533988	1	+	RERE	-	FALSE	FALSE																																																																																																				3				1448																		196																										
chr1	8548668	8548668	1	-	RERE	-	FALSE	FALSE													1																																88																																																																																																							
chr1	8551512	8551512	1	+	RERE	-	FALSE	FALSE																																																																																																																										7																										
chr1	8590398	8590398	1	-	RERE	-	FALSE	FALSE																																																																																																				5				5	1096																																											
chr1	8595390	8595390	1	-	RERE	-	FALSE	FALSE																																																31251																																																																																																				1971
chr1	8605770	8605770	1	-	RERE	-	FALSE	FALSE																																							32																																																																																																													
chr1	8607058	8607058	1	+	RERE	-	FALSE	FALSE								304																																																																																																																																		137										
chr1	8607779	8607779	1	+	RERE	-	FALSE	FALSE					1								7	2932																5															26																																											1																							1															6																						
chr1	8611007	8611007	1	+	RERE	-	FALSE	FALSE																										351																						5070																																																	1771																																																		673	
chr1	8623682	8623682	1	-	RERE	-	FALSE	FALSE								1108																	470																																																																																																																											
chr1	8630534	8630534	1	+	RERE	-	FALSE	FALSE																																																																																																																																													2							
chr1	8631442	8631442	1	-	RERE	-	FALSE	FALSE																																																																																																																																																		4910		
chr1	8636754	8636754	1	-	RERE	-	FALSE	FALSE																																																																						15																																																																								1						
chr1	8638624	8638624	1	-	RERE	-	FALSE	FALSE																																																																																																			1																																											16						
chr1	8654745	8654745	1	-	RERE	-	FALSE	FALSE																												160																																																																																																																								
chr1	8657914	8657914	1	+	RERE	-	FALSE	FALSE																																																																																																																			39																																	
chr1	8657987	8657987	1	+	RERE	-	FALSE	FALSE																																																																																																																										2907																										
chr1	8665745	8665745	1	-	RERE	-	FALSE	FALSE																																																																																																																				3																																
chr1	8682702	8682702	1	-	RERE	-	FALSE	FALSE																																																																																																						1												3																																		
chr1	8689845	8689845	1	+	RERE	-	FALSE	FALSE																																																																																					44																																																															
chr1	8689857	8689857	1	+	RERE	-	FALSE	FALSE																																																																																												1508																																																								
chr1	8694596	8694596	1	-	RERE	-	FALSE	FALSE								6446																	5929																																																								3479																																																																			
chr1	8696431	8696431	1	-	RERE	-	FALSE	FALSE																																																													9																																																																																							
chr1	8700138	8700138	1	-	RERE	-	FALSE	FALSE																																																																																																																											1																									
chr1	8711420	8711420	1	-	RERE	-	FALSE	FALSE																																																1																																																																																																				
chr1	8727387	8727387	1	+	RERE	-	FALSE	FALSE							8																																																																																																																																													
chr1	8734575	8734575	1	-	RERE	-	FALSE	FALSE											38																																																																																																																																									
chr1	8735945	8735945	1	+	RERE	-	FALSE	FALSE																																																										398																																																																																										
chr1	8736064	8736064	1	-	RERE	-	FALSE	FALSE																																																																																																																										2																										
chr1	8740681	8740681	1	-	RERE	-	FALSE	FALSE																																																																		562																																																																																		
chr1	8750739	8750739	1	-	RERE	-	FALSE	FALSE																																																																																																																											4																									
chr1	8774453	8774453	1	+	RERE	-	FALSE	FALSE																																																																											3453																																																																									
chr1	8797281	8797281	1	-	RERE	-	FALSE	FALSE																																																																																																							2675																																													
chr1	8813661	8813661	1	-	RERE	-	FALSE	FALSE																	5																																																																																																																																			
chr1	8816474	8816474	1	+	RERE	-	FALSE	FALSE																																																																																1																					109																																															
chr1	8817967	8817967	1	+	RERE	-	FALSE	FALSE																																								575								9																																																																																																				
chr1	8823279	8823279	1	+	RERE	-	FALSE	FALSE																																																																	158																																																																																			
chr1	8838474	8838474	1	-	RERE	-	FALSE	FALSE																	569																																																																																																																													6						
chr1	8849579	8849579	1	-	RERE	-	FALSE	FALSE																																								5219								24										7262																																																																1127																										
chr1	8851425	8851425	1	-	RERE	-	FALSE	FALSE																																																																																																	1233																																																			
chr1	8853888	8853888	1	-	RERE	-	FALSE	FALSE																																																																																																																												64																								
chr1	8856915	8856915	1	-	RERE	-	FALSE	FALSE																						15							1										571																																	2				1													490											1				4	1							972																					3									10			179			
chr1	8861832	8861832	1	-	RERE	-	FALSE	FALSE																																								332																																																																																																												
chr1	8862013	8862013	1	-	RERE	-	FALSE	FALSE						116																		66								1106																																																																																										452																										6
chr1	8868889	8868889	1	+	RERE	-	FALSE	FALSE																																								6																																																																																																												
chr1	9149907	9149907	1	+	GPR157	-	FALSE	FALSE						1116																									1																																									1																																																																	2439											
chr1	9152229	9152229	1	-	GPR157	-	FALSE	FALSE																												1																								2																																																																																																
chr1	9584820	9584820	1	-	SLC25A33	+	FALSE	FALSE					1								52																																																																		1																																2																																					
chr1	9631349	9631349	1	-	SLC25A33	+	FALSE	FALSE																																																																												8																																																																								
chr1	9696838	9696838	1	-	PIK3CD	+	FALSE	FALSE																																																																																																																																															2					
chr1	9727670	9727670	1	+	PIK3CD-AS2	-	FALSE	FALSE																									388																																																																																																																											
chr1	9729191	9729191	1	-	PIK3CD-AS2	-	FALSE	FALSE																																																																															1													603																																											45													
chr1	9737971	9737971	1	-	PIK3CD-AS2	-	FALSE	FALSE																																									882																	2142																																																								20																																		
chr1	9811674	9811674	1	+	CLSTN1	-	FALSE	FALSE																																								18																																																							5																																															3		5				
chr1	9830674	9830674	1	+	CLSTN1	-	FALSE	FALSE																																																																																																																																																			50	
chr1	9838187	9838187	1	+	CLSTN1	-	FALSE	FALSE																																																																																																																																										950										
chr1	9864679	9864679	1	-	CLSTN1	-	FALSE	FALSE																						8																																																																																																																														
chr1	9876047	9876047	1	-	CLSTN1	-	FALSE	FALSE																																																																	136																																																																																			
chr1	9950129	9950129	1	+	CTNNBIP1	-	FALSE	FALSE																																						1																																																																																																														
chr1	10046164	10046164	1	-	NMNAT1	+	FALSE	FALSE							153																																																																							4																																																																						
chr1	10139667	10139667	1	-	UBE4B	+	FALSE	FALSE																																																																460																																	429																																																			
chr1	10147407	10147407	1	-	UBE4B	+	FALSE	FALSE									20																																																																																																																																											
chr1	10159713	10159713	1	+	UBE4B	+	FALSE	FALSE																																																																																																																																						22														
chr1	10182866	10182866	1	-	UBE4B	+	FALSE	FALSE																													1																																																																																																						3562												1					
chr1	10218648	10218648	1	+	UBE4B	+	FALSE	FALSE																	864																																																																																																																																			
chr1	10287331	10287331	1	-	KIF1B	+	FALSE	FALSE																																																																																																					2																																															
chr1	10302257	10302257	1	-	KIF1B	+	FALSE	FALSE																																																																																																																			27																																	
chr1	10332474	10332474	1	+	KIF1B	+	FALSE	FALSE																																																																																																										538																																										
chr1	10337990	10337990	1	-	KIF1B	+	FALSE	FALSE																														94																																																																																																																		1				
chr1	10338342	10338342	1	+	KIF1B	+	FALSE	FALSE																																																																		243																																																																																		
chr1	10338468	10338468	1	+	KIF1B	+	FALSE	FALSE																																																										493																																																																																										
chr1	10342342	10342342	1	+	KIF1B	+	FALSE	FALSE								37																		4679																																																															1																		450																					5352								1												
chr1	10355873	10355873	1	-	KIF1B	+	FALSE	FALSE																																																																												12																																																																								
chr1	10363292	10363292	1	-	KIF1B	+	FALSE	FALSE																					6																																																																																																																															
chr1	10413793	10413793	1	-	KIF1B	+	FALSE	FALSE																																																																																																																											1																									
chr1	10464776	10464776	1	-	PGD	+	FALSE	FALSE																																	301																																																																																																																			
chr1	10609384	10609384	1	+	PEX14	+	FALSE	FALSE																																																																																																																				6																																
chr1	10613111	10613111	1	-	PEX14	+	FALSE	FALSE					1								171									1																																																																																																																														
chr1	10622435	10622435	1	+	PEX14	+	FALSE	FALSE																																																																																1																					164																																															
chr1	10622810	10622810	1	+	PEX14	+	FALSE	FALSE																																								1086																																																																																																												
chr1	11166891	11166891	1	-	MTOR	-	FALSE	FALSE																																																																																																																																		4494																		
chr1	11199081	11199081	1	-	MTOR	-	FALSE	FALSE																				1																																																																																																																																
chr1	11268349	11268349	1	-	MTOR	-	FALSE	FALSE																																																																																																																																						1														
chr1	11274517	11274517	1	-	MTOR	-	FALSE	FALSE																																																					135																																																																																															
chr1	11726781	11726781	1	-	FBXO6	+	FALSE	FALSE																																																	131																																																																																																			
chr1	11904734	11904734	1	-	NPPA-AS1	+	FALSE	FALSE																																																																																																																																														16						
chr1	12029471	12029471	1	+	PLOD1	+	FALSE	FALSE																																				1																																					5581																																																																											
chr1	12313755	12313755	1	+	VPS13D	+	FALSE	FALSE																																			10																																																																																					106																												
chr1	12425932	12425932	1	-	VPS13D	+	FALSE	FALSE																																																																																																										450																																										
chr1	12431273	12431273	1	-	VPS13D	+	FALSE	FALSE																																															509																																																																																																					
chr1	12480113	12480113	1	+	VPS13D	+	FALSE	FALSE																																			58																																													20														15							3861																			528																									1			
chr1	12481072	12481072	1	+	VPS13D	+	FALSE	FALSE																														6																																																																																																348																						
chr1	12486631	12486631	1	-	VPS13D	+	FALSE	FALSE																						25																								1																																																																																												2703										
chr1	12490855	12490855	1	-	VPS13D	+	FALSE	FALSE																																																																																																																			4																																	
chr1	12514193	12514193	1	+	VPS13D	+	FALSE	FALSE																																																																																																							124																																													
chr1	12515847	12515847	1	+	VPS13D	+	FALSE	FALSE																																																																																		564																																																																		
chr1	12529152	12529152	1	+	VPS13D	+	FALSE	FALSE				31																																																																																																																																																
chr1	12529294	12529294	1	-	VPS13D	+	FALSE	FALSE																																																																70																																																										463																										
chr1	12557783	12557783	1	+	VPS13D	+	FALSE	FALSE				2																																																																																				208																																500																						1						
chr1	13806175	13806175	1	-	LRRC38	-	FALSE	FALSE																																																																																																																																									4											
chr1	14038370	14038370	1	-	PRDM2	+	FALSE	FALSE																																																																																																					3																																															
chr1	14085452	14085452	1	-	PRDM2	+	FALSE	FALSE																																																	198																																																																																																			
chr1	14099309	14099309	1	-	PRDM2	+	FALSE	FALSE																																																																																																					2326																																															
chr1	15256978	15256978	1	-	KAZN	+	FALSE	FALSE																				1																																																																																																																																
chr1	15856103	15856103	1	-	DNAJC16	+	FALSE	FALSE																																																																																																																											1																									
chr1	15857182	15857182	1	-	DNAJC16	+	FALSE	FALSE																																																																26																																																																																				
chr1	15947170	15947170	1	+	DDI2	+	FALSE	FALSE																																																																																																						657																				57																										
chr1	15948452	15948452	1	+	DDI2	+	FALSE	FALSE			1																																																																																																																																																	
chr1	15964339	15964339	1	+	DDI2	+	FALSE	FALSE																																																														868																	1																	3																																																				
chr1	15974024	15974024	1	+	DDI2	+	FALSE	FALSE																																					42																																																																																																															
chr1	16172050	16172050	1	-	SPEN	+	FALSE	FALSE																																																																																																																																					5															
chr1	16181747	16181747	1	-	SPEN	+	FALSE	FALSE																				1																																																																																																																																
chr1	16181949	16181949	1	-	SPEN	+	FALSE	FALSE																																																																																																																																						6														
