seqnames	start	end	width	strand	closest_gene	strand_gene	collision	reassigned	reassigned.to	BM_BM_01	BM_BM_03	BM_BM_06	BM_BM_12	BM_BM_18	B_BM_01	B_BM_03	B_BM_06	B_BM_12	B_BM_18	B_PB_01	B_PB_03	B_PB_06	B_PB_09	B_PB_12	B_PB_18	CD34_BM_03	CD34_BM_06	CD34_BM_12	CD34_BM_18	CFC_BM_00	CFC_BM_01	CFC_BM_03	CFC_BM_06	CFC_BM_12	CFC_PB_03	CFC_PB_06	CFC_PB_09	CFC_PB_12	MNC_BM_01	MNC_BM_03	MNC_BM_06	MNC_BM_12	MNC_BM_18	MNC_PB_01	MNC_PB_03	MNC_PB_06	MNC_PB_09	MNC_PB_12	MNC_PB_18	Myelo_BM_01	Myelo_BM_03	Myelo_BM_06	Myelo_BM_12	Myelo_BM_18	Myelo_PB_01	Myelo_PB_03	Myelo_PB_06	Myelo_PB_09	Myelo_PB_12	Myelo_PB_18	NK_BM_12	NK_BM_18	NK_PB_03	NK_PB_06	NK_PB_09	NK_PB_12	NK_PB_18	PB_PB_01	PB_PB_03	PB_PB_06	PB_PB_09	PB_PB_12	PB_PB_18	TE_BM_03	TE_BM_06	TE_BM_12	TE_BM_18	T_BM_01	T_BM_03	T_BM_12	T_BM_18	T_PB_01	T_PB_03	T_PB_06	T_PB_09	T_PB_12	T_PB_18
chr1	21368923	21368923	1	+	EIF4G3	-	FALSE	FALSE																					85																									243					334														1480														
chr1	21381802	21381802	1	+	EIF4G3	-	FALSE	FALSE											355										35			94																									1																														
chr1	21382058	21382058	1	-	EIF4G3	-	FALSE	FALSE														641																																																																	
chr1	21395655	21395655	1	-	EIF4G3	-	FALSE	FALSE																			379																																																												
chr1	21425876	21425876	1	+	EIF4G3	-	FALSE	FALSE																																								890																								1847															
chr1	21441429	21441429	1	-	EIF4G3	-	FALSE	FALSE														1																																																																	
chr1	21444113	21444113	1	-	EIF4G3	-	FALSE	FALSE																											174																																																				
chr1	21460682	21460682	1	+	EIF4G3	-	FALSE	FALSE																																																6																															
chr1	21467704	21467704	1	-	EIF4G3	-	FALSE	FALSE			2																																																																												
chr1	21475929	21475929	1	-	EIF4G3	-	FALSE	FALSE																																																																									48						
chr1	21613591	21613591	1	-	ECE1	-	FALSE	FALSE						577																													75																																												
chr1	21747950	21747950	1	-	NBPF3	+	FALSE	FALSE																																															61																																
chr1	21765404	21765404	1	-	NBPF3	+	FALSE	FALSE																																											1																																				
chr1	21770071	21770071	1	+	NBPF3	+	FALSE	FALSE																					10																																																										
chr1	21900657	21900657	1	-	ALPL	+	FALSE	FALSE																																																																			1												
chr1	22071370	22071370	1	+	USP48	-	FALSE	FALSE											472																																																																				
chr1	22083951	22083951	1	-	USP48	-	FALSE	FALSE																																																143																															
chr1	22199807	22199807	1	+	HSPG2	-	FALSE	FALSE																							1																																																								
chr1	22514211	22514211	1	-	WNT4	-	FALSE	FALSE																								1																																																							
chr1	22570395	22570395	1	-	MIR4418	+	FALSE	FALSE																							1																																																								
chr1	22629326	22629326	1	+	MIR4418	+	FALSE	FALSE																																															1																																
chr1	22744710	22744710	1	-	ZBTB40	+	FALSE	FALSE																																																								1																							
chr1	22818536	22818536	1	+	ZBTB40	+	FALSE	FALSE																																																				384														79													
chr1	23350379	23350379	1	-	KDM1A	+	FALSE	FALSE																		1																																																													
chr1	23365058	23365058	1	-	MIR3115	+	FALSE	FALSE																		395																																																													
chr1	23374426	23374426	1	+	KDM1A	+	FALSE	FALSE			4																																																																												
chr1	23625119	23625119	1	-	HNRNPR	-	FALSE	FALSE						1527																			2			1207							322				57							1						326						235	1				94																
chr1	23663651	23663651	1	+	HNRNPR	-	FALSE	FALSE						768					326																								121																																												
chr1	23987797	23987797	1	-	MDS2	+	FALSE	FALSE				1																																																																											
chr1	24112318	24112318	1	-	PITHD1	+	FALSE	FALSE																																										7974																																					
chr1	24146215	24146215	1	+	HMGCL	-	FALSE	FALSE																																																44																															
chr1	24557923	24557923	1	+	LOC284632	+	FALSE	FALSE																																																																							1								
chr1	24839947	24839947	1	-	RCAN3	+	FALSE	FALSE									2																																																																						
chr1	24848702	24848702	1	-	RCAN3	+	FALSE	FALSE																																																	2																														
chr1	24863326	24863326	1	-	RCAN3	+	FALSE	FALSE																																																						4219																									
chr1	24978942	24978942	1	-	SRRM1	+	FALSE	FALSE																																																	44			397																											
chr1	25010542	25010542	1	+	SRRM1	+	FALSE	FALSE					3874																													1359																		505																											
chr1	25083940	25083940	1	-	CLIC4	+	FALSE	FALSE													1117																																										1334																								
chr1	25097005	25097005	1	-	CLIC4	+	FALSE	FALSE																																													94							238																											
chr1	25098580	25098580	1	-	CLIC4	+	FALSE	FALSE																																																																		1													
chr1	25100482	25100482	1	+	CLIC4	+	FALSE	FALSE																3																																		1099																													
chr1	25100900	25100900	1	+	CLIC4	+	FALSE	FALSE																																														659																																	
chr1	25101295	25101295	1	-	CLIC4	+	FALSE	FALSE																								174																								19																															
chr1	25103504	25103504	1	-	CLIC4	+	FALSE	FALSE																																																															9523																
chr1	25104570	25104570	1	-	CLIC4	+	FALSE	FALSE																																														312																																	
chr1	25114755	25114755	1	-	CLIC4	+	FALSE	FALSE								36																																																																							
chr1	25147838	25147838	1	-	CLIC4	+	FALSE	FALSE																							111																																																								
chr1	25153161	25153161	1	+	CLIC4	+	FALSE	FALSE																																											430																		2961																		
chr1	25155333	25155333	1	+	CLIC4	+	FALSE	FALSE																											34																																																				
chr1	25155516	25155516	1	+	CLIC4	+	FALSE	FALSE																		206									16																																																				
chr1	25320683	25320683	1	-	RUNX3	-	FALSE	FALSE																																																					1209																										
chr1	25453030	25453030	1	-	SYF2	-	FALSE	FALSE					686																																									197													119																				
chr1	25500359	25500359	1	+	SYF2	-	FALSE	FALSE																									1																																																						
chr1	25679137	25679137	1	+	TMEM50A	+	FALSE	FALSE																																					145																								36																		
chr1	25769412	25769412	1	+	TMEM57	+	FALSE	FALSE																		155																																																													
chr1	25771608	25771608	1	-	TMEM57	+	FALSE	FALSE																																																								1645																							
chr1	25772798	25772798	1	+	TMEM57	+	FALSE	FALSE																																																				282	1																										
chr1	25817819	25817819	1	-	TMEM57	+	FALSE	FALSE							1																																																																								
chr1	25874763	25874763	1	-	LDLRAP1	+	FALSE	FALSE																																																								5																							
chr1	25959288	25959288	1	+	MAN1C1	+	FALSE	FALSE														12																																																																	
chr1	26008132	26008132	1	-	MAN1C1	+	FALSE	FALSE																		2																																																													
chr1	26180614	26180614	1	-	AUNIP	-	FALSE	FALSE																																																														149																	
chr1	26490775	26490775	1	-	FAM110D	+	FALSE	FALSE								1																																																																							
chr1	26574584	26574584	1	-	CEP85	+	FALSE	FALSE																1509																																																														2489	
chr1	26623493	26623493	1	+	UBXN11	-	FALSE	FALSE					1085																													386																																													
chr1	26625814	26625814	1	-	UBXN11	-	FALSE	FALSE																																																											306																				
chr1	26674483	26674483	1	+	AIM1L	-	FALSE	FALSE																									62																													672																									
chr1	26690130	26690130	1	-	ZNF683	-	FALSE	FALSE																																															1																																
chr1	26952413	26952413	1	-	RPS6KA1	+	FALSE	FALSE																																																																31															
chr1	27028922	27028922	1	-	ARID1A	+	FALSE	FALSE					1202																																1																																										
chr1	27255312	27255312	1	+	NUDC	+	FALSE	FALSE																							72																																																								
chr1	27258786	27258786	1	-	NUDC	+	FALSE	FALSE																																																																														17	
chr1	27262163	27262163	1	+	NUDC	+	FALSE	FALSE																																														71																																	
chr1	27560318	27560318	1	-	WDTC1	+	FALSE	FALSE																																																														1792																	
chr1	27593657	27593657	1	+	WDTC1	+	FALSE	FALSE																																														329																																	
chr1	27763740	27763740	1	+	WASF2	-	FALSE	FALSE																																																																	1375														
chr1	27765490	27765490	1	-	WASF2	-	FALSE	FALSE																																														174																																	
chr1	27775852	27775852	1	+	WASF2	-	FALSE	FALSE																																																			311																												
chr1	27794047	27794047	1	+	WASF2	-	FALSE	FALSE																			158																																																												
chr1	27794389	27794389	1	-	WASF2	-	FALSE	FALSE																																																																1															
chr1	27794442	27794442	1	-	WASF2	-	FALSE	FALSE																																													1																			16075															
chr1	27807606	27807606	1	+	WASF2	-	FALSE	FALSE		1																																																																													
chr1	27808389	27808389	1	-	WASF2	-	FALSE	FALSE																																																				576																											
chr1	27812036	27812036	1	-	WASF2	-	FALSE	FALSE																																																98																															
chr1	27954979	27954979	1	-	FGR	-	FALSE	FALSE																							1																																																								
chr1	28058970	28058970	1	+	FAM76A	+	FALSE	FALSE																							2																																																								
chr1	28092980	28092980	1	-	FAM76A	+	FALSE	FALSE																																																								1																							
chr1	28217039	28217039	1	+	RPA2	-	FALSE	FALSE																																											77																																				
chr1	28295764	28295764	1	+	EYA3	-	FALSE	FALSE								2																																																																							
chr1	28345808	28345808	1	-	EYA3	-	FALSE	FALSE					1611									762												166								124												170																																	
chr1	28353973	28353973	1	+	EYA3	-	FALSE	FALSE																																																			1489																												
chr1	28358261	28358261	1	-	EYA3	-	FALSE	FALSE																																														368						263																											
chr1	28359994	28359994	1	+	EYA3	-	FALSE	FALSE																													3	12																						9												39															
chr1	28360621	28360621	1	-	EYA3	-	FALSE	FALSE																																																																	1														
chr1	28365348	28365348	1	+	EYA3	-	FALSE	FALSE									50																																			751																																			
chr1	28372284	28372284	1	+	EYA3	-	FALSE	FALSE																																																	820					1211																									
chr1	28373289	28373289	1	+	EYA3	-	FALSE	FALSE																																																	129																														
chr1	28374419	28374419	1	+	EYA3	-	FALSE	FALSE				1																																																																											
chr1	28380415	28380415	1	-	EYA3	-	FALSE	FALSE						394																					18								67																																												
chr1	28384789	28384789	1	-	EYA3	-	FALSE	FALSE																																											202																																				
chr1	28393753	28393753	1	+	EYA3	-	FALSE	FALSE																																																											627																				
chr1	28394730	28394730	1	-	EYA3	-	FALSE	FALSE					1																																																																										
chr1	28398541	28398541	1	+	EYA3	-	FALSE	FALSE																																																				543														400													
chr1	28399036	28399036	1	-	EYA3	-	FALSE	FALSE																																																	1																														
chr1	28488055	28488055	1	+	PTAFR	-	FALSE	FALSE			20																													1																																															
chr1	28630241	28630241	1	-	SESN2	+	FALSE	FALSE																											131																																																				
chr1	28675869	28675869	1	+	MED18	+	FALSE	FALSE																																														8					2658																												
chr1	28749190	28749190	1	-	PHACTR4	+	FALSE	FALSE																																														414																																	
chr1	28749273	28749273	1	+	PHACTR4	+	FALSE	FALSE																								6																						251																											456						
chr1	28765273	28765273	1	-	PHACTR4	+	FALSE	FALSE		3131																					427																																																								
chr1	28766366	28766366	1	-	PHACTR4	+	FALSE	FALSE																													139																							351																											
chr1	28768444	28768444	1	+	PHACTR4	+	FALSE	FALSE																																																				145																											
chr1	28804592	28804592	1	-	PHACTR4	+	FALSE	FALSE																																														7																																	
chr1	29016066	29016066	1	-	GMEB1	+	FALSE	FALSE					2																													2												24																																	
chr1	29083129	29083129	1	+	YTHDF2	+	FALSE	FALSE																		913																																																													
chr1	29259403	29259403	1	+	EPB41	+	FALSE	FALSE																																																							963																								
chr1	29283508	29283508	1	+	EPB41	+	FALSE	FALSE																			168																																																												
chr1	29304916	29304916	1	-	EPB41	+	FALSE	FALSE		2857																																																																													
chr1	29313096	29313096	1	+	EPB41	+	FALSE	FALSE																					843																																																										
chr1	29339295	29339295	1	+	EPB41	+	FALSE	FALSE																																							23																								47																
chr1	29375726	29375726	1	+	EPB41	+	FALSE	FALSE														437																																																																	
chr1	29393388	29393388	1	+	EPB41	+	FALSE	FALSE									2																																																																						
chr1	30222724	30222724	1	-	LOC101929406	-	FALSE	FALSE																																											1																																				
chr1	31467350	31467350	1	+	PUM1	-	FALSE	FALSE																																																																	302														
chr1	31541666	31541666	1	+	PUM1	-	FALSE	FALSE																																																1																															
chr1	31807009	31807009	1	+	ZCCHC17	+	FALSE	FALSE																																																7																															
chr1	31936042	31936042	1	-	SERINC2	+	FALSE	FALSE																																																								35																							
chr1	32000934	32000934	1	+	LINC01226	+	FALSE	FALSE																																																													1																		
chr1	32157010	32157010	1	+	COL16A1	-	FALSE	FALSE																							1																																																								
chr1	32178006	32178006	1	-	COL16A1	-	FALSE	FALSE																							1																																																								
chr1	32205975	32205975	1	+	BAI2	-	FALSE	FALSE																																															1																																
chr1	32377913	32377913	1	+	PTP4A2	-	FALSE	FALSE					24																																									497																																	
chr1	32400736	32400736	1	-	PTP4A2	-	FALSE	FALSE																																														2482																																	
chr1	32482920	32482920	1	-	KHDRBS1	+	FALSE	FALSE																																																																			2426												
chr1	32491847	32491847	1	+	KHDRBS1	+	FALSE	FALSE																																																				84																											
chr1	32493882	32493882	1	+	KHDRBS1	+	FALSE	FALSE																																											1																																				
chr1	32494057	32494057	1	-	KHDRBS1	+	FALSE	FALSE									468																																																																						
chr1	32497677	32497677	1	-	KHDRBS1	+	FALSE	FALSE																																																																								1592							
chr1	32691657	32691657	1	-	EIF3I	+	FALSE	FALSE				1																																																																											
chr1	33023221	33023221	1	-	ZBTB8A	+	FALSE	FALSE																					2																																																										
chr1	33054843	33054843	1	+	ZBTB8A	+	FALSE	FALSE						28																													5																																												
chr1	33139378	33139378	1	+	RBBP4	+	FALSE	FALSE																																																				824																											
chr1	33270333	33270333	1	+	YARS	-	FALSE	FALSE																																											1																																				
chr1	33403947	33403947	1	+	RNF19B	-	FALSE	FALSE																	1171																																																														
chr1	33451576	33451576	1	-	RNF19B	-	FALSE	FALSE																																																				1283																											
chr1	34540564	34540564	1	+	CSMD2	-	FALSE	FALSE													1																																																																		
