seqnames	start	end	width	strand	closest_gene	strand_gene	collision	reassigned	reassigned.to	BM_BM_01	BM_BM_03	BM_BM_06	BM_BM_12	BM_BM_18	BM_BM_24	BM_BM_30	B_BM_01	B_BM_03	B_BM_12	B_BM_18	B_BM_24	B_BM_30	B_PB_01	B_PB_03	B_PB_06	B_PB_12	B_PB_18	B_PB_24	B_PB_30	CD34_BM_00	CD34_BM_01	CD34_BM_03	CD34_BM_06	CD34_BM_12	CD34_BM_18	CD34_BM_24	CD34_MPB_00	CFC_BM_00	CFC_BM_03	CFC_BM_12	CFC_BM_18	CFC_BM_24	CFC_MPB_00	CFC_PB_03	CFC_PB_09	CFC_PB_12	CFC_PB_18	CFC_PB_24	MNC_BM_01	MNC_BM_03	MNC_BM_06	MNC_BM_12	MNC_BM_18	MNC_BM_24	MNC_BM_30	MNC_PB_01	MNC_PB_03	MNC_PB_06	MNC_PB_09	MNC_PB_12	MNC_PB_18	MNC_PB_24	MNC_PB_30	Myelo_BM_01	Myelo_BM_03	Myelo_BM_06	Myelo_BM_12	Myelo_BM_18	Myelo_BM_24	Myelo_BM_30	Myelo_PB_01	Myelo_PB_03	Myelo_PB_06	Myelo_PB_09	Myelo_PB_12	Myelo_PB_18	Myelo_PB_24	Myelo_PB_30	NK_BM_01	NK_BM_03	NK_BM_12	NK_BM_18	NK_BM_24	NK_PB_01	NK_PB_03	NK_PB_06	NK_PB_09	NK_PB_12	NK_PB_18	NK_PB_30	PB_PB_03	PB_PB_06	PB_PB_09	PB_PB_12	PB_PB_18	PB_PB_24	PB_PB_30	TE_BM_01	TE_BM_03	TE_BM_12	TE_BM_18	TE_BM_24	T_BM_01	T_BM_03	T_BM_12	T_BM_18	T_BM_24	T_BM_30	T_PB_01	T_PB_03	T_PB_06	T_PB_09	T_PB_12	T_PB_18	T_PB_24	T_PB_30
chr1	2486162	2486162	1	+	LOC115110	-	FALSE	FALSE																															3				125																													1																																												
chr1	3095209	3095209	1	-	PRDM16	+	FALSE	FALSE																					5903																																																																																							
chr1	3127363	3127363	1	+	PRDM16	+	FALSE	FALSE								1459																																							1232																																																													
chr1	3127516	3127516	1	+	PRDM16	+	FALSE	FALSE								1																																																																																																				
chr1	3520119	3520119	1	-	MEGF6	-	FALSE	FALSE																																1																								375																																																				
chr1	5746035	5746035	1	-	MIR4417	+	FALSE	FALSE																																		3									9														15	16											2																				1																			
chr1	6033856	6033856	1	-	NPHP4	-	FALSE	FALSE		1																					1																			1														2186							1								6																			11																		
chr1	6793636	6793636	1	+	LOC100505887	+	FALSE	FALSE																																																6																																																												
chr1	7760254	7760254	1	-	CAMTA1	+	FALSE	FALSE																																																																	25																																											
chr1	7768747	7768747	1	-	CAMTA1	+	FALSE	FALSE													7																											1406																														222																																						
chr1	8542117	8542117	1	+	RERE	-	FALSE	FALSE								357																																																																																																				
chr1	8597418	8597418	1	-	RERE	-	FALSE	FALSE																																																														104																																														
chr1	8608309	8608309	1	+	RERE	-	FALSE	FALSE																																	796																											13																																																
chr1	8622196	8622196	1	+	RERE	-	FALSE	FALSE																																																								3																																																				
chr1	8645300	8645300	1	-	RERE	-	FALSE	FALSE										9																																															1							7																			1838								7																	
chr1	8647036	8647036	1	+	RERE	-	FALSE	FALSE																																																																	25																	512																										
chr1	8673267	8673267	1	+	RERE	-	FALSE	FALSE																																																											208																																																	
chr1	8697831	8697831	1	-	RERE	-	FALSE	FALSE																																																								98																																																				
chr1	8703393	8703393	1	+	RERE	-	FALSE	FALSE																													122		1																																																																													
chr1	8808980	8808980	1	+	RERE	-	FALSE	FALSE																																																																																																				559								
chr1	8810760	8810760	1	+	RERE	-	FALSE	FALSE																					194																																												6		1																			165																						
chr1	8835306	8835306	1	+	RERE	-	FALSE	FALSE																														2																																																																														
chr1	8868588	8868588	1	+	RERE	-	FALSE	FALSE																																																																1																																												
chr1	9427909	9427909	1	+	SPSB1	+	FALSE	FALSE																						1								1261	12																																																																													
chr1	9716369	9716369	1	+	PIK3CD-AS1	-	FALSE	FALSE																																																								67																											1												1							6						
chr1	9736223	9736223	1	+	PIK3CD-AS2	-	FALSE	FALSE																																																																19																																												
chr1	9745090	9745090	1	+	PIK3CD-AS2	-	FALSE	FALSE																																																																																		1																										
chr1	9860776	9860776	1	+	CLSTN1	-	FALSE	FALSE														1																																																																																														
chr1	9991145	9991145	1	-	LZIC	-	FALSE	FALSE																																											68																						3					873									1																													
chr1	10189285	10189285	1	-	UBE4B	+	FALSE	FALSE		3																																																																																																										
chr1	10301650	10301650	1	-	KIF1B	+	FALSE	FALSE																							1																		3859															44																											2							22												7						
chr1	10357840	10357840	1	+	KIF1B	+	FALSE	FALSE																																																															769								3																																					
chr1	10636513	10636513	1	+	PEX14	+	FALSE	FALSE																													1		3				317																													1																																												
chr1	10651506	10651506	1	+	PEX14	+	FALSE	FALSE																																																																																																3												
chr1	11153222	11153222	1	-	EXOSC10	-	FALSE	FALSE																																																								49																																																				
chr1	11279692	11279692	1	-	MTOR	-	FALSE	FALSE																																																								43																																			1					3												
chr1	11285405	11285405	1	+	MTOR	-	FALSE	FALSE																																																					37															1																																								
chr1	12071299	12071299	1	+	MFN2	+	FALSE	FALSE																														6																																																																														
chr1	12313328	12313328	1	+	VPS13D	+	FALSE	FALSE																																																																						529																																						
chr1	12410428	12410428	1	+	VPS13D	+	FALSE	FALSE																																																										7																																																		
chr1	12524670	12524670	1	+	VPS13D	+	FALSE	FALSE																																				50																																																																								
chr1	13943022	13943022	1	-	PDPN	+	FALSE	FALSE																1																																																																																												
chr1	14059169	14059169	1	+	PRDM2	+	FALSE	FALSE																								3																		2															484																																																			
chr1	14065099	14065099	1	-	PRDM2	+	FALSE	FALSE																																																					65																																																							
chr1	14100698	14100698	1	-	PRDM2	+	FALSE	FALSE																																																		2								43																											3																							
chr1	15866815	15866815	1	+	DNAJC16	+	FALSE	FALSE		1																																																																																																										
chr1	15879600	15879600	1	+	DNAJC16	+	FALSE	FALSE																	7																																																																																											
chr1	16182838	16182838	1	-	SPEN	+	FALSE	FALSE		213																					2																																																																																					
chr1	16195899	16195899	1	-	MIR5096	+	FALSE	FALSE																																																										1																																																		
chr1	16202022	16202022	1	-	SPEN	+	FALSE	FALSE																		28																																																														1																												
chr1	16220364	16220364	1	-	MIR5096	+	FALSE	FALSE		1																																																																																																										
chr1	16220557	16220557	1	-	MIR5096	+	FALSE	FALSE		2																																							23															1																																		1																		
chr1	16238846	16238846	1	-	SPEN	+	FALSE	FALSE			2																																							4						1																1													428																															
chr1	16240443	16240443	1	+	SPEN	+	FALSE	FALSE																																																			11																					1													2168																			8				
chr1	16240794	16240794	1	-	SPEN	+	FALSE	FALSE																																					1		440																					2																																																
chr1	16254424	16254424	1	-	SPEN	+	FALSE	FALSE																																1																					4969															1						23							1						1																					
chr1	16278528	16278528	1	+	ZBTB17	-	FALSE	FALSE								3301																																							2383																																																													
chr1	16605009	16605009	1	+	FBXO42	-	FALSE	FALSE																																																															140																																													
chr1	16666802	16666802	1	+	FBXO42	-	FALSE	FALSE																																1						48						1																																																					7829											
chr1	16892536	16892536	1	-	NBPF1	-	FALSE	FALSE											5					3																																											1					5																																												
chr1	17344290	17344290	1	+	SDHB	-	FALSE	FALSE																																																								132																																																				
chr1	17352331	17352331	1	-	SDHB	-	FALSE	FALSE								3878																																															1597																																		2093																			
chr1	17371592	17371592	1	-	SDHB	-	FALSE	FALSE								2																																																									309																																						1					
chr1	17376822	17376822	1	+	SDHB	-	FALSE	FALSE							6																										9													4													42			3								8																																						
chr1	19263668	19263668	1	+	IFFO2	-	FALSE	FALSE		10																																																																																																										
chr1	19489644	19489644	1	-	UBR4	-	FALSE	FALSE																																																																																											1																	
chr1	19743391	19743391	1	+	CAPZB	-	FALSE	FALSE																																																					1							9																											1139																					
chr1	19772002	19772002	1	+	CAPZB	-	FALSE	FALSE																																																																	38																																											
chr1	19933657	19933657	1	-	RPS14P3	+	FALSE	FALSE			9						1							3538								17																		1																						2													1						1																									
chr1	19934687	19934687	1	+	RPS14P3	+	FALSE	FALSE																																						343																																																			5110																			
chr1	20920823	20920823	1	+	CDA	+	FALSE	FALSE								4307																																																																																																				
chr1	21238102	21238102	1	+	EIF4G3	-	FALSE	FALSE																							1																																	2237							1								5																			14																		
chr1	21279739	21279739	1	-	EIF4G3	-	FALSE	FALSE																																			2																																																																									
chr1	21279828	21279828	1	-	EIF4G3	-	FALSE	FALSE											5			102																																																				27																																										
chr1	21302531	21302531	1	+	EIF4G3	-	FALSE	FALSE							2054																																																																																																					
chr1	21322338	21322338	1	-	EIF4G3	-	FALSE	FALSE															1									1																								2															2867																																1						2							
chr1	21324000	21324000	1	+	EIF4G3	-	FALSE	FALSE				1																															170																																																																									
chr1	21325391	21325391	1	+	EIF4G3	-	FALSE	FALSE							52																																							39																																																														
chr1	21328022	21328022	1	-	EIF4G3	-	FALSE	FALSE																														417	1																																																																													
chr1	21334252	21334252	1	-	EIF4G3	-	FALSE	FALSE														307																																																																																														
chr1	21385227	21385227	1	+	EIF4G3	-	FALSE	FALSE																					2																																																																																							
chr1	21401494	21401494	1	+	EIF4G3	-	FALSE	FALSE																																																								2																																																				
chr1	21430974	21430974	1	+	EIF4G3	-	FALSE	FALSE																															314																															425																																														
chr1	21443729	21443729	1	-	EIF4G3	-	FALSE	FALSE																	1																																																																																											
chr1	21498859	21498859	1	+	EIF4G3	-	FALSE	FALSE													536	233			47																																									8							1																	477						242																				8
chr1	21712749	21712749	1	-	ECE1	-	FALSE	FALSE																																																																		3																																										
chr1	21808487	21808487	1	-	NBPF3	+	FALSE	FALSE													1																																																																																															
chr1	22089652	22089652	1	+	USP48	-	FALSE	FALSE				1																				2							5437					2																																																																								
chr1	22092208	22092208	1	-	USP48	-	FALSE	FALSE																																																														1462																																														
chr1	22093197	22093197	1	+	USP48	-	FALSE	FALSE		82																																																						1																																																				
chr1	23355930	23355930	1	-	KDM1A	+	FALSE	FALSE																																																							825																																		994																			
chr1	23365090	23365090	1	-	MIR3115	+	FALSE	FALSE																																																								64															1																																					
chr1	23455286	23455286	1	-	LUZP1	-	FALSE	FALSE				1																															739																													2																																												
chr1	23492327	23492327	1	+	LUZP1	-	FALSE	FALSE																																																								2																																																				
chr1	23612137	23612137	1	-	LINC01355	-	FALSE	FALSE								3324																																																																																																				
chr1	23623651	23623651	1	-	HNRNPR	-	FALSE	FALSE										1																					18																				26						7									2													10128																									58				
chr1	23624807	23624807	1	+	HNRNPR	-	FALSE	FALSE																															340																																																																													
chr1	23632060	23632060	1	+	HNRNPR	-	FALSE	FALSE			1473	5																			1																			6								2															12																															8							1913	1				
chr1	23632642	23632642	1	-	HNRNPR	-	FALSE	FALSE																																																																						1												4																										
chr1	24108015	24108015	1	-	PITHD1	+	FALSE	FALSE																																																														432				83																																						1				
chr1	24289993	24289993	1	+	PNRC2	+	FALSE	FALSE			458																																							3																																																	1					2												
chr1	24295128	24295128	1	+	SRSF10	-	FALSE	FALSE																								24																																																																																				
chr1	24301454	24301454	1	+	SRSF10	-	FALSE	FALSE																																																										1																																																		
chr1	24848963	24848963	1	-	RCAN3	+	FALSE	FALSE																																																										70																																																		
chr1	25095704	25095704	1	-	CLIC4	+	FALSE	FALSE																2															651																																									59																																				
chr1	25110530	25110530	1	+	CLIC4	+	FALSE	FALSE							8																																							8																																																														
chr1	25132345	25132345	1	+	CLIC4	+	FALSE	FALSE																																4989																					1																																			120																				
chr1	25137789	25137789	1	-	CLIC4	+	FALSE	FALSE																																																																																		1																										
chr1	25140615	25140615	1	+	CLIC4	+	FALSE	FALSE										7														7																									10								6															50031											2								83					5					2							
chr1	25143345	25143345	1	+	CLIC4	+	FALSE	FALSE																	52									8					1												1							1						4									10666													3												1													7					
chr1	25215324	25215324	1	+	RUNX3	-	FALSE	FALSE																																																														6																																														
chr1	25248765	25248765	1	+	MIR6731	-	FALSE	FALSE																																																1															2336																				1																		8	6						
chr1	25309371	25309371	1	-	RUNX3	-	FALSE	FALSE																																								1629																																																																				
chr1	25328151	25328151	1	-	MIR4425	+	FALSE	FALSE																																																																							1																																					
chr1	25727553	25727553	1	-	RHCE	-	FALSE	FALSE																						2									549												34					13		1							2647	53																																	1																	
chr1	25763282	25763282	1	-	TMEM57	+	FALSE	FALSE																	19														5												1							15								3229							24																																											
chr1	25771845	25771845	1	+	TMEM57	+	FALSE	FALSE							317																																							241																																																														
chr1	25773033	25773033	1	+	TMEM57	+	FALSE	FALSE																															1					135																																																																								
chr1	25773038	25773038	1	-	TMEM57	+	FALSE	FALSE																																				152																																																																								
chr1	25775325	25775325	1	-	TMEM57	+	FALSE	FALSE														430																																																																																														
chr1	25777601	25777601	1	+	TMEM57	+	FALSE	FALSE																														1																																																																														
chr1	25781828	25781828	1	+	TMEM57	+	FALSE	FALSE										1								1																															12								2							1236																											7																	
chr1	25790730	25790730	1	+	TMEM57	+	FALSE	FALSE																																			145																																																																									
chr1	25791708	25791708	1	-	TMEM57	+	FALSE	FALSE																				40																																																																																								
chr1	25792420	25792420	1	+	TMEM57	+	FALSE	FALSE																															10																																																																													
chr1	25817634	25817634	1	-	TMEM57	+	FALSE	FALSE								5206						3348							10																										4222															2								12																																						
chr1	26061192	26061192	1	+	MAN1C1	+	FALSE	FALSE																																																															583								1					4																																
chr1	26224862	26224862	1	-	STMN1	-	FALSE	FALSE																																																			1																					1													924																			2				
chr1	26245211	26245211	1	+	STMN1	-	FALSE	FALSE								800						61																				7441													549															922																																														
chr1	26626378	26626378	1	+	UBXN11	-	FALSE	FALSE																						318							1																																																								3																							
chr1	26626562	26626562	1	+	UBXN11	-	FALSE	FALSE																						1																																																																																						
chr1	26845991	26845991	1	-	RPS6KA1	+	FALSE	FALSE																																																														17																																														
chr1	27090263	27090263	1	-	ARID1A	+	FALSE	FALSE																																																															1																																													
chr1	27155915	27155915	1	+	ZDHHC18	+	FALSE	FALSE			1																																							16						3																1													1614																															
chr1	27289253	27289253	1	+	KDF1	-	FALSE	FALSE																																																																																						75																						
chr1	27513877	27513877	1	+	SLC9A1	-	FALSE	FALSE																															172																				80														13																										1																	
chr1	27565448	27565448	1	-	WDTC1	+	FALSE	FALSE																																														1																																																														
chr1	27593051	27593051	1	-	WDTC1	+	FALSE	FALSE									2																																															1837							2								2																			7																		
chr1	27680769	27680769	1	+	SYTL1	+	FALSE	FALSE																																																																																		403																										
chr1	27721304	27721304	1	-	GPR3	+	FALSE	FALSE																																																																																												1																
chr1	27772407	27772407	1	+	WASF2	-	FALSE	FALSE																																																											1																																																	
chr1	27775638	27775638	1	+	WASF2	-	FALSE	FALSE				1063																					3																		40															14						21														1																														
chr1	28102836	28102836	1	-	STX12	+	FALSE	FALSE																																																	119																																																											
chr1	28133995	28133995	1	-	STX12	+	FALSE	FALSE																															702					7																																																																								
chr1	28225141	28225141	1	+	RPA2	-	FALSE	FALSE																																																								1																																																				
chr1	28358179	28358179	1	+	EYA3	-	FALSE	FALSE							364																																							277																																																														
chr1	28359572	28359572	1	-	EYA3	-	FALSE	FALSE																																																									8																																		2059					4												
chr1	28364073	28364073	1	+	EYA3	-	FALSE	FALSE																	1					23			1				1	1	10078				1	6														519								2							4							2																			6													21				
chr1	28374091	28374091	1	-	EYA3	-	FALSE	FALSE								290																																							225																	17																																												
chr1	28380250	28380250	1	-	EYA3	-	FALSE	FALSE																																																4								1																											1504																									
chr1	28385317	28385317	1	-	EYA3	-	FALSE	FALSE																																																																																											106																	
chr1	28390626	28390626	1	+	EYA3	-	FALSE	FALSE									1																																															2							106																																													
chr1	28390895	28390895	1	+	EYA3	-	FALSE	FALSE			82																					1																		27																																			1																															
chr1	28394882	28394882	1	-	EYA3	-	FALSE	FALSE																																		111																								1																																																		
chr1	28473874	28473874	1	+	PTAFR	-	FALSE	FALSE																																																								11																																																				
chr1	28539940	28539940	1	+	DNAJC8	-	FALSE	FALSE																																			7																7															3058													1												3													4				
chr1	28711085	28711085	1	+	PHACTR4	+	FALSE	FALSE																																																2																																			606																									
chr1	28754131	28754131	1	-	PHACTR4	+	FALSE	FALSE														1858																																																																																														
chr1	28769517	28769517	1	-	PHACTR4	+	FALSE	FALSE																	2																																																311																																											
chr1	28772843	28772843	1	+	PHACTR4	+	FALSE	FALSE				2																										1					898																							1						1																																												
chr1	29014347	29014347	1	-	GMEB1	+	FALSE	FALSE																								287																		1																																																																		
chr1	29016291	29016291	1	-	GMEB1	+	FALSE	FALSE																																																24																																																												
chr1	29074724	29074724	1	-	YTHDF2	+	FALSE	FALSE																															2																										6																																																			
chr1	29247043	29247043	1	+	EPB41	+	FALSE	FALSE																																																								2																																																				
chr1	29264227	29264227	1	+	EPB41	+	FALSE	FALSE																																																										3																																																		
chr1	29273937	29273937	1	+	EPB41	+	FALSE	FALSE					1																										598	7	2852					1025																					2	24							2														1532	694				623	4						7							581								
chr1	29273941	29273941	1	+	EPB41	+	FALSE	FALSE																															11		618					16																						7																					44	7				15							1							12								
chr1	29292189	29292189	1	+	EPB41	+	FALSE	FALSE							211							131																													970			183									5																							4								42			3																			1739
chr1	29334889	29334889	1	-	EPB41	+	FALSE	FALSE																											2																																			356																																														
chr1	29399302	29399302	1	+	EPB41	+	FALSE	FALSE																													4																																																																															
chr1	29405753	29405753	1	+	EPB41	+	FALSE	FALSE																																																									8							13													4263														13																	
chr1	29495236	29495236	1	+	SRSF4	-	FALSE	FALSE																																																																																								3																				
chr1	31427911	31427911	1	+	PUM1	-	FALSE	FALSE																															2																																																																													
chr1	31433085	31433085	1	-	PUM1	-	FALSE	FALSE																																																								111							1																				1																			7						
chr1	31444371	31444371	1	+	PUM1	-	FALSE	FALSE														708																							186																																																																							
chr1	31746408	31746408	1	+	SNRNP40	-	FALSE	FALSE																													8																																																																															
chr1	31766512	31766512	1	+	SNRNP40	-	FALSE	FALSE																																																								9																																								1												
chr1	32003587	32003587	1	+	LINC01226	+	FALSE	FALSE											92																																																																																																	
chr1	32147893	32147893	1	+	COL16A1	-	FALSE	FALSE																																																																																								1																				
chr1	32376098	32376098	1	+	PTP4A2	-	FALSE	FALSE																															5																																																																													
chr1	32493876	32493876	1	-	KHDRBS1	+	FALSE	FALSE																																																										1																																																		
chr1	32497703	32497703	1	-	KHDRBS1	+	FALSE	FALSE																						20							2	2	8702				2	5																																																							2											1		21				
chr1	32560091	32560091	1	-	TMEM39B	+	FALSE	FALSE							674				1			163			1								1	2	6				5277	9098		2017	2	3		23		45						709					1				602			3	245			1058			161										1				405			123			7	21		450	803								1							3				
chr1	32584390	32584390	1	+	KPNA6	+	FALSE	FALSE																															826					4																																																																								
chr1	32778728	32778728	1	+	HDAC1	+	FALSE	FALSE																															8																																																																													
chr1	32784272	32784272	1	+	HDAC1	+	FALSE	FALSE																															649					2																																																																								
chr1	33091954	33091954	1	-	ZBTB8OS	-	FALSE	FALSE																																																																													6																															
chr1	33297533	33297533	1	-	S100PBP	+	FALSE	FALSE																																																																						278																																						
chr1	33404372	33404372	1	+	RNF19B	-	FALSE	FALSE																																																																																								420																				
chr1	33404570	33404570	1	-	RNF19B	-	FALSE	FALSE														110																																																																																														
chr1	33418752	33418752	1	+	RNF19B	-	FALSE	FALSE			1																												16					3168																					7																						10				1																				1					
chr1	33874981	33874981	1	-	PHC2	-	FALSE	FALSE																																																			1																																																									
chr1	35460438	35460438	1	-	ZMYM6	-	FALSE	FALSE																													2																																																																															
chr1	35462273	35462273	1	-	ZMYM6	-	FALSE	FALSE																								1																									952																																																											
chr1	35478130	35478130	1	+	ZMYM6	-	FALSE	FALSE																	10														2										2									10								2336							20														1																													
chr1	35478140	35478140	1	-	ZMYM6	-	FALSE	FALSE							6																																							4																																																														
chr1	35484289	35484289	1	-	ZMYM6	-	FALSE	FALSE																1																									4															970																																																				
chr1	35789835	35789835	1	+	ZMYM4	+	FALSE	FALSE								9			60						1225								1										5												6			2															4	1																																					1					
chr1	35814010	35814010	1	+	ZMYM4	+	FALSE	FALSE																															45																																																																													
chr1	35819892	35819892	1	+	ZMYM4	+	FALSE	FALSE							96																																							103																																																														
chr1	35822226	35822226	1	-	ZMYM4	+	FALSE	FALSE																																																																			12			8697																2242																						
chr1	35853952	35853952	1	-	ZMYM4	+	FALSE	FALSE								18																										1451													14																																																													
chr1	35858248	35858248	1	-	ZMYM4	+	FALSE	FALSE								1608																								1																											285																																																	
chr1	36016029	36016029	1	+	KIAA0319L	-	FALSE	FALSE														395																																																																																														
chr1	36306601	36306601	1	+	AGO4	+	FALSE	FALSE																																																																																		68																										
chr1	36407869	36407869	1	+	AGO3	+	FALSE	FALSE																																																							2																																		2																			
chr1	36426948	36426948	1	-	AGO3	+	FALSE	FALSE			1																																																					1617															9																			8											1							
chr1	36442481	36442481	1	-	AGO3	+	FALSE	FALSE																																																																																								6108																				
chr1	36701319	36701319	1	-	THRAP3	+	FALSE	FALSE																	7																																																686																																											
chr1	36704175	36704175	1	-	THRAP3	+	FALSE	FALSE							353										8														4										1					265				4								1527							14																			1																			1					
chr1	36730093	36730093	1	-	THRAP3	+	FALSE	FALSE																																																							738																																		1201																			
chr1	36842387	36842387	1	-	STK40	-	FALSE	FALSE																												1991									1																11							64		3867					2450	2		658			2														12019	2																				
chr1	38036492	38036492	1	-	GNL2	-	FALSE	FALSE																																																								11																																																				
chr1	38313213	38313213	1	-	MTF1	-	FALSE	FALSE																														15																																																																														
chr1	38333691	38333691	1	+	INPP5B	-	FALSE	FALSE																															1																																			1													1096																									1				
chr1	39399669	39399669	1	+	RHBDL2	-	FALSE	FALSE																															1																																																																													
chr1	39701122	39701122	1	+	MACF1	+	FALSE	FALSE																																									1																																																																			
chr1	39764743	39764743	1	-	MACF1	+	FALSE	FALSE																																			11																																																																									
chr1	39935781	39935781	1	-	MACF1	+	FALSE	FALSE																																											894	1						1			3904					9							1		2	1						20				1																														
chr1	40451762	40451762	1	+	MFSD2A	+	FALSE	FALSE																														438	3																																																																													
chr1	40511033	40511033	1	+	CAP1	+	FALSE	FALSE		2	4237							14														28																		820																																																																		
chr1	40965509	40965509	1	+	ZFP69	+	FALSE	FALSE																																																									10																																																			
chr1	41012239	41012239	1	+	ZNF684	+	FALSE	FALSE																													1399	2					6																																																																									
chr1	41378154	41378154	1	+	CITED4	-	FALSE	FALSE																																																																	2																																											
chr1	42489273	42489273	1	-	HIVEP3	-	FALSE	FALSE																										16																																																																																		
chr1	42662000	42662000	1	-	FOXJ3	-	FALSE	FALSE																															1				33																																																																									
chr1	42721407	42721407	1	-	FOXJ3	-	FALSE	FALSE																								1																																																					15																															
chr1	42722249	42722249	1	+	FOXJ3	-	FALSE	FALSE																																																								13																																																				
chr1	42729029	42729029	1	-	FOXJ3	-	FALSE	FALSE																																																																	36																																											
chr1	42750159	42750159	1	-	FOXJ3	-	FALSE	FALSE																																																																													11																															
chr1	42752695	42752695	1	+	FOXJ3	-	FALSE	FALSE																															2				180																																																																									
chr1	42753172	42753172	1	-	FOXJ3	-	FALSE	FALSE																																																																						1985																																					7070	
chr1	42788179	42788179	1	+	FOXJ3	-	FALSE	FALSE				8											2															2346	2										1																1																																														1					
chr1	42944974	42944974	1	+	PPCS	+	FALSE	FALSE																																																										4																																																		
chr1	43144445	43144445	1	-	PPIH	+	FALSE	FALSE																													228	1	2				1																																																																									
chr1	43238654	43238654	1	+	C1orf50	+	FALSE	FALSE			1						1																																	1														3558															21					1														18																		
chr1	43290124	43290124	1	-	ERMAP	+	FALSE	FALSE							205																								4															213																																	2									66																				
chr1	43712105	43712105	1	+	CFAP57	+	FALSE	FALSE																																																	1																																																											
chr1	43765860	43765860	1	+	TIE1	+	FALSE	FALSE																																																																																									1																			
chr1	44260308	44260308	1	+	ST3GAL3	+	FALSE	FALSE																														13																																																																										1				
chr1	44314897	44314897	1	+	ST3GAL3	+	FALSE	FALSE																																																																						1445																																						
chr1	44317497	44317497	1	+	ST3GAL3	+	FALSE	FALSE																													220																																																																															
chr1	44689180	44689180	1	+	ERI3-IT1	-	FALSE	FALSE																															437					1																																																																								
chr1	44908871	44908871	1	+	RNF220	+	FALSE	FALSE																	10																			1							3066															16					4		33																6																											
