seqnames	start	end	width	strand	closest_gene	strand_gene	collision	reassigned	reassigned.to	BM_BM_01	BM_BM_03	BM_BM_06	BM_BM_12	BM_BM_18	BM_BM_24	BM_BM_30	BM_BM_36	B_BM_01	B_BM_03	B_BM_06	B_BM_12	B_BM_18	B_BM_24	B_BM_30	B_BM_36	B_PB_01	B_PB_03	B_PB_06	B_PB_09	B_PB_12	B_PB_18	B_PB_24	B_PB_30	B_PB_36	CD34_BM_00	CD34_BM_01	CD34_BM_03	CD34_BM_06	CD34_BM_12	CD34_BM_18	CD34_BM_24	CD34_BM_30	CD34_BM_36	CFC_BM_01	CFC_BM_03	CFC_BM_06	CFC_BM_12	CFC_BM_18	CFC_BM_24	CFC_BM_30	CFC_PB_03	CFC_PB_06	CFC_PB_09	CFC_PB_12	CFC_PB_18	CFC_PB_24	MNC_BM_24	MNC_BM_30	MNC_BM_36	MNC_PB_24	MNC_PB_30	MNC_PB_36	Myelo_BM_01	Myelo_BM_03	Myelo_BM_06	Myelo_BM_12	Myelo_BM_18	Myelo_BM_24	Myelo_BM_30	Myelo_BM_36	Myelo_PB_01	Myelo_PB_03	Myelo_PB_06	Myelo_PB_09	Myelo_PB_12	Myelo_PB_18	Myelo_PB_24	Myelo_PB_30	Myelo_PB_36	NK_BM_01	NK_BM_03	NK_BM_06	NK_BM_18	NK_BM_24	NK_BM_30	NK_BM_36	NK_PB_01	NK_PB_03	NK_PB_06	NK_PB_09	NK_PB_12	NK_PB_24	NK_PB_30	NK_PB_36	PB_PB_01	PB_PB_03	PB_PB_06	PB_PB_09	PB_PB_12	PB_PB_18	PB_PB_24	PB_PB_30	PB_PB_36	TE_BM_01	TE_BM_03	TE_BM_06	TE_BM_12	TE_BM_18	TE_BM_24	TE_BM_30	T_BM_01	T_BM_03	T_BM_06	T_BM_12	T_BM_24	T_BM_30	T_PB_01	T_PB_03	T_PB_06	T_PB_09	T_PB_12	T_PB_18	T_PB_24	T_PB_30	T_PB_36
chr1	8472903	8472903	1	+	RERE	-	FALSE	FALSE																											12																																																																																										
chr1	8528808	8528808	1	-	RERE	-	FALSE	FALSE																																																																																										4																1											
chr1	8547284	8547284	1	+	RERE	-	FALSE	FALSE															688																										213																			3																																																									
chr1	8579704	8579704	1	+	RERE	-	FALSE	FALSE							37																																										44																																																																				
chr1	8597847	8597847	1	+	RERE	-	FALSE	FALSE																																																																									3																																												
chr1	8601455	8601455	1	+	RERE	-	FALSE	FALSE																				2																																																																																																	
chr1	8606556	8606556	1	+	RERE	-	FALSE	FALSE																																																												6																																																									
chr1	8626707	8626707	1	+	RERE	-	FALSE	FALSE																																									262																																																																												
chr1	8632104	8632104	1	-	RERE	-	FALSE	FALSE		1																										1																											1																																221																														
chr1	8632106	8632106	1	+	RERE	-	FALSE	FALSE																																																								3																																																													
chr1	8643967	8643967	1	-	RERE	-	FALSE	FALSE					79	1		2400																																										4410		7690					7	2				609																													4		12888												5								2				
chr1	8698700	8698700	1	-	RERE	-	FALSE	FALSE																																																																																																39																					
chr1	8712756	8712756	1	-	RERE	-	FALSE	FALSE		2																																																																																																																			
chr1	8819060	8819060	1	+	RERE	-	FALSE	FALSE																																																	1								4																																	1																											
chr1	8820175	8820175	1	-	RERE	-	FALSE	FALSE																																	1																																																																																				
chr1	8834639	8834639	1	+	RERE	-	FALSE	FALSE																											2																																																																																										
chr1	8834904	8834904	1	-	RERE	-	FALSE	FALSE																																																							11																																																														
chr1	8835815	8835815	1	-	RERE	-	FALSE	FALSE																																					11																											4																																																					
chr1	8851196	8851196	1	-	RERE	-	FALSE	FALSE																																																															1																																																						
chr1	8959729	8959729	1	-	ENO1-AS1	+	FALSE	FALSE																																																																																																						6															
chr1	9113553	9113553	1	+	SLC2A5	-	FALSE	FALSE																																																																																												1																									
chr1	9126836	9126836	1	-	SLC2A5	-	FALSE	FALSE																																																																						78																																															
chr1	9182730	9182730	1	+	GPR157	-	FALSE	FALSE																			46																																																							5																																					9						
chr1	9433115	9433115	1	+	SPSB1	+	FALSE	FALSE																							24									1																											2	16																																																									
chr1	9607898	9607898	1	+	SLC25A33	+	FALSE	FALSE																																						6																														1																																																	
chr1	9617817	9617817	1	-	SLC25A33	+	FALSE	FALSE				9													1388													27								1																																																																															
chr1	9629813	9629813	1	+	SLC25A33	+	FALSE	FALSE																																																												913															2																																										
chr1	9644248	9644248	1	-	SLC25A33	+	FALSE	FALSE				1															1																																			314																1374																									124																						
chr1	9733265	9733265	1	+	PIK3CD-AS2	-	FALSE	FALSE																																																																21																																																					
chr1	9752455	9752455	1	-	PIK3CD	+	FALSE	FALSE																														6																																			103																																														1						
chr1	9768148	9768148	1	+	PIK3CD	+	FALSE	FALSE					78	2							1							11											100								3	1839					2	1												16						6		2	1	4														1	1							3	4								128						1	2											
chr1	9794209	9794209	1	+	CLSTN1	-	FALSE	FALSE																											7																																																																																										
chr1	9800593	9800593	1	-	CLSTN1	-	FALSE	FALSE																																																															23																																																						
chr1	9809629	9809629	1	-	CLSTN1	-	FALSE	FALSE																																	2																				6																																									12																							
chr1	9824727	9824727	1	-	CLSTN1	-	FALSE	FALSE																																																																																					180									5																							
chr1	9899557	9899557	1	-	CTNNBIP1	-	FALSE	FALSE																			1	17																																																																																																	
chr1	10110355	10110355	1	+	UBE4B	+	FALSE	FALSE																																																																																																								3													
chr1	10154101	10154101	1	-	UBE4B	+	FALSE	FALSE			10																				1																	16																																																										1																			
chr1	10186928	10186928	1	-	UBE4B	+	FALSE	FALSE																			14																																																																																																		
chr1	10334012	10334012	1	+	KIF1B	+	FALSE	FALSE																																																							1																																																														
chr1	10338644	10338644	1	-	KIF1B	+	FALSE	FALSE																																																							3																																																														
chr1	10355967	10355967	1	-	KIF1B	+	FALSE	FALSE								1															6		1																																																				1333																									601															
chr1	10355981	10355981	1	+	KIF1B	+	FALSE	FALSE						1																																																					7																1																									1																	
chr1	10364179	10364179	1	-	KIF1B	+	FALSE	FALSE																											7																																																																																										
chr1	10600123	10600123	1	+	PEX14	+	FALSE	FALSE																			4																		72																															2							13																																										
chr1	10629277	10629277	1	+	PEX14	+	FALSE	FALSE																																																																																																															30						
chr1	10642323	10642323	1	+	PEX14	+	FALSE	FALSE																																						3																			6											1																																																	
chr1	10642489	10642489	1	+	PEX14	+	FALSE	FALSE		48																1																																													1									475																								8																					
chr1	10655859	10655859	1	-	PEX14	+	FALSE	FALSE															12								1																																					1									1053									1214															3911																								
chr1	10668695	10668695	1	+	PEX14	+	FALSE	FALSE																																																																				1																																																	
chr1	11140445	11140445	1	-	EXOSC10	-	FALSE	FALSE																																																								2																																																													
chr1	11153177	11153177	1	+	EXOSC10	-	FALSE	FALSE																											45																																																																																										
chr1	11243080	11243080	1	+	ANGPTL7	+	FALSE	FALSE																																																						14																																									3																						
chr1	12306887	12306887	1	+	VPS13D	+	FALSE	FALSE																																																																																																						256														2349	
chr1	12328337	12328337	1	+	VPS13D	+	FALSE	FALSE																																																																	25																																																				
chr1	12341288	12341288	1	-	VPS13D	+	FALSE	FALSE																																																																					18																																																
chr1	12355263	12355263	1	-	VPS13D	+	FALSE	FALSE																					1	1	5							161	2								2						640	6												2								5	7															6	1					24		3	2															2						2	4				
chr1	12389143	12389143	1	+	VPS13D	+	FALSE	FALSE														12																																																																																																							
chr1	12454807	12454807	1	-	VPS13D	+	FALSE	FALSE					3		23		54					11			5			7			1		2							1						4	1										3					29			2	1		10	3646						16		4		387											1								2					7																						
chr1	12477131	12477131	1	-	VPS13D	+	FALSE	FALSE																																																																																								9																													
chr1	12497141	12497141	1	-	VPS13D	+	FALSE	FALSE																																																													1327																																																								
chr1	14037033	14037033	1	-	PRDM2	+	FALSE	FALSE			6																																																																																																																		
chr1	14061707	14061707	1	-	PRDM2	+	FALSE	FALSE																																					2											1467																																																																					
chr1	15867661	15867661	1	-	DNAJC16	+	FALSE	FALSE						67								1																																													2																3																	2								2														1			
chr1	15892453	15892453	1	-	DNAJC16	+	FALSE	FALSE																																																														39																																																							
chr1	15973212	15973212	1	+	DDI2	+	FALSE	FALSE																																																								1								1																																																					
chr1	16182474	16182474	1	-	SPEN	+	FALSE	FALSE																							7									1						26																											2					3																																															
chr1	16183593	16183593	1	+	SPEN	+	FALSE	FALSE							29																															4																																																																															
chr1	16198520	16198520	1	-	SPEN	+	FALSE	FALSE						2								1																																																						1																								41																									
chr1	16199748	16199748	1	-	SPEN	+	FALSE	FALSE				10																																																																																																																	
chr1	16202409	16202409	1	+	SPEN	+	FALSE	FALSE				26															50																																																																																																		
chr1	16221918	16221918	1	-	MIR5096	+	FALSE	FALSE			1																													2																								1																																																													
chr1	16230162	16230162	1	+	MIR5096	+	FALSE	FALSE																				1																																					2																																																												
chr1	16234240	16234240	1	-	SPEN	+	FALSE	FALSE			4	1																3																	1											1												1131								3	20												291											3					74			1																	
chr1	16238478	16238478	1	+	SPEN	+	FALSE	FALSE																											6																																																																																										
chr1	16238891	16238891	1	-	SPEN	+	FALSE	FALSE						17																																																					22									1																																2																	
chr1	16240907	16240907	1	+	SPEN	+	FALSE	FALSE				8																										52																																																																																							
chr1	16240997	16240997	1	-	SPEN	+	FALSE	FALSE					2																1										3								6							4		143										5								1	1															3	1							4	2								519							1						3	6				
chr1	16603506	16603506	1	-	FBXO42	-	FALSE	FALSE				2																																																																																																																	
chr1	16605428	16605428	1	-	FBXO42	-	FALSE	FALSE				4									1																																																																																																								
chr1	16643022	16643022	1	-	FBXO42	-	FALSE	FALSE																														4			335								418																											2							2																																										
chr1	16647519	16647519	1	-	FBXO42	-	FALSE	FALSE																							1																																																																																														
chr1	16649503	16649503	1	+	FBXO42	-	FALSE	FALSE																														65																											4					612		2																																																					
chr1	16667146	16667146	1	-	FBXO42	-	FALSE	FALSE																																																														922																																																							
chr1	16935762	16935762	1	-	NBPF1	-	FALSE	FALSE																																																							13																																																														
chr1	16966697	16966697	1	+	MST1P2	+	FALSE	FALSE																																																																																																						13															
chr1	17343920	17343920	1	-	SDHB	-	FALSE	FALSE																					1																																																																																																
chr1	17360051	17360051	1	-	SDHB	-	FALSE	FALSE									166																																																													39	5																																														
chr1	17636493	17636493	1	+	PADI4	+	FALSE	FALSE																															1																																																												6																										
chr1	18155456	18155456	1	-	ACTL8	+	FALSE	FALSE																																										1																																																																											
chr1	19279762	19279762	1	+	IFFO2	-	FALSE	FALSE				1																																																																																																																	
chr1	19456841	19456841	1	-	UBR4	-	FALSE	FALSE																																																																																										2																											
chr1	19459645	19459645	1	-	UBR4	-	FALSE	FALSE																											94																																																																																										
chr1	19723779	19723779	1	+	CAPZB	-	FALSE	FALSE								449						18																																				295											1							1							1		37																																								
chr1	19791388	19791388	1	-	CAPZB	-	FALSE	FALSE																																																																									254																								1																				
chr1	19948250	19948250	1	-	MINOS1	+	FALSE	FALSE																					1	2	7								1														2	2		515										2								2	208															1	1							2	1								1														2				
chr1	20211604	20211604	1	+	OTUD3	+	FALSE	FALSE																																								13																																																																													
chr1	20981658	20981658	1	+	DDOST	-	FALSE	FALSE																																																							1																																																														
chr1	21100107	21100107	1	+	HP1BP3	-	FALSE	FALSE																																																																																																	5																				
chr1	21153308	21153308	1	+	EIF4G3	-	FALSE	FALSE																																																																																1																																					
chr1	21193973	21193973	1	+	EIF4G3	-	FALSE	FALSE																																						1436																										26																										1																											
chr1	21197572	21197572	1	-	EIF4G3	-	FALSE	FALSE																																																						383																																									149																						
chr1	21290786	21290786	1	+	EIF4G3	-	FALSE	FALSE																																																											1									37							1																									2																	
chr1	21298212	21298212	1	-	EIF4G3	-	FALSE	FALSE						2								41																															1																							1																																1																	
chr1	21354845	21354845	1	+	EIF4G3	-	FALSE	FALSE																			2																																																																																																		
chr1	21354940	21354940	1	+	EIF4G3	-	FALSE	FALSE		1																																																																						87																																													
chr1	21358884	21358884	1	+	EIF4G3	-	FALSE	FALSE			2																																																													3																																																					
chr1	21360179	21360179	1	-	EIF4G3	-	FALSE	FALSE																				3																																																																																																	
chr1	21368719	21368719	1	-	EIF4G3	-	FALSE	FALSE			11	23																																																																																																																	
chr1	21373662	21373662	1	+	EIF4G3	-	FALSE	FALSE							4																																										2																																																																				
chr1	21378848	21378848	1	+	EIF4G3	-	FALSE	FALSE																																																													1698																																																								
chr1	21392221	21392221	1	+	EIF4G3	-	FALSE	FALSE																																																																									5																																												
chr1	21402402	21402402	1	+	EIF4G3	-	FALSE	FALSE				1																																																																																																																	
chr1	21438133	21438133	1	+	EIF4G3	-	FALSE	FALSE			1																																																																																																																		
chr1	21445016	21445016	1	-	EIF4G3	-	FALSE	FALSE																																						6																																																																															
chr1	21479072	21479072	1	-	EIF4G3	-	FALSE	FALSE					1																2																		1						2												3							6			2															1									176																					2	2				
chr1	22058050	22058050	1	-	USP48	-	FALSE	FALSE																																																																2																																																					
chr1	22062917	22062917	1	+	USP48	-	FALSE	FALSE																																											40																																																																										
chr1	22076365	22076365	1	+	USP48	-	FALSE	FALSE							8																																																																																																														
chr1	22089938	22089938	1	+	USP48	-	FALSE	FALSE																																																																																3																																					
chr1	22213216	22213216	1	-	HSPG2	-	FALSE	FALSE																																																															35																																																						
chr1	22258579	22258579	1	-	HSPG2	-	FALSE	FALSE						7																																22																			9																																																												
chr1	22408452	22408452	1	-	CDC42	+	FALSE	FALSE																																									7																																																																												
chr1	22775110	22775110	1	+	ZBTB40	+	FALSE	FALSE																									3192																																																																																												
chr1	23353461	23353461	1	+	KDM1A	+	FALSE	FALSE			1																																																																													22					3649																																
chr1	23357783	23357783	1	+	KDM1A	+	FALSE	FALSE																				4						1																																	5	17								2																																24		2578									24						
chr1	23360122	23360122	1	+	KDM1A	+	FALSE	FALSE							25																																																									2																																																					
chr1	23366316	23366316	1	-	MIR3115	+	FALSE	FALSE																																						6														6237					10																																				3135																								
chr1	23373790	23373790	1	-	KDM1A	+	FALSE	FALSE																941																																																																																																					
chr1	23378694	23378694	1	+	KDM1A	+	FALSE	FALSE			3												768																																																																																																						
chr1	23381836	23381836	1	-	KDM1A	+	FALSE	FALSE																							6																																				1																																									1																	
chr1	23383746	23383746	1	+	KDM1A	+	FALSE	FALSE					5								3								2	2	1								2	1							2						5	5												778								5	8															5	4							3	4								1							1						3	6				
chr1	23391544	23391544	1	+	KDM1A	+	FALSE	FALSE																																																								1								1																1								287	22																												
chr1	23487179	23487179	1	+	LUZP1	-	FALSE	FALSE																			3																																																						3																																												
chr1	23615572	23615572	1	-	LINC01355	-	FALSE	FALSE																											1																																																																																										
chr1	23634300	23634300	1	+	HNRNPR	-	FALSE	FALSE																																										2																																																																											
chr1	23711154	23711154	1	+	TCEA3	-	FALSE	FALSE		4																																																																																																																			
chr1	24063544	24063544	1	+	TCEB3	+	FALSE	FALSE														1									11																																																																					4																									
chr1	24781135	24781135	1	-	NIPAL3	+	FALSE	FALSE						11								3																		1																3											4									55	265						1																									1														1			
chr1	24831032	24831032	1	-	RCAN3	+	FALSE	FALSE					1								1																			3																										13																																1	1																										
chr1	24931722	24931722	1	-	NCMAP	+	FALSE	FALSE																																																																										7																																											
chr1	25083981	25083981	1	-	CLIC4	+	FALSE	FALSE																																																								1																																																													
chr1	25084694	25084694	1	+	CLIC4	+	FALSE	FALSE																																																1236									4																																2																												
chr1	25084794	25084794	1	-	CLIC4	+	FALSE	FALSE																																																																6																																																					
chr1	25099517	25099517	1	-	CLIC4	+	FALSE	FALSE																																																																																								19																													
chr1	25110694	25110694	1	-	CLIC4	+	FALSE	FALSE						1														1					4																																								3																																																				
chr1	25115440	25115440	1	-	CLIC4	+	FALSE	FALSE									377					1																		1																813			1443																	6									1															1								14																	
chr1	25116456	25116456	1	+	CLIC4	+	FALSE	FALSE																																																																																14																																					
chr1	25116545	25116545	1	-	CLIC4	+	FALSE	FALSE				7																																						126																																																												5741															
chr1	25119435	25119435	1	+	CLIC4	+	FALSE	FALSE																									4413																																																																																												
chr1	25134157	25134157	1	-	CLIC4	+	FALSE	FALSE				5		1													6				1									1																											1																27																																							1			
chr1	25135627	25135627	1	+	CLIC4	+	FALSE	FALSE			1																																																																																																																		
chr1	25145553	25145553	1	+	CLIC4	+	FALSE	FALSE			48												6					1																		1																						29																		92			3																																				
chr1	25151818	25151818	1	+	CLIC4	+	FALSE	FALSE			2																																																																																																																		
chr1	25154554	25154554	1	-	CLIC4	+	FALSE	FALSE														1																		9	11								1948																																																											3																	
chr1	25172106	25172106	1	+	CLIC4	+	FALSE	FALSE						1			1479				1								2	2										25						25	3	9892	4				4	1												2			30					5	366	9	117		3											1	2							1										1												3	4	1			
chr1	25246287	25246287	1	-	MIR6731	-	FALSE	FALSE																																										2504																																																																											
chr1	25328263	25328263	1	-	MIR4425	+	FALSE	FALSE						52								1																																																						1																																1																	
chr1	25337714	25337714	1	-	MIR4425	+	FALSE	FALSE						6								2							1		1															3																			23										56																									17																				1					
chr1	25773858	25773858	1	+	TMEM57	+	FALSE	FALSE																											24																																																																																										
chr1	25774266	25774266	1	-	TMEM57	+	FALSE	FALSE														16												1693																1510														7			13																																																										
chr1	25776312	25776312	1	-	TMEM57	+	FALSE	FALSE														4																	1																												3																1										784																																
chr1	25778304	25778304	1	-	TMEM57	+	FALSE	FALSE																																																								5																																																													
chr1	25778980	25778980	1	+	TMEM57	+	FALSE	FALSE																																									401																			1034																																																									
chr1	25790478	25790478	1	+	TMEM57	+	FALSE	FALSE									6																																										41																																																																		
chr1	25796452	25796452	1	+	TMEM57	+	FALSE	FALSE																																																																																								8																													
chr1	25805656	25805656	1	+	TMEM57	+	FALSE	FALSE									154																																										545																																																																		
chr1	25886219	25886219	1	+	LDLRAP1	+	FALSE	FALSE					14	40	14441		4853				1	18									3							28		32							2	11195					1	2												296	45							2		7							1							3								12	3	5							1	140													2	2			
chr1	26007760	26007760	1	+	MAN1C1	+	FALSE	FALSE																																													14																																													29																											
chr1	26029214	26029214	1	-	MAN1C1	+	FALSE	FALSE																																																																																											13																										
chr1	26444918	26444918	1	+	PDIK1L	+	FALSE	FALSE																																																												131																																																									
chr1	26446447	26446447	1	+	PDIK1L	+	FALSE	FALSE														2																																																																																																							
chr1	26450715	26450715	1	+	PDIK1L	+	FALSE	FALSE				1	1									1						7																		2								1												10							31										5																																										
chr1	26457806	26457806	1	-	PDIK1L	+	FALSE	FALSE					1	3	6																																1	4134	859					1			4					320				3	1	9								15			150																			1	1	1			153											1							256				
chr1	26461628	26461628	1	+	PDIK1L	+	FALSE	FALSE																			52																																																																																																		
chr1	26461633	26461633	1	-	PDIK1L	+	FALSE	FALSE			1																																																																																																																		
chr1	26463133	26463133	1	-	PDIK1L	+	FALSE	FALSE																																																																									2																																												
chr1	26470930	26470930	1	+	FAM110D	+	FALSE	FALSE					1								2								1																		3							1												1								2	1															61								2	2																						1				
chr1	26567267	26567267	1	-	CEP85	+	FALSE	FALSE																											2																																																																																										
chr1	26568916	26568916	1	+	CEP85	+	FALSE	FALSE																											5																																																																																										
chr1	26571468	26571468	1	-	CEP85	+	FALSE	FALSE																											14																																																																																										
chr1	26580746	26580746	1	-	CEP85	+	FALSE	FALSE						16																																																																					1																																										
chr1	26590182	26590182	1	-	CEP85	+	FALSE	FALSE																																						3																																																																															
chr1	26590189	26590189	1	-	CEP85	+	FALSE	FALSE						1																																13								1																					1																								1								5							1											
chr1	26611100	26611100	1	+	UBXN11	-	FALSE	FALSE				2																																																													933																																																				
chr1	26640470	26640470	1	+	CD52	+	FALSE	FALSE																																														1																				6																																																			
chr1	26675784	26675784	1	-	AIM1L	-	FALSE	FALSE																																																																																																																			1097		
chr1	26877409	26877409	1	+	RPS6KA1	+	FALSE	FALSE																											33																																																																																										
chr1	26891986	26891986	1	-	RPS6KA1	+	FALSE	FALSE																																																															1																																																						
chr1	27030067	27030067	1	-	ARID1A	+	FALSE	FALSE					1																					256														178																										1	31				1																			1																1											
chr1	27031004	27031004	1	+	ARID1A	+	FALSE	FALSE																																																																			1																							88																											
chr1	27038548	27038548	1	+	ARID1A	+	FALSE	FALSE																																																																										6																															5												
chr1	27041731	27041731	1	-	ARID1A	+	FALSE	FALSE		2																2									211																																																																																										
chr1	27078414	27078414	1	+	ARID1A	+	FALSE	FALSE																																																												1274																																																									
chr1	27097300	27097300	1	+	ARID1A	+	FALSE	FALSE																																										2690																																																																											
chr1	27583106	27583106	1	-	WDTC1	+	FALSE	FALSE																																																								1																																																													
chr1	27587400	27587400	1	-	WDTC1	+	FALSE	FALSE																								292																2																				783				103																																																					
chr1	27602731	27602731	1	-	WDTC1	+	FALSE	FALSE																																											3																																																																										
chr1	27690667	27690667	1	+	MAP3K6	-	FALSE	FALSE								701																																										548																																																																			
chr1	27766608	27766608	1	+	WASF2	-	FALSE	FALSE																																																																10																																																					
chr1	27772049	27772049	1	-	WASF2	-	FALSE	FALSE						1																										2									115																																																																												
chr1	27773605	27773605	1	+	WASF2	-	FALSE	FALSE																																																																1																																																					
chr1	27775684	27775684	1	-	WASF2	-	FALSE	FALSE		131																																																																																																											1								
chr1	27781925	27781925	1	-	WASF2	-	FALSE	FALSE						11								1		228							2															14																			7		130									1						3	3																	1								72														1			
chr1	27787087	27787087	1	+	WASF2	-	FALSE	FALSE																									2																																																												17																																
chr1	27787291	27787291	1	+	WASF2	-	FALSE	FALSE															2					4		1									41								1																			2	10										2																							1																									
chr1	27787736	27787736	1	+	WASF2	-	FALSE	FALSE																														2										144																																																	6		14																										
chr1	27789787	27789787	1	+	WASF2	-	FALSE	FALSE				4	68	2	6	436					55		1420	852	202				547	3	9							2							1		3		968	2378			4	5			5	371		1112		1419		16		100	4	2538		2124		1	4	190	11	47		721	259				8		1086	17				1	38		4104					11	4	36	423		473			43	2	29		352		2		1						2	6	1		11	13
chr1	27792297	27792297	1	+	WASF2	-	FALSE	FALSE																																																																	28																																																				
chr1	27796488	27796488	1	-	WASF2	-	FALSE	FALSE			1																																																																																																																		
