seqnames	start	end	width	strand	closest_gene	strand_gene	collision	reassigned	reassigned.to	CD13_BM_01	CD13_BM_03	CD13_BM_12	CD13_BM_18	CD14_PB_01	CD14_PB_03	CD14_PB_06	CD14_PB_09	CD14_PB_12	CD14_PB_18	CD15_BM_01	CD15_BM_03	CD15_BM_12	CD15_BM_18	CD15_PB_01	CD15_PB_03	CD15_PB_06	CD15_PB_09	CD15_PB_12	CD15_PB_18	CD19_BM_01	CD19_BM_03	CD19_BM_12	CD19_BM_18	CD19_PB_01	CD19_PB_03	CD19_PB_06	CD19_PB_09	CD19_PB_12	CD19_PB_18	CD34_BM_00	CD34_BM_01	CD34_BM_03	CD34_BM_06	CD34_BM_12	CD34_BM_18	CD3_BM_01	CD3_BM_03	CD3_BM_12	CD3_BM_18	CD3_PB_01	CD3_PB_03	CD3_PB_06	CD3_PB_09	CD3_PB_12	CD3_PB_18	CD56_BM_03	CD56_BM_12	CD56_BM_18	CD56_PB_01	CD56_PB_03	CD56_PB_06	CD56_PB_09	CD56_PB_12	CD56_PB_18	CD61_BM_12	CD61_BM_18	CFC_BM_00	CFC_BM_01	CFC_BM_03	CFC_BM_06	CFC_BM_12	CFC_PB_06	CFC_PB_09	CFC_PB_12	GLY_BM_03	GLY_BM_12	GLY_BM_18	MNC_BM_01	MNC_BM_03	MNC_BM_06	MNC_BM_12	MNC_BM_18	MNC_PB_01	MNC_PB_03	MNC_PB_06	MNC_PB_09	MNC_PB_12	MNC_PB_18	WHOLE.BM_BM_01	WHOLE.BM_BM_03	WHOLE.BM_BM_06	WHOLE.BM_BM_12	WHOLE.BM_BM_18	WHOLE.PB_PB_01	WHOLE.PB_PB_03	WHOLE.PB_PB_06	WHOLE.PB_PB_09	WHOLE.PB_PB_12	WHOLE.PB_PB_18
chr1	3562896	3562896	1	+	WRAP73	-	FALSE	FALSE						239																																																																																					
chr1	3563758	3563758	1	+	WRAP73	-	FALSE	FALSE																		1																																																																									
chr1	6436145	6436145	1	-	ACOT7	-	FALSE	FALSE																																																													1																														
chr1	6856983	6856983	1	-	CAMTA1	+	FALSE	FALSE																																																																								344																			
chr1	6873074	6873074	1	+	CAMTA1	+	FALSE	FALSE								2																																																																																			
chr1	6903573	6903573	1	-	CAMTA1	+	FALSE	FALSE																																																																				2963																							
chr1	6954230	6954230	1	-	CAMTA1	+	FALSE	FALSE																																																																									1463																		
chr1	8518042	8518042	1	-	RERE	-	FALSE	FALSE			886																																																																																								
chr1	8553617	8553617	1	-	RERE	-	FALSE	FALSE																																														1195																																													
chr1	8580938	8580938	1	+	RERE	-	FALSE	FALSE																																																													3276											638										3708									
chr1	8598387	8598387	1	+	RERE	-	FALSE	FALSE																																																											215																																
chr1	8600918	8600918	1	+	RERE	-	FALSE	FALSE																																																																																							278				
chr1	8606030	8606030	1	+	RERE	-	FALSE	FALSE											6																																																																																
chr1	8628467	8628467	1	-	RERE	-	FALSE	FALSE																																												559																																															
chr1	8633401	8633401	1	+	RERE	-	FALSE	FALSE																																																																	8645																										
chr1	8636874	8636874	1	-	RERE	-	FALSE	FALSE																																																																																							16				
chr1	8646982	8646982	1	+	RERE	-	FALSE	FALSE																																																																				22																							
chr1	8656381	8656381	1	+	RERE	-	FALSE	FALSE																																																																					587																						
chr1	8663405	8663405	1	-	RERE	-	FALSE	FALSE																																																												25																															
chr1	8693091	8693091	1	+	RERE	-	FALSE	FALSE																																																																								2																			
chr1	8704096	8704096	1	-	RERE	-	FALSE	FALSE																																																														1208																													
chr1	8757835	8757835	1	+	RERE	-	FALSE	FALSE																																																1712																																											
chr1	8768874	8768874	1	-	RERE	-	FALSE	FALSE				2																																																																																							
chr1	8773868	8773868	1	-	RERE	-	FALSE	FALSE																21																																																																											
chr1	8810908	8810908	1	+	RERE	-	FALSE	FALSE														2																																																						10	1																						
chr1	8850683	8850683	1	-	RERE	-	FALSE	FALSE																				1214																																																																							
chr1	8868278	8868278	1	-	RERE	-	FALSE	FALSE																																																													56																														
chr1	9114748	9114748	1	-	SLC2A5	-	FALSE	FALSE																					6																																																																						
chr1	9630451	9630451	1	-	SLC25A33	+	FALSE	FALSE																																																				6809																																							
chr1	9636314	9636314	1	-	SLC25A33	+	FALSE	FALSE																165																																																																											
chr1	9713515	9713515	1	+	PIK3CD-AS1	-	FALSE	FALSE																											4634																																																																
chr1	9811181	9811181	1	+	CLSTN1	-	FALSE	FALSE																																																												601																															
chr1	9828677	9828677	1	+	CLSTN1	-	FALSE	FALSE																																		573																																																									
chr1	10125516	10125516	1	+	UBE4B	+	FALSE	FALSE																																											26416																																																
chr1	10138068	10138068	1	-	UBE4B	+	FALSE	FALSE																																																																																						13624					
chr1	10146701	10146701	1	+	UBE4B	+	FALSE	FALSE																																																																							2																				
chr1	10148924	10148924	1	+	UBE4B	+	FALSE	FALSE															3																																																																												
chr1	10303436	10303436	1	-	KIF1B	+	FALSE	FALSE																																																																																										2	
chr1	10337757	10337757	1	+	KIF1B	+	FALSE	FALSE			1498																																																										125																														
chr1	10356218	10356218	1	-	KIF1B	+	FALSE	FALSE																																1																																																											
chr1	10356385	10356385	1	-	KIF1B	+	FALSE	FALSE																																																					132																																						
chr1	10370328	10370328	1	+	KIF1B	+	FALSE	FALSE																																																																								805																			
chr1	10423304	10423304	1	+	KIF1B	+	FALSE	FALSE																																																							2075																																				
chr1	10540274	10540274	1	-	PEX14	+	FALSE	FALSE																																																																								648																			
chr1	10636692	10636692	1	+	PEX14	+	FALSE	FALSE											31																																																																																
chr1	10668548	10668548	1	-	PEX14	+	FALSE	FALSE																																																																																			161								
chr1	11177567	11177567	1	+	MTOR	-	FALSE	FALSE																																			25																																																								
chr1	11180968	11180968	1	+	MTOR	-	FALSE	FALSE																																280																																																											
chr1	11240431	11240431	1	-	ANGPTL7	+	FALSE	FALSE						12																																																																																					
chr1	11930516	11930516	1	-	NPPB	-	FALSE	FALSE																																																									1																																		
chr1	12308834	12308834	1	-	VPS13D	+	FALSE	FALSE		130																																																																																									
chr1	12348692	12348692	1	-	VPS13D	+	FALSE	FALSE																																																																								1281	4827																		
chr1	12397711	12397711	1	-	VPS13D	+	FALSE	FALSE						22																																																																																					
chr1	12407613	12407613	1	-	VPS13D	+	FALSE	FALSE																																746																																																											
chr1	12528279	12528279	1	-	VPS13D	+	FALSE	FALSE																																												9																																															
chr1	14030566	14030566	1	+	PRDM2	+	FALSE	FALSE																																												16																																															
chr1	15494645	15494645	1	+	C1orf195	-	FALSE	FALSE										55																																																																																	
chr1	15501127	15501127	1	-	C1orf195	-	FALSE	FALSE																																		1825																																																									
chr1	16171477	16171477	1	-	SPEN	+	FALSE	FALSE						22																																																																																					
chr1	16201267	16201267	1	-	SPEN	+	FALSE	FALSE																																																						36																																					
chr1	16219062	16219062	1	+	MIR5096	+	FALSE	FALSE																											2102																																																																
chr1	16227019	16227019	1	-	MIR5096	+	FALSE	FALSE																																																									29																																		
chr1	16242848	16242848	1	+	SPEN	+	FALSE	FALSE																																																																		6309																									
chr1	16619555	16619555	1	-	FBXO42	-	FALSE	FALSE		9																																																																																									
chr1	16627928	16627928	1	-	FBXO42	-	FALSE	FALSE																																																														736																													
chr1	16652208	16652208	1	+	FBXO42	-	FALSE	FALSE																401																																																																											
chr1	16701334	16701334	1	-	SZRD1	+	FALSE	FALSE																							95																																											1																									
chr1	16713241	16713241	1	-	SZRD1	+	FALSE	FALSE																																																																								597																			
chr1	16936230	16936230	1	+	NBPF1	-	FALSE	FALSE																																																																																		52									
chr1	17367143	17367143	1	+	SDHB	-	FALSE	FALSE																																																					3961																																						
chr1	17367239	17367239	1	+	SDHB	-	FALSE	FALSE																																																					1																																						
chr1	19466051	19466051	1	+	UBR4	-	FALSE	FALSE																																708																																																											
chr1	19516020	19516020	1	+	UBR4	-	FALSE	FALSE						3																																																																																					
chr1	19517959	19517959	1	-	UBR4	-	FALSE	FALSE											10																																																																																
chr1	19681610	19681610	1	-	CAPZB	-	FALSE	FALSE																																																																																			20								
chr1	19762512	19762512	1	+	CAPZB	-	FALSE	FALSE																																							26																																																				
chr1	19771378	19771378	1	-	CAPZB	-	FALSE	FALSE										224																																																																																	
chr1	19784563	19784563	1	-	CAPZB	-	FALSE	FALSE																																																													556																														
chr1	19784623	19784623	1	-	CAPZB	-	FALSE	FALSE						210																																																																																					
chr1	19935689	19935689	1	+	RPS14P3	+	FALSE	FALSE												1394																																																																															
chr1	20511727	20511727	1	-	UBXN10-AS1	-	FALSE	FALSE																																														1																																													
chr1	21205033	21205033	1	+	EIF4G3	-	FALSE	FALSE																																31																																																											
chr1	21227636	21227636	1	+	EIF4G3	-	FALSE	FALSE																		6040																																											612																														
chr1	21269988	21269988	1	+	EIF4G3	-	FALSE	FALSE																																		922																																																									
chr1	21277410	21277410	1	-	EIF4G3	-	FALSE	FALSE						53																																																																																					
chr1	21313495	21313495	1	+	MIR1256	-	FALSE	FALSE																							5																																																																				
chr1	21320097	21320097	1	+	EIF4G3	-	FALSE	FALSE		24895																																																																																									
chr1	21340058	21340058	1	-	EIF4G3	-	FALSE	FALSE																					164																																																																						
chr1	21342351	21342351	1	+	EIF4G3	-	FALSE	FALSE						368																																																																																					
chr1	21353034	21353034	1	+	EIF4G3	-	FALSE	FALSE																																																																	1747																										
chr1	21371256	21371256	1	+	EIF4G3	-	FALSE	FALSE					4																																																																																						
chr1	21372451	21372451	1	+	EIF4G3	-	FALSE	FALSE																																																																													525														
chr1	21375801	21375801	1	+	EIF4G3	-	FALSE	FALSE					37																																																																																						
chr1	21385426	21385426	1	-	EIF4G3	-	FALSE	FALSE						176																																																																																					
chr1	21386961	21386961	1	-	EIF4G3	-	FALSE	FALSE						460																																																																																					
chr1	21393684	21393684	1	-	EIF4G3	-	FALSE	FALSE																																																																																											114
chr1	21394026	21394026	1	-	EIF4G3	-	FALSE	FALSE																																													52556																																														
chr1	21414006	21414006	1	+	EIF4G3	-	FALSE	FALSE																																																																																										11	
chr1	21440168	21440168	1	+	EIF4G3	-	FALSE	FALSE																																																																																							22				
chr1	21466998	21466998	1	+	EIF4G3	-	FALSE	FALSE															89																																98																																												
chr1	21499824	21499824	1	+	EIF4G3	-	FALSE	FALSE																																																																										1299																	
chr1	21500084	21500084	1	-	EIF4G3	-	FALSE	FALSE																				35																																																																							
chr1	22036052	22036052	1	-	USP48	-	FALSE	FALSE																			4677																																																																								
chr1	22054481	22054481	1	-	USP48	-	FALSE	FALSE																																																												56																											3				
chr1	22058798	22058798	1	-	USP48	-	FALSE	FALSE									7																																																																																		
chr1	22064641	22064641	1	+	USP48	-	FALSE	FALSE																																3																																																											
chr1	22090127	22090127	1	+	USP48	-	FALSE	FALSE											1																																																																																
chr1	23358304	23358304	1	-	KDM1A	+	FALSE	FALSE									351																																			36																																															
chr1	23359277	23359277	1	+	KDM1A	+	FALSE	FALSE					1225																																																																																						
chr1	23372204	23372204	1	-	KDM1A	+	FALSE	FALSE															2375																																																																												
chr1	23379389	23379389	1	-	KDM1A	+	FALSE	FALSE															192																																																																												
chr1	23619810	23619810	1	+	LINC01355	-	FALSE	FALSE									3																																																																																		
chr1	24292946	24292946	1	-	SRSF10	-	FALSE	FALSE						249																																																																																					
chr1	24835793	24835793	1	+	RCAN3	+	FALSE	FALSE					1																																																																																						
chr1	25083482	25083482	1	-	CLIC4	+	FALSE	FALSE																				275																																																																							
chr1	25096951	25096951	1	+	CLIC4	+	FALSE	FALSE			2123																																																																																								
chr1	25097044	25097044	1	-	CLIC4	+	FALSE	FALSE																												4537																																																															
chr1	25100072	25100072	1	+	CLIC4	+	FALSE	FALSE																																																																												265															
chr1	25104794	25104794	1	+	CLIC4	+	FALSE	FALSE																																		1																																																									
chr1	25121687	25121687	1	+	CLIC4	+	FALSE	FALSE					968																91																																																																						
chr1	25133343	25133343	1	+	CLIC4	+	FALSE	FALSE					2																																																																																						
chr1	25135823	25135823	1	-	CLIC4	+	FALSE	FALSE																																																												1208										9																					
chr1	25139452	25139452	1	+	CLIC4	+	FALSE	FALSE																																														26																																													
chr1	25153471	25153471	1	-	CLIC4	+	FALSE	FALSE																																																																																							7755				
chr1	25316739	25316739	1	+	RUNX3	-	FALSE	FALSE																																																																																										7	
chr1	25681923	25681923	1	+	TMEM50A	+	FALSE	FALSE																															29																																																												
chr1	25682632	25682632	1	+	TMEM50A	+	FALSE	FALSE													4173		6																																															13158									23																				
chr1	25764619	25764619	1	-	TMEM57	+	FALSE	FALSE																																																																								38																			
chr1	25771922	25771922	1	-	TMEM57	+	FALSE	FALSE																																																														14																													
chr1	25773044	25773044	1	-	TMEM57	+	FALSE	FALSE																																																													999																														
chr1	25775021	25775021	1	-	TMEM57	+	FALSE	FALSE																																																				1																																							
chr1	25775179	25775179	1	+	TMEM57	+	FALSE	FALSE			551																																																																																								
chr1	25777200	25777200	1	+	TMEM57	+	FALSE	FALSE																434																																																																											
chr1	25777525	25777525	1	-	TMEM57	+	FALSE	FALSE																																																																																			529								
chr1	25777651	25777651	1	+	TMEM57	+	FALSE	FALSE																																																																						3013																					
chr1	25778569	25778569	1	-	TMEM57	+	FALSE	FALSE																																																																																			264								
chr1	25785354	25785354	1	-	TMEM57	+	FALSE	FALSE																																																			9																																								
chr1	25816617	25816617	1	+	TMEM57	+	FALSE	FALSE						31																																																																																					
chr1	25961600	25961600	1	-	MAN1C1	+	FALSE	FALSE																							52																																																																				
chr1	26288456	26288456	1	-	PAFAH2	-	FALSE	FALSE																																																																																		505									
chr1	26321891	26321891	1	+	PAFAH2	-	FALSE	FALSE																34																																																																											
chr1	26448917	26448917	1	+	PDIK1L	+	FALSE	FALSE																																724																																																											
chr1	26449991	26449991	1	-	PDIK1L	+	FALSE	FALSE																																					6494																																																						
chr1	26454234	26454234	1	+	PDIK1L	+	FALSE	FALSE																																		15																																																									
chr1	26580630	26580630	1	-	CEP85	+	FALSE	FALSE						707																																																																																					
chr1	26594073	26594073	1	-	CEP85	+	FALSE	FALSE																																																														60																													
chr1	26594174	26594174	1	-	CEP85	+	FALSE	FALSE																																																														2352																													
chr1	26638401	26638401	1	-	UBXN11	-	FALSE	FALSE																																																														15																													
chr1	26638968	26638968	1	+	CD52	+	FALSE	FALSE																																																																																		66									
chr1	26767370	26767370	1	-	DHDDS	+	FALSE	FALSE																									143																																																																		
chr1	26769520	26769520	1	+	DHDDS	+	FALSE	FALSE																											1504																																																																
chr1	26958122	26958122	1	+	RPS6KA1	+	FALSE	FALSE																														385																																																													
chr1	26958157	26958157	1	+	RPS6KA1	+	FALSE	FALSE																														1																																																													
chr1	26980625	26980625	1	+	ARID1A	+	FALSE	FALSE																																		1																																																									
chr1	27028794	27028794	1	-	ARID1A	+	FALSE	FALSE						49																																																																																					
chr1	27040373	27040373	1	+	ARID1A	+	FALSE	FALSE																																																									16																																		
chr1	27042069	27042069	1	-	ARID1A	+	FALSE	FALSE									311																																																																																		
chr1	27047670	27047670	1	-	ARID1A	+	FALSE	FALSE					426															27698																																																																						5626	
chr1	27065067	27065067	1	-	ARID1A	+	FALSE	FALSE																																																																																			261								
chr1	27086088	27086088	1	+	ARID1A	+	FALSE	FALSE																																	295																																																										
chr1	27172467	27172467	1	-	ZDHHC18	+	FALSE	FALSE																																																																				1251																							
chr1	27570617	27570617	1	+	WDTC1	+	FALSE	FALSE																													732																																																														
chr1	27582801	27582801	1	+	WDTC1	+	FALSE	FALSE																																																																					32																						
chr1	27594560	27594560	1	+	WDTC1	+	FALSE	FALSE												1																																																																															
chr1	27597708	27597708	1	-	WDTC1	+	FALSE	FALSE												3																																																																															
chr1	27598899	27598899	1	+	WDTC1	+	FALSE	FALSE																																																																								712																			
chr1	27736337	27736337	1	-	WASF2	-	FALSE	FALSE																																																												1																															
chr1	27736343	27736343	1	-	WASF2	-	FALSE	FALSE																																																												185																															
chr1	27772252	27772252	1	+	WASF2	-	FALSE	FALSE																		6579																																																																									
chr1	27772653	27772653	1	+	WASF2	-	FALSE	FALSE					125																																																																																						
chr1	27773027	27773027	1	-	WASF2	-	FALSE	FALSE																																																																																		1154									
chr1	27773162	27773162	1	-	WASF2	-	FALSE	FALSE										976																																																																																	
chr1	27776890	27776890	1	-	WASF2	-	FALSE	FALSE						65																																																																																					
chr1	27779756	27779756	1	+	WASF2	-	FALSE	FALSE		5																																																																																									
chr1	27785879	27785879	1	-	WASF2	-	FALSE	FALSE																																																																	1244																										
chr1	27789008	27789008	1	-	WASF2	-	FALSE	FALSE																																																														666																													
chr1	27800211	27800211	1	+	WASF2	-	FALSE	FALSE			25																																																																																								
chr1	27802049	27802049	1	+	WASF2	-	FALSE	FALSE																																																																							24																				
chr1	27803696	27803696	1	+	WASF2	-	FALSE	FALSE							15																																																																																				
chr1	28060015	28060015	1	-	FAM76A	+	FALSE	FALSE																																																																																										1209	
chr1	28124263	28124263	1	+	STX12	+	FALSE	FALSE																																																																																		1992									
chr1	28314028	28314028	1	+	EYA3	-	FALSE	FALSE																															6																																																												
chr1	28355918	28355918	1	+	EYA3	-	FALSE	FALSE																																																																		2																									686
chr1	28358330	28358330	1	-	EYA3	-	FALSE	FALSE																														3																																																													
chr1	28361013	28361013	1	-	EYA3	-	FALSE	FALSE																																																													427																														
chr1	28369553	28369553	1	+	EYA3	-	FALSE	FALSE																																		1																																																									
chr1	28376368	28376368	1	-	EYA3	-	FALSE	FALSE																																																																								24																			
chr1	28385211	28385211	1	-	EYA3	-	FALSE	FALSE																176																																																																											
chr1	28387446	28387446	1	+	EYA3	-	FALSE	FALSE																																																													73																														
chr1	28390133	28390133	1	-	EYA3	-	FALSE	FALSE						263																																																																																					
chr1	28393860	28393860	1	+	EYA3	-	FALSE	FALSE										30																																																																																	
chr1	28397105	28397105	1	+	EYA3	-	FALSE	FALSE																																																																							323																				
chr1	28398398	28398398	1	+	EYA3	-	FALSE	FALSE						50																																																																																					
chr1	28489369	28489369	1	+	PTAFR	-	FALSE	FALSE																																																																																							19				
chr1	28496025	28496025	1	-	PTAFR	-	FALSE	FALSE								415																																																																																			
chr1	28504118	28504118	1	-	PTAFR	-	FALSE	FALSE																																																																				28																							
chr1	28511815	28511815	1	+	PTAFR	-	FALSE	FALSE																																																	9																																										
chr1	28715505	28715505	1	-	PHACTR4	+	FALSE	FALSE																																																																														159													
chr1	28718231	28718231	1	-	PHACTR4	+	FALSE	FALSE																		2																																																																									
chr1	28747487	28747487	1	+	PHACTR4	+	FALSE	FALSE																																																																																							604				
chr1	28747786	28747786	1	-	PHACTR4	+	FALSE	FALSE																															197																																																												
chr1	28748215	28748215	1	+	PHACTR4	+	FALSE	FALSE																																																											333																																
chr1	28749583	28749583	1	+	PHACTR4	+	FALSE	FALSE																																																																																			702								
chr1	28758710	28758710	1	+	PHACTR4	+	FALSE	FALSE																																																									1668																																		
chr1	28760882	28760882	1	-	PHACTR4	+	FALSE	FALSE																																																																										401																	
chr1	28766848	28766848	1	+	PHACTR4	+	FALSE	FALSE																																																									4032																																		
chr1	28777158	28777158	1	+	PHACTR4	+	FALSE	FALSE																																													24567																																														
chr1	28781126	28781126	1	+	PHACTR4	+	FALSE	FALSE																																																																																			578								
chr1	28782604	28782604	1	-	PHACTR4	+	FALSE	FALSE																																									1966																																																		
chr1	28789597	28789597	1	+	PHACTR4	+	FALSE	FALSE										457																																																																																	
chr1	28792985	28792985	1	+	PHACTR4	+	FALSE	FALSE										274																																																																																	
chr1	29262825	29262825	1	-	EPB41	+	FALSE	FALSE								77																																																																																			
chr1	29291420	29291420	1	+	EPB41	+	FALSE	FALSE																																																																												3374															
chr1	29303871	29303871	1	-	EPB41	+	FALSE	FALSE																									1389																								1284																																										
chr1	29324669	29324669	1	-	EPB41	+	FALSE	FALSE																																																																									2																		
chr1	29422470	29422470	1	+	EPB41	+	FALSE	FALSE																187																																																																											
chr1	31431600	31431600	1	+	PUM1	-	FALSE	FALSE									380																																																																																		
chr1	31441707	31441707	1	-	PUM1	-	FALSE	FALSE																																																																								600																			
chr1	31450752	31450752	1	+	PUM1	-	FALSE	FALSE																																																								7																																			
chr1	31467763	31467763	1	+	PUM1	-	FALSE	FALSE																												5458																																																															
chr1	31472561	31472561	1	+	PUM1	-	FALSE	FALSE																																																																								1185																			
chr1	31476235	31476235	1	+	PUM1	-	FALSE	FALSE						93																																																																																					
chr1	31505047	31505047	1	+	PUM1	-	FALSE	FALSE																																																																																							371				
chr1	31511281	31511281	1	-	PUM1	-	FALSE	FALSE																											5827																																																																
chr1	31513878	31513878	1	-	PUM1	-	FALSE	FALSE																								110																																																																			
chr1	32376518	32376518	1	+	PTP4A2	-	FALSE	FALSE																			5180																																																																								
chr1	32378586	32378586	1	-	PTP4A2	-	FALSE	FALSE																																																																									1117																		
chr1	32389744	32389744	1	-	PTP4A2	-	FALSE	FALSE																																																														75074																													
chr1	32389971	32389971	1	+	PTP4A2	-	FALSE	FALSE									1037																																																																																		
chr1	32396210	32396210	1	+	PTP4A2	-	FALSE	FALSE																																																				378																																							
chr1	32401054	32401054	1	+	PTP4A2	-	FALSE	FALSE					20																																																			1753																																13			
chr1	32489020	32489020	1	-	KHDRBS1	+	FALSE	FALSE					2																																																																																						
chr1	32550123	32550123	1	+	MIR5585	+	FALSE	FALSE																																																				2																																							
chr1	32602928	32602928	1	-	KPNA6	+	FALSE	FALSE				1525																																																																																							
chr1	32612406	32612406	1	-	KPNA6	+	FALSE	FALSE																																																																					830																						
chr1	32615522	32615522	1	-	KPNA6	+	FALSE	FALSE																																																																										547																	
chr1	32631228	32631228	1	-	KPNA6	+	FALSE	FALSE																								63																																																																			
chr1	32638882	32638882	1	+	KPNA6	+	FALSE	FALSE																2																																																																											
chr1	32994058	32994058	1	+	ZBTB8A	+	FALSE	FALSE																																															4280																																												
chr1	33023507	33023507	1	-	ZBTB8A	+	FALSE	FALSE																																21																																																											
chr1	33023789	33023789	1	-	ZBTB8A	+	FALSE	FALSE																							2210																																																																				
chr1	33028605	33028605	1	+	ZBTB8A	+	FALSE	FALSE																		19																																												3766																													
chr1	33059196	33059196	1	-	ZBTB8A	+	FALSE	FALSE																				2136																																																																							
chr1	33064534	33064534	1	-	ZBTB8A	+	FALSE	FALSE																								5450																																																																			
chr1	33103279	33103279	1	+	ZBTB8OS	-	FALSE	FALSE																																					2837																																																						
chr1	33130725	33130725	1	+	RBBP4	+	FALSE	FALSE			1918										4044																																																																														
chr1	33305088	33305088	1	-	S100PBP	+	FALSE	FALSE																																																																																							67				
chr1	33315257	33315257	1	+	S100PBP	+	FALSE	FALSE													2650																																																																														
chr1	33411456	33411456	1	+	RNF19B	-	FALSE	FALSE																																																																								549																			
chr1	33571413	33571413	1	-	AZIN2	+	FALSE	FALSE																																																																																							5				
chr1	33801313	33801313	1	-	PHC2	-	FALSE	FALSE																																																																																										24	
chr1	33862823	33862823	1	-	PHC2	-	FALSE	FALSE											216																																																																																
chr1	35454344	35454344	1	-	ZMYM6	-	FALSE	FALSE																															1																																																												
chr1	35551317	35551317	1	+	ZMYM1	+	FALSE	FALSE																														445																																																													
