#eID Symbol logFC P.Value
14294 ANKHD1 2.47453334557931 4.86912658914779e-05
8991 CEACAM1 3.21514510192565 4.92286885691647e-05
20117 CRYL1 -2.60219866260912 4.9478134808124e-05
3098 ADIRF 3.63323389039381 5.04591863093322e-05
2062 DHFR -3.10981862958068 5.1270229151658e-05
8576 COL18A1 -2.24989590358535 5.30211648996371e-05
8950 DUSP5 -2.35496554520456 5.32835835952182e-05
7634 CYP2C18 3.33605986390863 5.37183762179214e-05
12156 FAM171A1 -3.36387271112716 5.38049818786231e-05
2676 TRIM14 2.04381794859993 5.42588580116808e-05
10934 HLA-G 2.32925566118363 5.49136960386478e-05
18315 PLCXD1 -2.21684991652101 5.51520411165726e-05
4029 SAMHD1 4.24297947211689 5.53193243639255e-05
13764 MUC5AC -2.60979609711875 5.58541822131905e-05
2240 CKMT1B 2.22479004190666 5.67306218632863e-05
9586 VWA5A -3.06577790791201 5.92874852602799e-05
8757 TSPAN4 -2.91704865153978 5.96403839587995e-05
15662 NA -3.28752118810111 6.0720548012427e-05
8529 DGKZ 2.50639823793646 6.07317886709812e-05
6280 CYP2B7P -4.18032987353005 6.23510469414597e-05
11400 CD44 -2.22021995352121 6.32392989932554e-05
6865 CNGB1 3.22281394268433 6.56855022574884e-05
3795 S100A2 2.49017272633531 6.57196895556497e-05
12122 GM2A -1.94784786258342 6.72700991273462e-05
2566 MTSS1 -2.20220347635275 6.7955715716749e-05
10981 SLC19A1 3.27964956999039 6.82075522074606e-05
17939 LMCD1 -2.14492623481738 6.91833178244785e-05
10515 MLLT11 -2.80481002473027 7.01731416276513e-05
9249 SP110 2.0185399734256 7.11538940777815e-05
4146 VCAN -4.56093877332466 7.14449177735419e-05
20413 POLL -1.867634812294 7.20856317064626e-05
22200 CX3CL1 -2.33767139761859 7.28598074901783e-05
15935  4.35705011693724 7.34978077248053e-05
16209 NA -2.58183542195639 7.40160393738451e-05
3490 CA12 -1.9527634029613 7.4629855208875e-05
5138 TNFSF12 -3.24898763415146 7.52453616993799e-05
5032 GCNT1 -2.98782347294128 7.58487150814849e-05
9149 TTR -2.84020174584519 7.7019217657067e-05
12190 PRUNE2 2.59107138332335 7.76295761073521e-05
5989 DHRS2 3.28897943136575 7.91664329764255e-05
3006 OTUD4 3.66765526072225 8.03837835329351e-05
1603 PLTP 3.2469932463882 8.05501108386025e-05
2017 FXYD3 -2.41817956707069 8.19490157159331e-05
15640 JAG1 -2.42236039898308 8.26056567516828e-05
2783 CDH3 -3.60517326896871 8.34120380368348e-05
4712 SPINK5 -2.78536931749193 8.37890198067403e-05
21530  -2.43230329087098 8.47224565203432e-05
7439 PAX8 -2.45008043228832 8.48304009535466e-05
2572 ZBED1 -2.3008230475787 8.48749098583715e-05
18669 FBXO2 -2.50950506438284 8.51585877347676e-05
4129 DKK1 -2.45280153652115 8.55108565443816e-05
841 ENO2 -2.57082617456275 8.56938826876647e-05
13582 PRODH -4.0812189238808 8.95354512463466e-05
8575 COL18A1 -2.72274436197791 9.004693671548e-05
4816 BMP2 -2.52772868703954 9.05121915158207e-05
11120 FN1 -4.30923463328699 9.17119732309297e-05
7521 SP110 2.06219066445508 9.23764796385015e-05
16500 CYP2B6 -2.33520020686978 9.26784379601486e-05
12991 AQP5 -3.05840912606927 9.27422176504074e-05
6281 CYP2B6 -4.21101015520075 9.38133597063792e-05
21834 GM2A -2.05737752691157 9.39974000219614e-05
4017 CD44 -2.11306787885531 9.53584126984148e-05
6734 CETN1 -3.1083337182134 9.72421373548227e-05
837  -2.32579049740661 9.82282128224102e-05
17349 RNASET2 1.94891766336971 9.95806900145152e-05
6985 PRSS3 1.84698322985107 0.000101185490559807
21517 WDR48 2.53439851787907 0.00010241196570591
13073 MUC1 -2.12693253759918 0.000102638646896288
1238 MYBL2 1.9844200564727 0.000102926872068283
17348  1.88273007412407 0.000102942655292284
13548 SUN1 -2.25535151357072 0.00010448755486606
8262 LAPTM4B 2.03187358355965 0.00010666411651964
15813 FN1 -4.63319356977797 0.000112860034956471
19405 PIGZ -2.42927004154783 0.000114262347886718
2674 GABBR1 -3.94294467879457 0.000114543296515717
8910 IFI35 1.93731512498932 0.000114564908833066
8063 MC5R -2.55072852739262 0.000118189789736884
15978 NA -2.33010220126539 0.000118720505152101
18324 TMPRSS4 3.2114188345481 0.00011968899562287
1290 PSME2P2 1.7386968083436 0.000120557240843356
20267 GFM1 3.14963976677478 0.000122163252144668
4260 KLK6 1.90385445885588 0.000122436599620872
5074 TAGLN 1.94475500742857 0.000123255457829043
18167 CHFR 4.37676247672827 0.000126493187589527
14125  -1.79570570097902 0.000126830445894067
2708 ALDH1A3 2.58943153559632 0.0001277193625893
2284 GPC1 -1.89531806193999 0.000127916380971761
4274 IFIT3 2.45823490014473 0.000129703667632932
6991 PIR -2.29656401453422 0.000129998139013503
17869 FAHD2A -2.31630920362419 0.000130109216703377
10886 DPP4 -2.48707914497083 0.000131209927953807
2144 MECP2 1.86088762098825 0.000134187682979855
8724 NUPR1 -1.84975534705438 0.000134311885633699
13452 CTTN -1.74517998094634 0.00013526809737512
2496  -2.59945244810877 0.000136437287612479
18307 DDX58 4.62141271512192 0.000137053120104488
5733 CLC -6.24674364742133 0.000137488524173727
17618 EIF2D -1.6662028408748 0.000138245667007183
2681 IFIT1 4.8363301021227 0.000138405502424453
5636 NA -1.75920226328407 0.00013843901861237
14619 FMR1 1.8868342310677 0.000139674234864928
3958 TLE2 -3.37146554783788 0.000139912526219062
19468 ZC3HAV1 1.84937177478129 0.000140353923861198
21989 UNC5B 1.98716503029883 0.000143133622946527
1838 COL1A1 -3.19783627391832 0.000143952829378845
12206 PLEKHG3 2.92318039923703 0.000143988853756196
21108  -2.39788545644267 0.000147182748540015
1007 DKC1 2.01582292462792 0.000150578406348113
15421 RHOBTB3 1.89337324458717 0.000153117143853195
7410 TREX2 1.97727813429531 0.000153630952499782
7022 CASP5 -2.6719613599585 0.000154005297764405
3103 BCAT2 -1.85150626713776 0.000154213758239854
8861 EPHX2 -4.39519250498353 0.000154670602176504
471 HMGN1P38 1.92521630886147 0.000154958564633326
12124 NME4 -2.24239715775666 0.000155310863838991
1033 LAMB1 -3.44906621943439 0.000155946286280628
13038 NA -1.95676450409632 0.00015760141516482
12216 MEGF9 -3.11453059889553 0.00016155603959429
12969 B3GNTL1 -1.98250767208238 0.000162442551259734
1006 DKC1 2.22076381837588 0.000162895006711494
8891 HIST1H1C -1.82198850922474 0.0001638087101666
18467 ASAP3 -2.17826330176398 0.000164428616723196
18196 ARRB1 -1.82845549527691 0.000166461816903987
5868 IDS 1.90417926494563 0.000166699761244486
2589 PAPSS2 -2.00281469348234 0.000170034636572926
2060 DHFRP1 -2.21044125484186 0.000172365882378174
21340 EMILIN2 -2.91925963280622 0.000172770350404524
18597 GSDMB 1.69958809432112 0.000175340022959139
10375 NA -3.46289667575809 0.000177404196800066
11055 LAMB1 -2.164344708742 0.000178135348607927
4327 DHRS12 -1.91088244165834 0.000179867403950377
3409  1.93557444780005 0.000180173810104844
16607 SIRPB1 -3.42558944061322 0.000180435298577557
18378 PLAC8 1.65375239277119 0.000180685125456679
20338 SFXN3 -1.76328228214562 0.000182788026517178
12047 PVR 1.8230889601519 0.00018463579129347
5150 ALDH3A1 -1.98353375728779 0.000185240293523949
4127 EPHB3 -1.68187701742691 0.000186706031040166
17845 AGBL5 -1.57320817423116 0.000189685831264264
409 DNAJA1 1.68983728166572 0.000193495713303308
3308 MRPL33 -2.01044540541189 0.000193564850012637
13245 DCBLD2 3.80978139874429 0.000198388633721989
18108 PACSIN3 -1.9969319161773 0.000200569749183805
7366 MUC1 -1.95209376232767 0.000204398010021279
4691 GCAT -1.95154991684695 0.000206277195642915
18716 HERC6 3.98783148890268 0.000206435593387077
21630 NA -3.5308511386934 0.000206831713614841
22027 SEMA4C -1.58848906124977 0.000208610070096034
1267 SGK1 2.17801510098977 0.000208769436797066
3122 IFIT5 2.22630414818462 0.000211972916193744
4245 EPHB6 1.88926252797746 0.00021352363340363
2600 SEMA3B -2.37029509744289 0.000213970881339779
16963 CINP -1.5777265233383 0.000214723076922244
5010 ISG15 1.64153367825374 0.000215946119758357
21971 TLE2 -1.62979546676564 0.000218906603748418
3828 KBTBD11 -1.83529997550729 0.000221545571304688
7638 TBXAS1 -2.0443187586287 0.000223096281247331
6297 UPK3A 2.63173727222477 0.000223723540373745
5510 DPEP1 -2.21183513240655 0.000226263363933629
412 CKB -2.29317915883408 0.000227226732396089
22110 SIDT2 -2.01347965068543 0.000230977310971373
21221 NA -1.60229343991104 0.0002315663453756
22019 HCFC1R1 -1.68209719391765 0.000233026706952433
9403 TP53TG1 -2.08990210257215 0.000235732718123596
838 NREP -4.05949881997923 0.000241226583314754
17360 SQRDL -1.76417320430347 0.000241622862496427
19029 NUDT18 -2.01828508725683 0.000242281745945136
10474 KHK -1.75886126680852 0.000242973266803904
7538 LAPTM4B 1.518733248043 0.000250892639150184
1835 TAP1 2.17736552883558 0.000251989002127795
2720 ABCB6 -1.84855187840656 0.000256895532657669
5901 HSPB3 2.73581556009792 0.000262674681686378
22052 NA -1.62481287158618 0.000265204380296074
6109 KRBOX4 -2.46601035799105 0.000265606928875458
11278 CEACAM1 2.51869545494688 0.000266978425966267
19003 PARP6 1.57228132872229 0.000267771372732232
13227 PRPH -2.85571091811353 0.000268509615360951
8519 SYNCRIP 1.86540421401407 0.000270025113592783
10289 SSBP2 -2.64208614863503 0.000270628679012267
22234 STAT1 1.85931543706545 0.000271297332258645
9531 IDH2 -1.76192977447408 0.000272755215126848
4582 ITGAE -1.49564777296423 0.000273075261889759
7711 RASGRP2 1.76159744291641 0.000274662702019366
8887 ASMTL -1.58822150815351 0.000276680971961991
3665 MZF1 -2.09481717123127 0.00027856548916478
13007 MAGED2 -1.63708710055933 0.000281608461719758
12344 CXorf40A 1.49517428004256 0.000287299261538881
2340 GAA -1.74999568083845 0.000288374949972953
16843 HLA-DMA -1.8997735220009 0.000288808652203142
1271 CD14 4.75419256961064 0.000289404978916043
5765 SPINK1 -1.41918268359945 0.000292168956101232
17896 TMEM134 -1.89506738820916 0.000292190552343371
9868 CCL14 -1.54522749481199 0.00030027020462034
2153 LYN 1.59070973267849 0.000300337271678753
20129 LIMS2 2.20349324136105 0.000301418810817148
11483 CAV1 -2.32244756989267 0.000302700628558206
18129 SIDT2 -1.88760454910673 0.000310397037311886
15538 NA -3.28597293621876 0.000312345298398181
4546 VIPR1 -1.86376313760797 0.000314049436542309
9436 VILL -1.84275111113296 0.000315482185865106
12802 PRSS3 1.75034857905162 0.00031555654224797
10917 CRHR2 -2.827926598598 0.000315964281175326
17552 C8orf33 1.56211184603074 0.000316238839664502
19718 MCF2L-AS1 -1.55234328733823 0.00031748355583596
1695 MMS19 -1.57041081556489 0.000319355564399878
690 IGFBP7 -4.60034816427364 0.000322024976036177
14167 SP140L 1.86505118386187 0.000325365101849875
4881 GAMT -2.20894018418632 0.000326328141964386
14131 UAP1L1 -2.25281957111667 0.000331910528500595
4993 HS3ST1 -1.97510981296136 0.000334025675748384
17529 SPATA20 -1.96502111446831 0.000336195100887341
18595 TGS1 1.46210806513917 0.000336443965998112
6883 NTSR1 2.00760641539357 0.000337406160552076
18678 ZNF219 -1.52254908839068 0.000337927504232888
2383 SLC16A3 1.66015681712376 0.000339963879887953
16827 MYRF 1.8791261316241 0.000340098162919757
4656 NPM3 -1.60474506068565 0.000342212809095125
21847 ASMTL -1.53550364651956 0.000342255976863816
4310 MLF1 -1.55626150153763 0.000346067038179696
18282 MAN1C1 -2.82969657959996 0.00035326286743317
5401 ITPKA 4.85086396961595 0.000353885707181285
17199 SYNCRIP 2.28866368462099 0.000356474647226023
14245 NPIPP1 1.80131266703649 0.000357749181902906
18575 USP18 1.87285593127726 0.000359307622754027
3664 GPR137B -1.64868246213976 0.00036158542529704
806 DAB2 -1.87543430079681 0.000364419248649151
10397 FDFT1 -1.39923644456528 0.000365933286053274
5287 OGG1 -1.80810868919929 0.000368486249435613
4065 NPIPP1 1.8258201287311 0.000369193674930763
4919 CCL14 -1.8285024280982 0.000370995339687254
3719 CD37 -6.07702722929264 0.000372352344741712
12375 AHNAK2 -1.43586181127087 0.000372867568759196
11888 DIP2C -1.9221415680262 0.000373292943347937
3812 PMAIP1 2.34942973249281 0.000374276505062869
14781 ASTN2 -1.64937038605782 0.000375645847878321
3216 FMR1 2.01783730818751 0.000376063502344637
1797 GBP1P1 3.56013125864645 0.000376084962416822
9053 THBS3 -1.76921295403936 0.000379332540687019
5317 SKAP1 1.55886994874323 0.000380063088251105
2324 SYNPO -2.44037105546407 0.000380816172992756
4223 CDC25A 3.39436418768243 0.000382497756595406
8534 PSMB8 1.73180922333532 0.000384595366242601
10218 DAB2 -1.6559157322299 0.000385690825563114
13727 TACR2 3.04481263211892 0.000386338646227413
4116 NUAK1 -1.86085231884574 0.000396341756720903
1418 RRM2 1.71030451091568 0.000396550747710882
1115 IRAK1 1.45259696653794 0.000396807716317702
20955 RPL31 -1.4600855221763 0.000398405772173936
14692 NA -3.0516060363507 0.000402233914276111
7677 TRIM31 2.21628739300803 0.000402704715603011
5821 IL18 -2.23517091004974 0.000404104813912354
1396 TBL1X -1.66374561345569 0.000404892984788978
16347  1.54727579447516 0.00040661121144514
22127 ZNF419 -1.49116232256651 0.00040789976060368
11528 MCM4 3.03282359737142 0.000409313129541326
4838 DDC -1.85667386536447 0.000412107401779555
21028 HSPB8 -3.70324237925477 0.000412363816538197
20864 NPIPA2 1.71395585470495 0.000416836047576848
18412 PIGN -2.11190099306247 0.000418438936720117
4668 ANG -2.38786492973763 0.00042013885032352
19406 HIVEP3 1.73247337104524 0.000420810528500625
8518  2.07695770824622 0.000420933952990088
11571 MT2A 1.56618345585771 0.000424436616853993
9181 ASTN2 -1.5868321166562 0.000426895795796954
8593 JAG1 -2.76457213337822 0.000429707296376013
8612 TUBA1A -1.91595119306504 0.000434168634253375
10433 TPM1 -1.61784090187666 0.000435052143743907
4241 F5 -1.83915564006422 0.000437636827231367
1899 TCEAL4 -2.00465141776306 0.000438316922873193
415 STAT1 2.06680988786968 0.000440224685775918
13476 RPS21 -1.62224244565246 0.000443114841300328
17361 PHLDA1 1.55257160760845 0.000443294878093899
2749 TLE1 -1.36254822614566 0.00044743509043186
7328 ATP6AP1 1.38574421010323 0.000448070128151781
15240 CA12 -1.56025930507677 0.000448444767113274
12434 ZC3HAV1 1.8691482305103 0.000451083170430199
6673 DLX2 -3.39007594099629 0.000453772468964854
1904  1.96640774926741 0.000454536541684659
15095  1.62575692102913 0.000455222164440592
11668 TMEM97 -1.41445256986652 0.000462341177654789
5632 MAPK12 -1.67875522663284 0.000463469898677629
3213 MPG -1.4734896041911 0.000470686114412008
1958 PLSCR1 2.44651552447202 0.000471007541855412
13627 TRIM2 -3.43974815184527 0.000471051882752875
17298 LAP3 2.03485533027412 0.000474438250477873
11916 NA 1.35501304552151 0.000474657955380545
8893 NA -2.07695514322688 0.00047681793464831
3178 ZFYVE16 -4.2373978604947 0.000478516264263886
22040 FAXDC2 1.8699631360333 0.000486031059444566
3271 HMGB3 1.38238149268201 0.000486825997275288
10880 RAB36 1.83369598055038 0.000494432121817896
1814 TACSTD2 1.64090869425421 0.000495548379478181
12583 TNNT1 -1.73389906225838 0.00049650725230583
19163 DHRS9 2.67904227609804 0.000498880687860093
9250 SP110 1.93732303509603 0.000499393565269732
22013 EHD2 -1.48146425522725 0.000499741930100807
10823 KIR2DL2 -1.70598749360318 0.000502857225435826
5918 RARRES1 6.28752519472988 0.000505529952680339
10741 SARDH -2.13863474769879 0.000514317625437099
12688 SHANK2 -2.34131996631473 0.000515604878315415
2789 FAM50A 1.51632909644849 0.000516202297339793
9945 MAGEA12 -4.45083481905122 0.000520311153041774
17390 ECI2 -2.54251851318021 0.000520827528884478
21484 HIF3A -2.28183001698146 0.000521579035365764
1381 CDC25B -1.29847331764533 0.000522209120308385
17703 PHC1P1 -3.25205643774791 0.000528980706960406
8688 CETN2 1.44208630801218 0.000529121613676828
1773 LSS -1.66668388073182 0.000529499321426319
13281 ASAH1 -1.89285670170438 0.000531611745539914
10340 TP53TG1 -1.56490132112838 0.00053426292782516
11180 MTA1 -1.5817659045984 0.000534355236941407
1000 VBP1 1.55500633955556 0.000537612767580886
2801 F8A1 1.85242476419631 0.000538326946232092
1526 ST6GAL1 -2.20925146380284 0.000539265001833985
18384 HS1BP3 -1.6972127369492 0.000547354203662841
18611 ZDHHC14 2.45623660250564 0.000548487384343686
2862 PHYH -1.60185859812738 0.000549603859490888
11299 NA 1.41191884550769 0.000552974028031127
21349 SNORA70 1.40089907723914 0.000553071178972168
18111 TAPBPL 2.42887731753859 0.000556335520088813
8634 HLA-B 1.35658351073575 0.000559312259919462
6449 PRKCA -2.81902213171289 0.000561930991059641
1986 PRSS23 -1.48148294093295 0.000564301126136437
808 DAB2 -2.24871604732353 0.000565003644949294
18728 DHX58 4.04352682967399 0.00056882850194899
8580 MCAM -1.77620502776017 0.000569159063186324
21427 HIST1H2BD -1.7938827913226 0.000569863067522263
15500 TBCD -2.03330280493715 0.000570062249662556
13543 CA12 -1.44550693365477 0.000570916765689053
10464 LSS -1.57582205357565 0.00057107400506972
4471 PTPRG -4.19929696630824 0.000575429778781808
4115 SLC7A7 -1.97771626016743 0.000576285093479623
1247 EPB41L2 -2.4586477162473 0.000577269744906943
3218 PI3 -2.33775532279261 0.000577965632583487
12546  -1.37730606917372 0.000578063571146111
5354 CCK 3.69430765708657 0.000583830009820826
4266 CENPCP1 -2.08720827852637 0.000585927823388343
8653 NDRG4 -2.28660744731725 0.000586117098639238
1964 CYP1B1 -1.59926585142416 0.000586240025681483
9363 SNCG 2.6210421143387 0.000587185831582411
5855 EXTL1 -2.47047003459145 0.000588200648940451
13467 FUT3 1.42883960842408 0.000588670670710642
1765 NNMT 7.27561581114338 0.000594535758277045
9530 IDH2 -1.47051939710998 0.000600343468389457
5383 SLC14A1 2.47990515766483 0.000600670701965007
19404 ZC4H2 2.50937334691258 0.000604239880917636
586 MYL9 2.79506914862449 0.000604682306415705
21441  -3.60303134543431 0.000605942772729605
10449 TRIM29 2.01794986168 0.000617326558932966
19048 RTP4 3.72637093872332 0.000617673190001384
18558 SEMA4G -1.70850836182722 0.00061888601310096
5581  1.41019705737369 0.00062051319356284
15007 NA -2.04779440466327 0.000626605185821548
11667 TMEM97 -1.37969179336092 0.000627515318065373
21236 ZNF783 1.51306338423952 0.000627638369909613
22163 MAPKAPK5-AS1 -1.69753234941584 0.000632985484993857
19919 PDZD7 -2.79883287897517 0.000633000432696582
2135 NDST1 -1.69131146446531 0.00063440680415049
9521 KCNH2 -1.50014265824789 0.00063891608740657
13180 CFH 1.45834588780753 0.000640327845457648
13822 PVR 1.77364694506153 0.000643388328494375
21396 MCM4 1.88572388367644 0.000644095223155577
14681 ZNF529 -3.08433646739403 0.000652653267443503
16277 KIR3DL2 2.07507428312685 0.000657334001642336
4780 PBX1 -1.64917501950934 0.000660931498967985
13453 CTTN -1.28558687122892 0.000662508014473469
9996 MR1 2.08343280596878 0.000666583226122845
8731 SLC23A2 -2.32790206421978 0.00067438283407247
4385 SCO2 1.79723041449941 0.000675240984283231
14141 NAAA 3.33504442520403 0.000676774468598939
13062 NUP50 1.33070448117734 0.000677159544820715
8266 LTA4H -1.60247776035762 0.000677797866452323
1319 DHCR7 -1.98667341409083 0.000678434095291427
15110 USF2 -1.2944437248386 0.000678558694790945
490 RPL31 -2.03390588625398 0.000678938034617157
5362 YTHDC2 -2.09973600612909 0.00068088539103351
4240 F5 -1.75265649185619 0.000681683353548794
11848 NA -1.44494262844787 0.000683778530652357
13491 CXorf40A 1.47570407488669 0.000689671872037179
11665 TMEM97 -1.24570733824332 0.000694965622039271
4225 ISG20 1.63602068267716 0.00069662478149726
8044 HIST1H2BH -1.389298997401 0.000700398094496033
5812 TDGF1P3 2.91455239181133 0.000703227552194969
1999 IDH3G 1.68226756571132 0.000709392498572614
5635 FUT1 1.39926849113814 0.000711633262863947
816 ARHGDIB -1.73306498373891 0.000714668372222122
18317 PCYOX1L -2.33045004070862 0.00072132676055657
2908 APOE -2.6382873683184 0.000722315670036501
10050 POLDIP3 1.88260836399256 0.000722903854803911
11607 IDS 1.46657801436713 0.000726127586738529
21593 DBNDD1 -1.77769353592907 0.000726865413506721
4591 SPRR1B 3.3959523458964 0.000727363095920259
8640 MSMO1 -1.41173703093242 0.000728712690245795
5936 NR0B2 -5.74086038242859 0.00073138648267314
21889  -2.39324411125591 0.000745674881078526
1937 IGF2 -1.65209952768001 0.000746374520950642
21993 NA -1.86433266431654 0.000746699883098893
13590 FTH1 -1.21264075655 0.000749899140331415
1505 KIAA0141 -1.41655082300736 0.000750403640209351
1127 OAT -1.67689114706531 0.000752483178549667
8695 CXCR4 -3.99394912304913 0.00075406190569724
7325 FCN2 2.14794924113962 0.000760598041524451
16595 ASB4 -2.37385399329364 0.000761863308665299
5389 GREB1 -3.25642896040803 0.000762196842681299
2587 PAPSS2 -1.60099394859348 0.000768170621888163
10598 THPO -1.58877739934061 0.000769382216687918
6496 CNTN2 -1.5902763486775 0.000774187877689264
17989 CENPBD1P1 -1.49770394536416 0.000777143047639923
12696 CXorf40A 1.32130698927844 0.000786680417855725
4934 RECK -3.56275010304439 0.000794446589640038
21806 PACS2 -1.33384235158176 0.000803642996299417
1496 PGM1 -1.30977116982813 0.000804120802854586
3685  -1.47570484947902 0.000806194306962682
18842 WFDC1 -3.2463679161002 0.000806836413292807
4035 CA12 -1.86268588686854 0.000807272222731282
3571 QPRT -1.74614655849804 0.000810795476007267
14818 TRIM31 1.71973215452017 0.000815369458128671
2187  1.2868869783191 0.000817571347604675
18189 EGFL7 -1.31393789020203 0.000820334490307497
2750 TLE1 -1.30955176816604 0.000823089542660339
21934 NPAS2 -1.64461081289091 0.000826979086739518
12653 TMEM159 -1.23929066373915 0.000830869278314685
