#Root Gene: Cl_chr1:0,200000000	 Tot. Edges: 15440
#Edge	Weight	Prob ( > 0 )	Cis/Trans
KLHL17--CDK11B	0.280572	0.120713	CIS
KLHL17--SLC22A15	0.281823	0.140917	CIS
KLHL17--FAF1	0.297837	0.399660	CIS
KLHL17--DPYD	0.284900	0.190641	CIS
KLHL17--TTLL10	0.280572	0.120713	CIS
KLHL17--PDE4B	0.292561	0.314413	CIS
KLHL17--CSMD2	0.301572	0.460020	CIS
KLHL17--FBLIM1	0.291698	0.300473	CIS
KLHL17--FPGT-TNNI3K	0.296239	0.373838	CIS
KLHL17--TNNI3K	0.296239	0.373838	CIS
KLHL17--RER1	0.285206	0.195588	CIS
KLHL17--PEX10	0.285206	0.195588	CIS
KLHL17--HSPB11	0.296182	0.372916	CIS
KLHL17--LRRC42	0.296182	0.372916	CIS
KLHL17--C1orf159	0.280572	0.120713	CIS
KLHL17--ATAD3A	0.280572	0.120713	CIS
PLEKHN1--PLEKHN1	0.283262	0.164166	CIS
PLEKHN1--MIB2	0.280572	0.120713	CIS
PLEKHN1--MMP23B	0.280572	0.120713	CIS
PLEKHN1--CDK11B	0.280572	0.120713	CIS
PLEKHN1--SLC22A15	0.281823	0.140917	CIS
PLEKHN1--FAF1	0.297837	0.399660	CIS
PLEKHN1--DPYD	0.284900	0.190641	CIS
PLEKHN1--TTLL10	0.280572	0.120713	CIS
PLEKHN1--PDE4B	0.292561	0.314413	CIS
PLEKHN1--CSMD2	0.301572	0.460020	CIS
PLEKHN1--FBLIM1	0.291698	0.300473	CIS
PLEKHN1--FPGT-TNNI3K	0.296239	0.373838	CIS
PLEKHN1--TNNI3K	0.296239	0.373838	CIS
PLEKHN1--RER1	0.285206	0.195588	CIS
PLEKHN1--PEX10	0.285206	0.195588	CIS
PLEKHN1--HSPB11	0.296182	0.372916	CIS
PLEKHN1--LRRC42	0.296182	0.372916	CIS
PLEKHN1--C1orf159	0.280572	0.120713	CIS
PLEKHN1--ATAD3A	0.280572	0.120713	CIS
PLEKHN1--ISG15	0.283262	0.164166	CIS
PLEKHN1--AGRN	0.283262	0.164166	CIS
PLEKHN1--PRKCZ	0.280572	0.120713	CIS
PLEKHN1--CCNL2	0.280572	0.120713	CIS
PLEKHN1--MRPL20	0.280572	0.120713	CIS
PLEKHN1--TNFRSF18	0.280572	0.120713	CIS
PLEKHN1--TNFRSF4	0.280572	0.120713	CIS
PLEKHN1--SSU72	0.280572	0.120713	CIS
ISG15--SKI	0.285206	0.195588	CIS
ISG15--C1orf159	0.280572	0.120713	CIS
AGRN--SKI	0.285206	0.195588	CIS
AGRN--C1orf159	0.280572	0.120713	CIS
AGRN--RBP7	0.293659	0.332155	CIS
AGRN--TTLL10	0.280572	0.120713	CIS
AGRN--TNFRSF18	0.280572	0.120713	CIS
AGRN--TNFRSF4	0.280572	0.120713	CIS
AGRN--FAM43B	0.299333	0.423841	CIS
AGRN--FAF1	0.297837	0.399660	CIS
AGRN--SDF4	0.280572	0.120713	CIS
AGRN--ATAD3A	0.280572	0.120713	CIS
AGRN--DAB1	0.299460	0.425885	CIS
AGRN--KIAA1751	0.280572	0.120713	CIS
RNF223--CCNL2	0.277908	0.077673	CIS
RNF223--MRPL20	0.277908	0.077673	CIS
RNF223--RNF223	0.277908	0.077673	CIS
RNF223--C1orf159	0.277908	0.077673	CIS
RNF223--SDF4	0.277908	0.077673	CIS
RNF223--KIAA1751	0.277908	0.077673	CIS
RNF223--TTC34	0.282499	0.151837	CIS
RNF223--VWA1	0.277908	0.077673	CIS
RNF223--ATAD3C	0.277908	0.077673	CIS
RNF223--TTLL10	0.277908	0.077673	CIS
RNF223--TNFRSF18	0.277908	0.077673	CIS
RNF223--TNFRSF4	0.277908	0.077673	CIS
RNF223--DVL1	0.277908	0.077673	CIS
RNF223--MXRA8	0.277908	0.077673	CIS
RNF223--ATAD3A	0.277908	0.077673	CIS
RNF223--CEP104	0.287131	0.226690	CIS
RNF223--RLF	0.289660	0.267552	CIS
C1orf159--CCNL2	0.277908	0.077673	CIS
C1orf159--MRPL20	0.277908	0.077673	CIS
C1orf159--C1orf159	0.277908	0.077673	CIS
C1orf159--SDF4	0.277908	0.077673	CIS
C1orf159--KIAA1751	0.277908	0.077673	CIS
C1orf159--TTC34	0.282499	0.151837	CIS
C1orf159--VWA1	0.277908	0.077673	CIS
C1orf159--ATAD3C	0.277908	0.077673	CIS
C1orf159--TTLL10	0.277908	0.077673	CIS
C1orf159--TNFRSF18	0.277908	0.077673	CIS
C1orf159--TNFRSF4	0.277908	0.077673	CIS
C1orf159--DVL1	0.277908	0.077673	CIS
C1orf159--MXRA8	0.277908	0.077673	CIS
C1orf159--ATAD3A	0.277908	0.077673	CIS
C1orf159--CEP104	0.287131	0.226690	CIS
C1orf159--RLF	0.289660	0.267552	CIS
C1orf159--SCNN1D	0.277908	0.077673	CIS
C1orf159--ACAP3	0.277908	0.077673	CIS
C1orf159--B3GALT6	0.277908	0.077673	CIS
C1orf159--FAM132A	0.277908	0.077673	CIS
C1orf159--UBE2J2	0.277908	0.077673	CIS
C1orf159--ATAD3B	0.277908	0.077673	CIS
C1orf159--PRKCZ	0.282499	0.151837	CIS
C1orf159--NADK	0.277908	0.077673	CIS
C1orf159--E2F2	0.296901	0.384534	CIS
C1orf159--PUSL1	0.277908	0.077673	CIS
C1orf159--CPSF3L	0.277908	0.077673	CIS
C1orf159--GLTPD1	0.277908	0.077673	CIS
C1orf159--TAS1R3	0.277908	0.077673	CIS
TTLL10--DVL1	0.277908	0.077673	CIS
TTLL10--MXRA8	0.277908	0.077673	CIS
TTLL10--SEPN1	0.291878	0.303381	CIS
TTLL10--FAM54B	0.291878	0.303381	CIS
TTLL10--PRKCZ	0.282499	0.151837	CIS
TTLL10--TTLL10	0.277908	0.077673	CIS
TTLL10--TNFRSF18	0.277908	0.077673	CIS
TTLL10--TNFRSF4	0.277908	0.077673	CIS
TTLL10--VAMP3	0.287335	0.229979	CIS
TTLL10--CDK11B	0.277908	0.077673	CIS
TTLL10--SLC35E2B	0.277908	0.077673	CIS
TTLL10--SDF4	0.277908	0.077673	CIS
TTLL10--B3GALT6	0.277908	0.077673	CIS
TTLL10--FAM132A	0.277908	0.077673	CIS
TTLL10--UBE2J2	0.277908	0.077673	CIS
TTLL10--SSU72	0.277908	0.077673	CIS
TTLL10--TPRG1L	0.287131	0.226690	CIS
TTLL10--WRAP73	0.287131	0.226690	CIS
TTLL10--GNB1	0.277908	0.077673	CIS
TTLL10--VWA1	0.277908	0.077673	CIS
TTLL10--ATAD3C	0.277908	0.077673	CIS
TTLL10--ACAP3	0.277908	0.077673	CIS
TTLL10--PUSL1	0.277908	0.077673	CIS
TTLL10--CPSF3L	0.277908	0.077673	CIS
TTLL10--GLTPD1	0.277908	0.077673	CIS
TTLL10--TAS1R3	0.277908	0.077673	CIS
TTLL10--CCNL2	0.277908	0.077673	CIS
TTLL10--MRPL20	0.277908	0.077673	CIS
TTLL10--LOC643988	0.277908	0.077673	CIS
TTLL10--KIAA1751	0.277908	0.077673	CIS
TTLL10--SCNN1D	0.277908	0.077673	CIS
TNFRSF18--VWA1	0.277908	0.077673	CIS
TNFRSF18--ATAD3C	0.277908	0.077673	CIS
TNFRSF18--ACAP3	0.277908	0.077673	CIS
TNFRSF18--PUSL1	0.277908	0.077673	CIS
TNFRSF18--CPSF3L	0.277908	0.077673	CIS
TNFRSF18--GLTPD1	0.277908	0.077673	CIS
TNFRSF18--TAS1R3	0.277908	0.077673	CIS
TNFRSF18--DVL1	0.277908	0.077673	CIS
TNFRSF18--SDF4	0.277908	0.077673	CIS
TNFRSF18--TNFRSF18	0.277908	0.077673	CIS
TNFRSF18--TNFRSF4	0.277908	0.077673	CIS
TNFRSF18--CCNL2	0.277908	0.077673	CIS
TNFRSF18--MRPL20	0.277908	0.077673	CIS
TNFRSF18--GNB1	0.277908	0.077673	CIS
TNFRSF18--B3GALT6	0.277908	0.077673	CIS
TNFRSF18--FAM132A	0.277908	0.077673	CIS
TNFRSF18--UBE2J2	0.277908	0.077673	CIS
TNFRSF18--LOC643988	0.277908	0.077673	CIS
TNFRSF18--KIAA1751	0.277908	0.077673	CIS
TNFRSF18--MXRA8	0.277908	0.077673	CIS
TNFRSF18--SCNN1D	0.277908	0.077673	CIS
TNFRSF4--VWA1	0.277908	0.077673	CIS
TNFRSF4--ATAD3C	0.277908	0.077673	CIS
TNFRSF4--ACAP3	0.277908	0.077673	CIS
TNFRSF4--PUSL1	0.277908	0.077673	CIS
TNFRSF4--CPSF3L	0.277908	0.077673	CIS
TNFRSF4--GLTPD1	0.277908	0.077673	CIS
TNFRSF4--TAS1R3	0.277908	0.077673	CIS
TNFRSF4--DVL1	0.277908	0.077673	CIS
TNFRSF4--SDF4	0.277908	0.077673	CIS
TNFRSF4--TNFRSF4	0.277908	0.077673	CIS
TNFRSF4--CCNL2	0.277908	0.077673	CIS
TNFRSF4--MRPL20	0.277908	0.077673	CIS
TNFRSF4--GNB1	0.277908	0.077673	CIS
TNFRSF4--B3GALT6	0.277908	0.077673	CIS
TNFRSF4--FAM132A	0.277908	0.077673	CIS
TNFRSF4--UBE2J2	0.277908	0.077673	CIS
TNFRSF4--LOC643988	0.277908	0.077673	CIS
TNFRSF4--KIAA1751	0.277908	0.077673	CIS
TNFRSF4--MXRA8	0.277908	0.077673	CIS
TNFRSF4--SCNN1D	0.277908	0.077673	CIS
SDF4--SDF4	0.277908	0.077673	CIS
SDF4--B3GALT6	0.277908	0.077673	CIS
SDF4--FAM132A	0.277908	0.077673	CIS
SDF4--UBE2J2	0.277908	0.077673	CIS
SDF4--DVL1	0.277908	0.077673	CIS
SDF4--MXRA8	0.277908	0.077673	CIS
SDF4--VWA1	0.277908	0.077673	CIS
SDF4--SCNN1D	0.277908	0.077673	CIS
SDF4--ACAP3	0.277908	0.077673	CIS
SDF4--ATAD3A	0.277908	0.077673	CIS
SDF4--PRKCZ	0.282499	0.151837	CIS
SDF4--PRDM16	0.287131	0.226690	CIS
SDF4--MMEL1	0.282499	0.151837	CIS
SDF4--MIB2	0.277908	0.077673	CIS
SDF4--ZNF643	0.289660	0.267552	CIS
SDF4--SKI	0.282499	0.151837	CIS
B3GALT6--SCNN1D	0.277908	0.077673	CIS
B3GALT6--ACAP3	0.277908	0.077673	CIS
B3GALT6--ATAD3A	0.277908	0.077673	CIS
B3GALT6--PRKCZ	0.282499	0.151837	CIS
B3GALT6--PRDM16	0.287131	0.226690	CIS
B3GALT6--MMEL1	0.282499	0.151837	CIS
B3GALT6--MIB2	0.277908	0.077673	CIS
B3GALT6--DVL1	0.277908	0.077673	CIS
B3GALT6--MXRA8	0.277908	0.077673	CIS
B3GALT6--ZNF643	0.289660	0.267552	CIS
B3GALT6--SKI	0.282499	0.151837	CIS
FAM132A--SCNN1D	0.277908	0.077673	CIS
FAM132A--ACAP3	0.277908	0.077673	CIS
FAM132A--ATAD3A	0.277908	0.077673	CIS
FAM132A--PRKCZ	0.282499	0.151837	CIS
FAM132A--PRDM16	0.287131	0.226690	CIS
FAM132A--MMEL1	0.282499	0.151837	CIS
FAM132A--MIB2	0.277908	0.077673	CIS
FAM132A--DVL1	0.277908	0.077673	CIS
FAM132A--MXRA8	0.277908	0.077673	CIS
FAM132A--ZNF643	0.289660	0.267552	CIS
FAM132A--SKI	0.282499	0.151837	CIS
UBE2J2--SCNN1D	0.277908	0.077673	CIS
UBE2J2--ACAP3	0.277908	0.077673	CIS
UBE2J2--ATAD3A	0.277908	0.077673	CIS
UBE2J2--PRKCZ	0.282499	0.151837	CIS
UBE2J2--PRDM16	0.287131	0.226690	CIS
UBE2J2--MMEL1	0.282499	0.151837	CIS
UBE2J2--MIB2	0.277908	0.077673	CIS
UBE2J2--DVL1	0.277908	0.077673	CIS
UBE2J2--MXRA8	0.277908	0.077673	CIS
UBE2J2--ZNF643	0.289660	0.267552	CIS
UBE2J2--SKI	0.282499	0.151837	CIS
SCNN1D--GNB1	0.277908	0.077673	CIS
SCNN1D--CCNL2	0.277908	0.077673	CIS
SCNN1D--MRPL20	0.277908	0.077673	CIS
SCNN1D--PRDM2	0.289195	0.260027	CIS
SCNN1D--SCNN1D	0.277908	0.077673	CIS
SCNN1D--ACAP3	0.277908	0.077673	CIS
SCNN1D--CDK11B	0.277908	0.077673	CIS
SCNN1D--CDK11A	0.277908	0.077673	CIS
SCNN1D--SLC35E2	0.277908	0.077673	CIS
SCNN1D--ATAD3A	0.277908	0.077673	CIS
SCNN1D--PUM1	0.295097	0.355388	CIS
SCNN1D--MIB2	0.277908	0.077673	CIS
SCNN1D--MMP23B	0.277908	0.077673	CIS
SCNN1D--PUSL1	0.277908	0.077673	CIS
SCNN1D--CPSF3L	0.277908	0.077673	CIS
SCNN1D--GLTPD1	0.277908	0.077673	CIS
SCNN1D--TAS1R3	0.277908	0.077673	CIS
SCNN1D--DVL1	0.277908	0.077673	CIS
ACAP3--PRDM2	0.289195	0.260027	CIS
ACAP3--GNB1	0.277908	0.077673	CIS
ACAP3--ACAP3	0.277908	0.077673	CIS
ACAP3--CDK11B	0.277908	0.077673	CIS
ACAP3--CDK11A	0.277908	0.077673	CIS
ACAP3--SLC35E2	0.277908	0.077673	CIS
ACAP3--ATAD3A	0.277908	0.077673	CIS
ACAP3--PUM1	0.295097	0.355388	CIS
ACAP3--MIB2	0.277908	0.077673	CIS
ACAP3--MMP23B	0.277908	0.077673	CIS
ACAP3--PUSL1	0.277908	0.077673	CIS
ACAP3--CPSF3L	0.277908	0.077673	CIS
ACAP3--GLTPD1	0.277908	0.077673	CIS
ACAP3--TAS1R3	0.277908	0.077673	CIS
ACAP3--DVL1	0.277908	0.077673	CIS
ACAP3--VWA1	0.277908	0.077673	CIS
ACAP3--ATAD3C	0.277908	0.077673	CIS
ACAP3--ATAD3B	0.277908	0.077673	CIS
PUSL1--VWA1	0.277908	0.077673	CIS
PUSL1--ATAD3C	0.277908	0.077673	CIS
PUSL1--ATAD3B	0.277908	0.077673	CIS
CPSF3L--VWA1	0.277908	0.077673	CIS
CPSF3L--ATAD3C	0.277908	0.077673	CIS
CPSF3L--ATAD3B	0.277908	0.077673	CIS
GLTPD1--VWA1	0.277908	0.077673	CIS
GLTPD1--ATAD3C	0.277908	0.077673	CIS
GLTPD1--ATAD3B	0.277908	0.077673	CIS
TAS1R3--VWA1	0.277908	0.077673	CIS
TAS1R3--ATAD3C	0.277908	0.077673	CIS
TAS1R3--ATAD3B	0.277908	0.077673	CIS
DVL1--VWA1	0.277908	0.077673	CIS
DVL1--ATAD3C	0.277908	0.077673	CIS
DVL1--ATAD3B	0.277908	0.077673	CIS
DVL1--DVL1	0.277908	0.077673	CIS
DVL1--MXRA8	0.277908	0.077673	CIS
DVL1--KIAA1751	0.277908	0.077673	CIS
DVL1--GABRD	0.277908	0.077673	CIS
DVL1--CDK11B	0.277908	0.077673	CIS
DVL1--SLC35E2B	0.277908	0.077673	CIS
MXRA8--MXRA8	0.277908	0.077673	CIS
MXRA8--VWA1	0.277908	0.077673	CIS
MXRA8--ATAD3C	0.277908	0.077673	CIS
MXRA8--KIAA1751	0.277908	0.077673	CIS
MXRA8--GABRD	0.277908	0.077673	CIS
MXRA8--CDK11B	0.277908	0.077673	CIS
MXRA8--SLC35E2B	0.277908	0.077673	CIS
CCNL2--CCNL2	0.277908	0.077673	CIS
CCNL2--MRPL20	0.277908	0.077673	CIS
CCNL2--SSU72	0.277908	0.077673	CIS
CCNL2--SKI	0.282499	0.151837	CIS
CCNL2--KIAA1751	0.277908	0.077673	CIS
CCNL2--VWA1	0.277908	0.077673	CIS
CCNL2--ATAD3A	0.277908	0.077673	CIS
CCNL2--LOC643988	0.277908	0.077673	CIS
CCNL2--MIB2	0.277908	0.077673	CIS
CCNL2--ATAD3C	0.277908	0.077673	CIS
CCNL2--ATAD3B	0.277908	0.077673	CIS
MRPL20--MRPL20	0.277908	0.077673	CIS
MRPL20--SSU72	0.277908	0.077673	CIS
MRPL20--SKI	0.282499	0.151837	CIS
MRPL20--KIAA1751	0.277908	0.077673	CIS
MRPL20--VWA1	0.277908	0.077673	CIS
MRPL20--ATAD3A	0.277908	0.077673	CIS
MRPL20--LOC643988	0.277908	0.077673	CIS
MRPL20--MIB2	0.277908	0.077673	CIS
MRPL20--ATAD3C	0.277908	0.077673	CIS
MRPL20--ATAD3B	0.277908	0.077673	CIS
VWA1--SSU72	0.277908	0.077673	CIS
VWA1--MIB2	0.277908	0.077673	CIS
VWA1--MMP23B	0.277908	0.077673	CIS
VWA1--CDK11B	0.277908	0.077673	CIS
VWA1--ATAD3A	0.277908	0.077673	CIS
VWA1--VWA1	0.277908	0.077673	CIS
VWA1--ATAD3C	0.277908	0.077673	CIS
VWA1--ATAD3B	0.277908	0.077673	CIS
VWA1--KPNA6	0.295926	0.368793	CIS
VWA1--C1orf86	0.282499	0.151837	CIS
VWA1--SLC2A1	0.296758	0.382229	CIS
VWA1--MORN1	0.282499	0.151837	CIS
ATAD3C--ATAD3C	0.277908	0.077673	CIS
ATAD3C--KPNA6	0.295926	0.368793	CIS
ATAD3C--C1orf86	0.282499	0.151837	CIS
ATAD3C--ATAD3A	0.277908	0.077673	CIS
ATAD3C--SLC2A1	0.296758	0.382229	CIS
ATAD3C--MORN1	0.282499	0.151837	CIS
ATAD3C--ATAD3B	0.277908	0.077673	CIS
ATAD3C--MAST2	0.295741	0.365796	CIS
ATAD3C--EIF4G3	0.305118	0.517314	CIS
ATAD3B--ATAD3B	0.277908	0.077673	CIS
ATAD3B--ATAD3A	0.277908	0.077673	CIS
ATAD3B--MAST2	0.295741	0.365796	CIS
ATAD3B--EIF4G3	0.305118	0.517314	CIS
ATAD3B--MIB2	0.277908	0.077673	CIS
ATAD3B--MMP23B	0.277908	0.077673	CIS
ATAD3B--CDK11B	0.277908	0.077673	CIS
ATAD3B--PPT1	0.289660	0.267552	CIS
ATAD3A--MIB2	0.277908	0.077673	CIS
ATAD3A--ATAD3A	0.277908	0.077673	CIS
ATAD3A--MMP23B	0.277908	0.077673	CIS
ATAD3A--CDK11B	0.277908	0.077673	CIS
ATAD3A--SSU72	0.277908	0.077673	CIS
ATAD3A--EIF2C1	0.294532	0.346262	CIS
ATAD3A--SLC35E2B	0.277908	0.077673	CIS
ATAD3A--VWA5B1	0.296491	0.377923	CIS
ATAD3A--CDK11A	0.277908	0.077673	CIS
ATAD3A--GPR153	0.287644	0.234970	CIS
ATAD3A--LOC643988	0.277908	0.077673	CIS
TMEM240--MIB2	0.277908	0.077673	CIS
TMEM240--MMP23B	0.277908	0.077673	CIS
TMEM240--CDK11B	0.277908	0.077673	CIS
SSU72--MIB2	0.277908	0.077673	CIS
SSU72--MMP23B	0.277908	0.077673	CIS
SSU72--CDK11B	0.277908	0.077673	CIS
SSU72--SSU72	0.277908	0.077673	CIS
SSU72--MEGF6	0.287131	0.226690	CIS
SSU72--SLC35E2B	0.277908	0.077673	CIS
SSU72--SLC30A2	0.291878	0.303381	CIS
SSU72--TRIM63	0.291878	0.303381	CIS
SSU72--PRKCZ	0.282499	0.151837	CIS
SSU72--AK5	0.288495	0.248725	CIS
SSU72--CDK11A	0.277908	0.077673	CIS
SSU72--CEP104	0.287131	0.226690	CIS
SSU72--DFFB	0.287131	0.226690	CIS
SSU72--LOC643988	0.277908	0.077673	CIS
SSU72--SKI	0.282499	0.151837	CIS
SSU72--GNB1	0.277908	0.077673	CIS
LOC643988--MIB2	0.277908	0.077673	CIS
LOC643988--MMP23B	0.277908	0.077673	CIS
LOC643988--CDK11B	0.277908	0.077673	CIS
LOC643988--KIAA1751	0.277908	0.077673	CIS
LOC643988--GABRD	0.277908	0.077673	CIS
LOC643988--GNB1	0.277908	0.077673	CIS
LOC643988--ZMYM4	0.291831	0.302618	CIS
LOC643988--KLHL21	0.287644	0.234970	CIS
MIB2--MIB2	0.277908	0.077673	CIS
MIB2--KIAA1751	0.277908	0.077673	CIS
MIB2--MMP23B	0.277908	0.077673	CIS
MIB2--CDK11B	0.277908	0.077673	CIS
MIB2--CDK11A	0.277908	0.077673	CIS
MIB2--SLC35E2B	0.277908	0.077673	CIS
MIB2--SPEN	0.288928	0.255726	CIS
MIB2--SLC35E2	0.277908	0.077673	CIS
MIB2--NOL9	0.287644	0.234970	CIS
MMP23B--CDK11B	0.277908	0.077673	CIS
MMP23B--SLC35E2B	0.277908	0.077673	CIS
MMP23B--CDK11A	0.277908	0.077673	CIS
MMP23B--SLC35E2	0.277908	0.077673	CIS
MMP23B--NOL9	0.287644	0.234970	CIS
CDK11B--CDK11B	0.277908	0.077673	CIS
CDK11B--SLC35E2B	0.277908	0.077673	CIS
CDK11B--CDK11A	0.277908	0.077673	CIS
CDK11B--SLC35E2	0.277908	0.077673	CIS
CDK11B--NOL9	0.287644	0.234970	CIS
CDK11B--PRDM16	0.287131	0.226690	CIS
CDK11B--GNB1	0.277908	0.077673	CIS
CDK11B--KIAA1751	0.277908	0.077673	CIS
CDK11B--KIAA2013	0.285852	0.206013	CIS
CDK11B--RER1	0.282499	0.151837	CIS
CDK11B--PEX10	0.282499	0.151837	CIS
CDK11B--EPHA2	0.288928	0.255726	CIS
CDK11B--TTC34	0.282499	0.151837	CIS
CDK11B--EYA3	0.295537	0.362507	CIS
CDK11B--KCNAB2	0.287644	0.234970	CIS
CDK11B--CHD5	0.287644	0.234970	CIS
CDK11B--ZYG11B	0.292651	0.315867	CIS
CDK11B--PLCH2	0.282499	0.151837	CIS
CDK11B--CELA3A	0.295773	0.366322	CIS
CDK11B--IL22RA1	0.295824	0.367139	CIS
CDK11B--PRKCZ	0.277908	0.077673	CIS
CDK11B--RAP1GAP	0.305118	0.517314	CIS
CDK11B--SKI	0.282499	0.151837	CIS
CDK11B--MTOR	0.285852	0.206013	CIS
CDK11B--MORN1	0.282499	0.151837	CIS
CDK11B--EPHB2	0.296901	0.384534	CIS
SLC35E2B--SLC35E2B	0.277908	0.077673	CIS
SLC35E2B--TTC34	0.282499	0.151837	CIS
SLC35E2B--EYA3	0.295537	0.362507	CIS
SLC35E2B--CDK11A	0.277908	0.077673	CIS
SLC35E2B--EPHA2	0.288928	0.255726	CIS
SLC35E2B--KCNAB2	0.287644	0.234970	CIS
SLC35E2B--CHD5	0.287644	0.234970	CIS
SLC35E2B--ZYG11B	0.292651	0.315867	CIS
SLC35E2B--GNB1	0.277908	0.077673	CIS
SLC35E2B--PLCH2	0.282499	0.151837	CIS
SLC35E2B--CELA3A	0.295773	0.366322	CIS
SLC35E2B--IL22RA1	0.295824	0.367139	CIS
SLC35E2B--PRKCZ	0.277908	0.077673	CIS
SLC35E2B--RAP1GAP	0.305118	0.517314	CIS
SLC35E2B--SKI	0.282499	0.151837	CIS
SLC35E2B--MTOR	0.285852	0.206013	CIS
CDK11A--MORN1	0.282499	0.151837	CIS
CDK11A--TTC34	0.282499	0.151837	CIS
CDK11A--EPHB2	0.296901	0.384534	CIS
CDK11A--CDK11A	0.277908	0.077673	CIS
CDK11A--SLC35E2	0.277908	0.077673	CIS
CDK11A--KIAA1751	0.277908	0.077673	CIS
SLC35E2--KIAA1751	0.277908	0.077673	CIS
NADK--KIAA1751	0.277908	0.077673	CIS
GNB1--GNB1	0.277908	0.077673	CIS
GNB1--RCC2	0.293801	0.334457	CIS
GNB1--MMEL1	0.282499	0.151837	CIS
GNB1--IL23R	0.287993	0.240615	CIS
GNB1--SKI	0.282499	0.151837	CIS
GNB1--KIAA1751	0.277908	0.077673	CIS
GNB1--PTCHD2	0.285852	0.206013	CIS
GNB1--C1orf86	0.282499	0.151837	CIS
GNB1--IL22RA1	0.295824	0.367139	CIS
GNB1--GABRD	0.277908	0.077673	CIS
GNB1--ESPN	0.287644	0.234970	CIS
GNB1--TNFRSF25	0.287644	0.234970	CIS
GNB1--PLEKHG5	0.287644	0.234970	CIS
GNB1--NIPAL3	0.295824	0.367139	CIS
GNB1--CLCNKA	0.288928	0.255726	CIS
GNB1--CLCNKB	0.288928	0.255726	CIS
GNB1--CCDC24	0.293115	0.323372	CIS
GNB1--SLC6A9	0.293115	0.323372	CIS
GNB1--FOXJ3	0.293516	0.329842	CIS
GNB1--PRKCZ	0.282499	0.151837	CIS
GNB1--CDA	0.296491	0.377923	CIS
KIAA1751--KIAA1751	0.277908	0.077673	CIS
KIAA1751--PADI2	0.293801	0.334457	CIS
KIAA1751--PRKCZ	0.282499	0.151837	CIS
KIAA1751--C1orf86	0.282499	0.151837	CIS
KIAA1751--RIMS3	0.292826	0.318693	CIS
