#mm10.refGene.chrom	mm10.refGene.strand	mm10.refGene.txStart	mm10.refGene.txEnd	mm10.kgXref.geneSymbol	mm10.knownToLocusLink.value
chr1	+	118389057	118609462	Clasp1	76707,
chr1	+	118389057	118609462	Clasp1	76707,
chr1	+	118389057	118609462	Clasp1	76707,
chr1	-	123332137	124045559	Dpp10	269109
chr1	+	127868772	127943876	Rab3gap1	226407
chr1	-	131053703	131097543	Mapkapk2	17164
chr1	-	132113546	132139685	Cdk18	18557
chr1	+	129273303	130219278	Thsd7b	210417,
chr1	-	135262698	135284084	Rnpep	215615
chr1	-	136268122	136346104	Camsap2	67886,
chr1	+	139454772	139494088	Aspm	12316,
chr1	-	135262698	135284084	Rnpep	215615
chr1	+	140246256	140610261	Kcnt2	240776
chr1	-	149829621	149961284	Pla2g4a	18783
chr1	+	146497686	146902472	Fam5c	215378
chr1	-	143607498	143702684	Cdc73	214498
chr1	+	146495665	146902472	Fam5c	215378,
chr1	+	155158702	155203517	Stx6	58244,
chr1	+	152955100	153119261	Nmnat2	226518
chr1	-	157135182	157412595	Rasal2	226525
chr1	-	158245268	158356260	Fam5b	240843
chr1	-	151884523	152090320	1700025G04Rik	69399
chr1	-	165648944	165708094	Rcsd1	226594
chr1	-	160256571	160792938	Rabgap1l	29809,
chr1	-	165648944	165708094	Rcsd1	226594
chr1	-	170917593	170927583	Fcrla	98752
chr1	-	175059075	175492545	Rgs7	24012,
chr1	-	170917593	170927583	Fcrla	98752,
chr1	-	170917593	170927583	NA	98752
chr1	-	175059075	175492545	Rgs7	24012,
chr1	+	181352627	181460641	Cnih3	72978
chr1	+	181352627	181460641	Cnih3	72978
chr1	+	181352627	181460641	Cnih3	72978
chr1	+	182409166	182462436	Trp53bp2	209456,
chr1	-	178955038	179518003	Smyd3	69726,
chr1	+	180330475	180423659	Itpkb	320404
chr1	-	177022114	177248767	Akt3	23797
chr1	+	187609005	188214884	Esrrg	26381,
chr1	-	190772878	190911770	Rps6kc1	320119,
chr1	+	185537335	185988795	NA	NA
chr1	+	188262837	188965039	Ush2a	22283
chr1	-	186623185	186705992	Tgfb2	21808,
chr1	+	189728267	189876693	Ptpn14	19250,
chr1	+	195017398	195037908	A330023F24Rik	320977
chr1	-	3214481	3671498	Xkr4	497097
chr1	-	4909575	5019426	Rgs20	58175
chr1	+	5083172	5162549	Atp6v1h	108664,
chr1	-	4290845	4409241	Rp1	19888
chr1	-	4909575	5070285	Rgs20	58175
chr1	+	6487230	6860940	St18	240690
chr1	+	6487230	6860940	St18	240690
chr1	+	6730050	6860940	NA	240690
chr1	+	6730050	6860940	NA	240690
chr1	+	6730050	6860940	St18	240690,
chr1	+	9548045	9577968	Adhfe1	76187
chr1	+	10038217	10136768	Cspp1	211660,
chr1	+	9798129	9902568	Sgk3	170755,
chr1	-	9668834	9700209	Mybl1	17864
chr1	+	9798129	9902568	Sgk3	170755
chr1	-	9560832	9631092	2610203C22Rik	72481
chr1	+	9548045	9577968	Adhfe1	76187
chr1	-	10137506	10232670	Arfgef1	211673,
chr1	+	11263962	11303682	Prex2	109294
chr1	+	10993464	11303682	Prex2	109294
chr1	-	10708386	10865874	Mir467e	NA
chr1	-	13139158	13374083	Ncoa2	17978,
chr1	+	12692429	12860372	Sulf1	240725
chr1	+	12718544	12860372	Sulf1	240725,
chr1	+	12692429	12860372	Sulf1	240725
chr1	-	12866549	12991135	Slco5a1	240726
chr1	-	13139158	13374083	Ncoa2	17978,
chr1	-	14168957	14310199	Eya1	14048,
chr1	-	14168957	14310199	Eya1	14048
chr1	+	15312451	15714214	Kcnb2	98741
chr1	-	16228809	16519302	Stau2	29819
chr1	-	15853861	15892722	Gm106	226866
chr1	+	16105881	16132550	Rdh10	98711
chr1	-	16228809	16519302	Stau2	29819,
chr1	-	16642764	16656865	Tceb1	67923,
chr1	-	16994939	17097889	Jph1	57339
chr1	-	18210052	18223564	Defb44-ps	654454
chr1	+	19103021	19166332	Tfap2d	226896
chr1	-	20057778	20618057	Pkhd1	241035
chr1	-	21398402	21961942	Kcnq5	226922
chr1	-	21398402	21961942	Kcnq5	226922
chr1	-	22288421	22432843	Rims1	116837
chr1	-	22288421	22432843	Rims1	116837
chr1	-	22468190	22805724	Rims1	116837,
chr1	-	22468190	22805724	NA	116837
chr1	-	22288421	22432843	Rims1	116837
chr1	-	22468190	22805724	Rims1	116837
chr1	-	23845626	23922289	Smap1	98366,
chr1	-	24257682	24587437	Col19a1	12823,
chr1	+	24177609	24252738	Col9a1	12839,
chr1	+	31176434	31204725	Lgsn	266744
chr1	-	31141077	31222656	4931428L18Rik	70988
chr1	+	34011824	34308652	Dst	13518
chr1	+	34459745	34473779	Ptpn18	19253
chr1	+	34011824	34308652	Dst	13518
chr1	+	34849958	34871557	Plekhb2	226971
chr1	+	34849958	34879585	Plekhb2	226971
chr1	-	36562695	36683183	Fam178b	381337
chr1	-	36562695	36593332	Fam178b	381337
chr1	-	36140027	36244302	Uggt1	320011
chr1	-	36423185	36445239	Lman2l	214895,
chr1	-	37485850	37488605	4930594C11Rik	77633
chr1	+	37299892	37410735	Inpp4a	269180,
chr1	+	37219260	37263384	Cnga3	12790
chr1	-	37611675	37719811	2010300C02Rik	72097,
chr1	-	36792188	36939527	Tmem131	56030,
chr1	-	37439339	37536259	Mgat4a	269181,
chr1	-	37878889	37890411	Mitd1	69028
chr1	+	37998009	38055579	Eif5b	226982
chr1	-	38177326	38664955	Aff3	16764,
chr1	+	39194271	39363240	Npas2	18143
chr1	-	39371495	39478747	Tbc1d8	54610,
chr1	-	39665300	39720989	Rfx8	619289
chr1	+	39900912	40026310	Map4k4	26921,
chr1	+	39900912	40026310	Map4k4	26921
chr1	+	40225079	40316177	Il1r1	16177
chr1	+	39900912	40026310	Map4k4	26921
chr1	+	39900912	40026310	Map4k4	26921
chr1	+	40084767	40125226	Il1r2	16178
chr1	+	40681711	40768885	Slc9a2	226999,
chr1	+	42851232	42905683	Mrps9	69527,
chr1	-	43750230	43827708	Uxs1	67883
chr1	+	43445750	43570518	Nck2	17974
chr1	+	44147743	44181260	Ercc5	22592
chr1	+	44551670	44796836	Gulp1	70676,
chr1	-	45374330	45503282	Col5a2	12832
chr1	-	51218385	51333779	9330175M20Rik	442821
chr1	+	50927522	51187270	Tmeff2	56363
chr1	+	52008243	52107184	Stat4	20849,
chr1	-	51749765	51915974	Myo1b	17912
chr1	-	51749765	51915974	Myo1b	17912,
chr1	-	52163449	52233232	Gls	14660,
chr1	-	53344643	53352699	Asnsd1	70396,
chr1	-	53189188	53296996	Pms1	227099,
chr1	-	52656304	52727318	Mfsd6	98682
chr1	-	52659985	52727318	Mfsd6	98682,
chr1	-	53930814	54195034	Hecw2	329152,
chr1	+	54250682	54368727	Ccdc150	78016
chr1	-	53806873	54195034	Hecw2	329152
chr1	-	55300068	55363469	Boll	75388,
chr1	-	55170159	55226782	Rftn2	74013,
chr1	-	55300068	55362707	Boll	75388
chr1	-	54645339	54926387	Ankrd44	329154,
chr1	+	55931240	55972098	9130227L01Rik	329159
chr1	-	56793980	56971334	Satb2	212712,
chr1	+	57406547	57415958	9430016H08Rik	68115
chr1	+	58113135	58200452	Aox3	71724,
chr1	+	57774860	57948397	Spats2l	67198
chr1	+	58029968	58106410	Aox1	11761
chr1	+	57845570	57948397	Spats2l	67198
chr1	+	58586598	58595948	Ndufb3	66495
chr1	+	58447632	58462276	Nif3l1	65102,
chr1	+	58278325	58379264	Aox3l1	213043
chr1	+	58973570	58995121	Stradb	227154,
chr1	-	59100596	59119806	Tmem237	381259,
chr1	-	59100592	59120096	Tmem237	381259
chr1	-	59989067	60043087	Ica1l	70375,
chr1	+	60409618	60481163	Abi2	329165
chr1	+	60409618	60481163	Abi2	329165
chr1	-	60483184	60566765	Raph1	77300
chr1	+	60180598	60334705	Nbeal1	269198,
chr1	+	60409618	60481163	Abi2	329165
chr1	+	62703316	62818692	Nrp2	18187
chr1	+	62703316	62818692	Nrp2	18187
chr1	+	62703316	62797091	Nrp2	18187
chr1	+	62703316	62818692	Nrp2	18187
chr1	+	62703316	62818692	Nrp2	18187
chr1	+	62703316	62797091	Nrp2	18187,
chr1	-	63143591	63176822	Ndufs1	227197
chr1	-	63143591	63176822	Ndufs1	227197
chr1	-	63143591	63176822	Ndufs1	227197
chr1	+	63445903	63596515	Adam23	23792,
chr1	-	63698826	63730318	Mdh1b	76668
chr1	-	63143591	63176822	Ndufs1	227197,
chr1	+	63273268	63314575	Zdbf2	73884,
chr1	+	63273268	63314575	NA	73884
chr1	+	63445903	63573219	Adam23	23792
chr1	-	64035670	64121389	Klf7	93691,
chr1	-	64789120	64956824	Plekhm3	241075,
chr1	+	65186684	65278696	Pikfyve	18711,
chr1	-	66830838	66863309	Acadl	11363
chr1	+	66175328	66442583	Mtap2	17756,
chr1	+	66468446	66699148	Unc80	329178
chr1	+	66700892	66719805	Rpe	66646,
chr1	+	66175328	66442583	Mtap2	17756
chr1	-	69531209	69685960	Ikzf2	22779
chr1	+	69826969	69926250	NA	66722
chr1	-	71027534	71102972	Bard1	12021
chr1	+	70725714	70885397	Vwc2l	320460,
chr1	+	71557155	71579403	Atic	108147,
chr1	-	72427111	72536564	March4	381270
chr1	+	72583250	72636790	Smarcal1	54380,
chr1	-	73618380	73864466	6030407O03Rik	109198
chr1	-	73910230	74124447	Tns1	21961,
chr1	+	74285033	74353692	Pnkd	56695
chr1	-	74967345	75046639	Nhej1	75570
chr1	+	75360343	75367715	Des	13346
chr1	-	74565127	74588028	Zfp142	77264,
chr1	-	77367184	77515088	Epha4	13838,
chr1	-	78101266	78197136	Pax3	18505,
chr1	+	78511059	78538173	Mogat1	68393,
chr1	-	78101266	78197136	Pax3	18505
chr1	+	78310345	78420286	Sgpp2	433323
chr1	-	79794320	79858665	Serpine2	20720,
chr1	+	81077316	81271651	9430031J16Rik	241134,
chr1	+	82339048	82445367	Rhbdd1	76867
chr1	+	82586920	82722059	Col4a3	12828
chr1	+	82316578	82445367	Rhbdd1	76867
chr1	-	82450722	82586849	Col4a4	12829
chr1	-	83255780	83408200	Sphkap	77629,
chr1	-	84721188	84839304	Trip12	14897,
chr1	-	84369838	84696221	Dner	227325,
chr1	-	84036292	84284645	Pid1	98496
chr1	-	85717082	85736606	A630001G21Rik	319997
chr1	-	85576898	85603891	Sp110	109032,
chr1	-	85576898	85598810	Sp110	109032
chr1	+	86154814	86252491	Armc9	78795,
chr1	+	86064618	86139295	Psmd1	70247
chr1	+	86154779	86278284	Armc9	78795,
chr1	+	87620311	87720508	Inpp5d	16331,
chr1	-	87476828	87573870	Ngef	53972
chr1	+	87264363	87310791	Efhd1	98363
chr1	-	87945120	88008551	Usp40	227334,
chr1	+	87803679	87845157	Sag	20215,
chr1	+	87326997	87450810	Gigyf2	227331,
chr1	+	87327028	87450810	Gigyf2	227331,
chr1	+	87620311	87720508	Inpp5d	16331
chr1	+	87620311	87720508	Inpp5d	16331,
chr1	-	87945120	88008551	Usp40	227334,
chr1	+	88134808	88220002	Ugt1a6a	94284,
chr1	+	88200610	88220002	Ugt1a2	22236
chr1	+	88166011	88220002	Ugt1a5	394433
chr1	+	88103256	88218998	Ugt1a2Ugt1a6a,	NA
chr1	+	88095000	88220002	Ugt1a7c	394432
chr1	+	88306711	88388851	Trpm8	171382,
chr1	-	90042131	90153401	Iqca	74918,
chr1	+	89454810	89895282	Agap1	347722
chr1	-	89360343	89406133	C030007H22Rik	77331
chr1	+	89454810	89895282	Agap1	347722,
chr1	-	90766859	90843971	Col6a3	12835,
chr1	+	91053443	91117322	Lrrfip1	16978
chr1	-	90958132	90969620	Rab17	19329
chr1	-	90958132	90967667	Rab17	19329
chr1	+	91053443	91128944	Lrrfip1	16978,
chr1	+	90998726	91128944	Lrrfip1	16978,
chr1	-	90766859	90843971	Col6a3	12835
chr1	+	91351072	91362404	Klhl30	70788
chr1	-	91932748	92148393	Hdac4	208727,
chr1	-	93015455	93101865	Kif1a	16560,
chr1	-	93015455	93101865	Kif1a	16560
chr1	-	93405939	93478808	Hdlbp	110611,
chr1	+	93512103	93621976	Farp2	227377,
chr1	+	93825239	93852174	D2hgdh	98314,
chr1	-	93705390	93754838	Thap4	67026,
chr1	-	97059448	97128303	Slco6c1	74441,
chr1	-	96818783	96872171	Slco4c1	227394
chr1	-	96906175	96997560	Slco6b1	67854
chr1	-	98031122	98047793	B230216N24Rik	78603
chr1	-	97643901	97662018	D1Ertd622e	52392,
chr1	+	98421123	98509380	Slco6d1	70866
chr1	-	97821093	98095632	Pam	18484,
chr1	+	97770178	97792971	Gin1	252876,
chr1	+	98421123	98509380	Slco6d1	70866
chr1	+	99772764	100485942	Cntnap5b	241175,
chr1	-	105518421	105663676	Pign	27392,
chr1	+	106171868	106394245	Phlpp1	98432,
chr1	-	106538178	106714290	Bcl2	12043
chr1	-	106152624	106171524	LOC626049	626049
chr1	-	118834060	119053619	Gli2	14633
chr1	-	119658092	119837071	Ptpn4	19258
chr1	-	119923518	119995210	Gm101	226356
chr1	+	120006979	120063532	Sctr	319229,
chr1	+	121087404	121120975	B230209K01Rik	98452
chr1	+	121431066	121506460	Ccdc93	70829
chr1	+	121431066	121506460	Ccdc93	70829
chr1	+	125561015	125595684	Slc35f5	74150
chr1	-	125913635	126830632	Nckap5	210356,
chr1	-	125913635	126492927	Nckap5	210356,
chr1	-	125913635	126830632	Nckap5	210356
chr1	+	127204985	127482972	Mgat5	107895,
chr1	-	127490341	127678021	Tmem163	72160,
chr1	+	127774163	127804837	Ccnt2	72949
chr1	-	127954185	128102408	Zranb3	226409,
chr1	+	128103305	128237735	R3hdm1	226412,
chr1	-	128284763	128328318	Lct	226413
chr1	-	130670201	130681571	C4bp-ps1	12270
chr1	-	130388527	130422999	Daf2	13137,
chr1	+	130800901	130814740	Fcamr	64435
chr1	+	130800901	130814740	Fcamr	64435
chr1	-	131176409	131245178	Rassf5	54354,
chr1	-	131285250	131527361	Srgap2	14270,
chr1	-	132564689	132741797	Nfasc	269116
chr1	-	132509424	132542940	Cntn2	21367,
chr1	-	132564689	132707326	Nfasc	269116
chr1	-	132356314	132391281	Tmcc2	68875,
chr1	+	132880354	132940005	Lrrn2	16980
chr1	-	132564689	132741797	Nfasc	269116
chr1	+	132191435	132257382	Lemd1	213409,
chr1	+	133246096	133303435	Plekha6	240753
chr1	+	133246096	133303435	Plekha6	240753,
chr1	+	134646680	134749417	Syt2	20980,
chr1	+	134560177	134632878	Kdm5b	75605,
chr1	+	134455554	134490873	Klhl12	240756,
chr1	+	135132724	135145320	Ptpn7	320139,
chr1	-	134346096	134361999	Tmem183a	57439,
chr1	-	134765942	134955940	Ppp1r12b	329251,
chr1	-	134346096	134361999	Tmem183a	57439
chr1	-	134986352	135105276	Lgr6	329252
chr1	-	135434579	135585355	Nav1	215690,
chr1	-	135382314	135430491	Ipo9	226432
chr1	+	136696210	136725728	Gm16880	100503474
chr1	+	138273737	138289462	Atp6v1g3	338375
chr1	-	138062858	138175126	Ptprc	19264
chr1	-	138062858	138175305	NA	19264
chr1	-	138062858	138175305	Ptprc	19264,
chr1	+	138963708	139176042	Dennd1b	329260
chr1	-	139198253	139377076	Crb1	170788,
chr1	-	138484713	138619696	Nek7	59125,
chr1	-	138640094	138682075	Gm5833	545363
chr1	+	138967720	139176042	Dennd1b	329260,
chr1	-	139697918	139781239	Gm4788	214403
chr1	-	139697918	139781239	Gm4788	214403,
chr1	-	140085854	140183411	Cfh	12628,
chr1	-	139697918	139781239	Gm4788	214403
chr1	-	139810291	139858699	Cfhr2	545366
chr1	-	140570175	140656402	4930590L20Rik	75910
chr1	+	143777277	143807466	Uchl5	56207
chr1	+	143777277	143807466	Uchl5	56207
chr1	-	150320680	150346771	2310030A07Rik	75584
chr1	-	150076660	150099766	7530420F21Rik	320019
chr1	-	150562501	150993435	Hmcn1	545370
chr1	+	151755373	151822328	Edem3	66967,
chr1	-	151367698	151428435	Swt1	66875
chr1	+	151571372	151719347	Fam129a	63913,
chr1	+	152807889	152836990	Ncf2	17970
chr1	-	152517529	152625111	Rgl1	19731
chr1	+	152399866	152510695	Glt25d2	269132
chr1	-	153218921	153332786	Lamc1	226519
chr1	-	153455757	153487660	Dhx9	13211,
chr1	-	154392518	154725920	Cacna1e	12290
chr1	-	155701693	155742027	Lhx4	16872
chr1	-	155275656	155417444	Xpr1	19775,
chr1	+	155558119	155687233	Acbd6	72482
chr1	+	155558119	155587794	Acbd6	72482
chr1	-	156804165	156939626	NA	78255
chr1	-	156804165	156939626	Ralgps2	78255
chr1	+	156558786	156649619	Abl2	11352,
chr1	-	156804165	156939626	Ralgps2	78255,
chr1	+	156558786	156649619	Abl2	11352
chr1	-	156804165	156939387	Ralgps2	78255
chr1	-	156804165	156939626	Ralgps2	78255
chr1	-	156804165	156939626	Ralgps2	78255,
chr1	+	157506795	157568424	NA	89867
chr1	+	157412351	157420236	2810025M15Rik	69953
chr1	+	157506795	157568424	Sec16b	89867,
chr1	+	157526169	157568424	Sec16b	89867,
chr1	-	158711730	158957438	Pappa2	23850
chr1	+	158362303	158691786	Astn1	11899,
chr1	+	159232325	159347580	Rfwd2	26374
chr1	+	158362303	158691786	Astn1	11899
chr1	+	159523768	159924922	Tnr	21960
chr1	-	160219173	160351571	Rabgap1l	29809
chr1	+	160906410	160974976	Rc3h1	381305
chr1	-	161816111	161876661	Suco	226551
chr1	-	161987301	162478030	Dnm3	103967
chr1	+	162004968	162016485	2810442N19Rik	72753
chr1	-	161990222	162478034	Dnm3	103967
chr1	-	163024301	163085670	4921528O07Rik	78258
chr1	-	162916550	162937225	Fmo6	226565
chr1	-	163954007	163994781	BC055324	381306,
chr1	+	163779678	163917100	Kifap3	16579,
chr1	-	163702992	163725232	Mettl11b	240879
chr1	+	164307674	164437296	Nme7	171567,
chr1	-	165329500	165460463	Dcaf6	74106
chr1	-	165137852	165160773	Tbx19	83993
chr1	+	165485182	165576773	Adcy10	271639,
chr1	-	165865153	166002634	Pou2f1	18986
chr1	+	165788680	165867436	Cd247	12503
chr1	+	165788680	165871153	Cd247	12503
chr1	-	165865153	166002634	Pou2f1	18986,
chr1	+	165788680	165862112	Cd247	12503
chr1	+	165788680	165871153	Cd247	12503
chr1	+	165788680	165871153	Cd247	12503
chr1	-	166974022	166999730	Gm16701	100503962
chr1	-	167372383	167393797	Mgst3	66447
chr1	-	167226083	167285127	Uck2	80914
chr1	-	168153868	168432258	Pbx1	18514,
chr1	-	168119363	168432258	Pbx1	18514,
chr1	-	170317495	170589849	Nos1ap	70729
chr1	-	169972306	170088944	Ddr2	18214,
chr1	-	170327213	170557110	Nos1ap	70729,
chr1	+	170644531	170682789	Olfml2b	320078
chr1	-	170704456	170867771	Atf6	226641
chr1	+	171437560	171464593	F11r	16456
chr1	+	171559192	171585316	Cd244	18106,
chr1	+	171682054	171705257	Cd48	12506
chr1	-	171173263	171196268	Pcp4l1	66425
chr1	-	172223507	172258424	Atp1a4	27222
chr1	+	172482316	172498877	Igsf9	93842
chr1	+	172082528	172122332	Copa	12847,
chr1	+	172482212	172498877	Igsf9	93842
chr1	+	172341209	172374085	Kcnj10	16513
chr1	-	173274460	173277756	Gm11062	100504232
chr1	-	173920402	173942460	Ifi203	15950,
chr1	-	173920402	173942492	Ifi203	15950,
chr1	+	174501824	174822729	Fmn2	54418,
chr1	+	174172775	174248449	Spna1	20739
chr1	-	174833784	174921819	Grem2	23893
chr1	+	175880777	175911396	Exo1	26909
chr1	+	175632192	175660853	Kmo	98256,
chr1	+	175698592	175815733	Wdr64	75820,
chr1	+	176814811	177020432	Sdccag8	76816,
chr1	+	177991434	178048291	Gm16432	545391
chr1	+	177729813	177753305	1700016C15Rik	69428
chr1	+	178529124	178932857	Kif26b	269152
chr1	+	179546528	179627473	Cnst	226744
chr1	+	179961088	180165602	Cdc42bpa	226751,
chr1	-	180989555	181017495	Ephx1	13849,
chr1	-	181093422	181144157	Nvl	67459
chr1	+	180726042	180754204	Acbd3	170760
chr1	-	181904444	182019980	Enah	13800
chr1	-	182313101	182341606	Fbxo28	67948,
chr1	-	181904444	182019980	Enah	13800
chr1	-	181904444	182019980	Enah	13800
chr1	-	181904444	182019980	Enah	13800
chr1	+	182764905	182895654	Susd4	96935
chr1	+	182565006	182606526	Capn8	170725,
chr1	+	182565006	182632352	Capn8	170725
chr1	-	183086263	183221529	Disp1	68897,
chr1	-	184896423	184999549	Mark1	226778,
chr1	+	185332158	185357769	Bpnt1	23827,
chr1	+	185204167	185286746	Rab3gap2	98732,
chr1	+	185454847	185468761	Slc30a10	226781
chr1	-	187135292	187215446	Spata17	74717
chr1	+	187215510	187351429	Gpatch2	67769,
chr1	-	187048406	187215446	Spata17	74717
chr1	+	187997826	188214884	Esrrg	26381
chr1	-	189207929	189344192	NA	16526
chr1	-	188971097	189007840	Kctd3	226823,
chr1	-	189207929	189343704	Kcnk2	16526,
chr1	-	189207929	189343353	Kcnk2	16526
chr1	-	189640613	189688086	Cenpf	108000,
chr1	-	190947645	190979296	NA	226841
chr1	-	190947645	190978998	Vash2	226841,
chr1	+	191718394	191784257	Lpgat1	226856
chr1	-	191351980	191397041	Ppp2r5a	226849
chr1	+	191098413	191108943	Batf3	381319
chr1	+	191718023	191784257	Lpgat1	226856,
chr1	-	192512827	192771219	Hhat	226861,
chr1	+	192190871	192510158	Kcnh1	16510
chr1	+	192190871	192510158	Kcnh1	16510
chr1	-	193175503	193201546	Traf3ip3	215243
chr1	+	193301993	193343878	Lamb3	16780,
chr1	+	194619828	194816868	Plxna2	18845
chr1	-	195136810	195176715	Cr2	12902,
chr1	-	4343506	4360314	Rp1	19888
chr1	-	4490927	4496413	Sox17	20671,
chr1	-	4773199	4785726	Mrpl15	27395
chr1	-	4773199	4785726	Mrpl15	27395
chr1	+	4807892	4846735	Lypla1	18777,
chr1	-	4773199	4785726	Mrpl15	27395
chr1	+	4857693	4897909	Tcea1	21399
chr1	+	4858327	4897909	Tcea1	21399
chr1	+	4857693	4897909	Tcea1	21399
chr1	+	5588492	5606133	Oprk1	18387
chr1	+	5588492	5606133	Oprk1	18387,
chr1	-	5913706	5917398	Npbwr1	226304
chr1	+	6214661	6276104	Rb1cc1	12421,
chr1	+	6359330	6394731	Fam150a	620393
chr1	+	7088919	7173628	Pcmtd1	319263,
chr1	+	9545407	9547455	Rrs1	59014
chr1	+	9601266	9627142	3110035E14Rik	76982
chr1	-	9723195	9748382	Vcpip1	70675
chr1	+	9747647	9771256	1700034P13Rik	73331
chr1	-	9942469	9942543	Snord87	266793
chr1	+	9908637	9940954	6030422M02Rik	240697,
chr1	+	9848280	9902568	Sgk3	170755
chr1	-	9942024	9944118	Snhg6	73824
chr1	-	10024830	10037898	Cops5	26754,
chr1	-	9995062	10009130	Ppp1r42	69312,
chr1	-	9968625	10009120	Ppp1r42	69312
chr1	+	12667562	12673090	4932411L15	329096
chr1	-	13113427	13127163	Prdm14	383491
chr1	-	13564701	13589864	Tram1	72265
chr1	+	13668770	13701723	Xkr9	381246
chr1	-	13785684	13786929	Gm5523	433273
chr1	-	14753345	14755966	Msc	17681
chr1	-	14872647	14918862	Trpa1	277328
chr1	+	15805657	15843429	Terf1	21749,
chr1	-	16065978	16093041	4930444P10Rik	75799,
chr1	-	16101295	16104433	Rpl7	19989
chr1	-	16568673	16619338	NA	66799
chr1	-	16540787	16619338	NA	66799
chr1	-	16568673	16619338	Ube2w	66799,
chr1	-	16568673	16619338	NA	66799
chr1	+	16665190	16678275	Tmem70	70397
chr1	+	16665190	16678275	Tmem70	70397
chr1	+	16657551	16662278	D030040B21Rik	329101
chr1	+	16688455	16709605	Ly96	17087
chr1	+	16688455	16709605	Ly96	17087
chr1	+	17145372	17164270	Gdap1	14545
chr1	+	17601900	17630939	Pi15	94227
chr1	+	17727416	17766207	Crispld1	83691,
chr1	-	18115190	18137051	Crisp4	78081,
chr1	-	18260523	18265138	Gm15386	654464
chr1	-	18250977	18265138	Defb41	77673
chr1	-	18236472	18237443	Defb18	654460
chr1	+	19208913	19238734	Tfap2b	21419,
chr1	+	19212053	19238734	Tfap2b	21419,
chr1	+	20356453	20392300	4930486I03Rik	75028
chr1	+	20679009	20679082	NA	NA
chr1	+	20682768	20682887	Mir133b	723817
chr1	+	20730904	20734496	Il17a	16171
chr1	-	20803013	20820213	Mcm3	17215
chr1	-	20777145	20784270	Il17f	257630,
chr1	+	20890621	20938756	Paqr8	74229,
chr1	-	20888649	20890473	6720483E21Rik	77741
chr1	-	21001396	21079225	Tram2	170829
chr1	+	21218630	21230167	Tmem14a	75712,
chr1	+	21349676	21352199	Khdc1a	368204
chr1	-	21285245	21298312	Gm4956	241041
chr1	+	21240588	21265559	Gsta3	14859
chr1	+	21240588	21265559	Gsta3	14859
chr1	+	21383555	21386384	Khdc1b	98582
chr1	+	21368330	21369743	Khdc1c	433278
chr1	-	23100473	23102253	4933415F23Rik	66755
chr1	+	23291700	23291784	Mir30c-2	723964
chr1	+	23272268	23272339	Mir30a	387225
chr1	-	23366423	23383175	Ogfrl1	70155
chr1	+	23761925	23847858	B3gat2	280645,
