#Edge	Score	Prob	Cis/Trans	Collisions
NOC2L--LDLRAP1	0.29667807	0.38093949	CIS	NaN
NOC2L--MIB2	0.28057227	0.12071282	CIS	NaN
NOC2L--MMP23B	0.28057227	0.12071282	CIS	NaN
NOC2L--CDK11B	0.28057227	0.12071282	CIS	NaN
NOC2L--SLC22A15	0.28182276	0.14091746	CIS	NaN
NOC2L--FAF1	0.29783674	0.39966038	CIS	NaN
NOC2L--DPYD	0.28490024	0.19064120	CIS	NaN
NOC2L--PDE4B	0.29256067	0.31441321	CIS	NaN
NOC2L--CSMD2	0.30157246	0.46001964	CIS	NaN
NOC2L--FBLIM1	0.29169786	0.30047263	CIS	NaN
NOC2L--FPGT-TNNI3K	0.29623856	0.37383819	CIS	NaN
NOC2L--TNNI3K	0.29623856	0.37383819	CIS	NaN
NOC2L--RER1	0.28520639	0.19558784	CIS	NaN
NOC2L--PEX10	0.28520639	0.19558784	CIS	NaN
NOC2L--HSPB11	0.29618152	0.37291650	CIS	NaN
NOC2L--LRRC42	0.29618152	0.37291650	CIS	NaN
NOC2L--C1orf159	0.28057227	0.12071282	CIS	NaN
NOC2L--ATAD3A	0.28057227	0.12071282	CIS	NaN
KLHL17--KLHL17	0.28326162	0.16416556	CIS	NaN
KLHL17--PLEKHN1	0.28326162	0.16416556	CIS	NaN
KLHL17--MIB2	0.28057227	0.12071282	CIS	NaN
KLHL17--MMP23B	0.28057227	0.12071282	CIS	NaN
KLHL17--CDK11B	0.28057227	0.12071282	CIS	NaN
KLHL17--SLC22A15	0.28182276	0.14091746	CIS	NaN
KLHL17--FAF1	0.29783674	0.39966038	CIS	NaN
KLHL17--DPYD	0.28490024	0.19064120	CIS	NaN
KLHL17--TTLL10	0.28057227	0.12071282	CIS	NaN
KLHL17--PDE4B	0.29256067	0.31441321	CIS	NaN
KLHL17--CSMD2	0.30157246	0.46001964	CIS	NaN
KLHL17--FBLIM1	0.29169786	0.30047263	CIS	NaN
KLHL17--FPGT-TNNI3K	0.29623856	0.37383819	CIS	NaN
KLHL17--TNNI3K	0.29623856	0.37383819	CIS	NaN
KLHL17--RER1	0.28520639	0.19558784	CIS	NaN
KLHL17--PEX10	0.28520639	0.19558784	CIS	NaN
KLHL17--HSPB11	0.29618152	0.37291650	CIS	NaN
KLHL17--LRRC42	0.29618152	0.37291650	CIS	NaN
KLHL17--C1orf159	0.28057227	0.12071282	CIS	NaN
KLHL17--ATAD3A	0.28057227	0.12071282	CIS	NaN
PLEKHN1--PLEKHN1	0.28326162	0.16416556	CIS	NaN
PLEKHN1--MIB2	0.28057227	0.12071282	CIS	NaN
PLEKHN1--MMP23B	0.28057227	0.12071282	CIS	NaN
PLEKHN1--CDK11B	0.28057227	0.12071282	CIS	NaN
PLEKHN1--SLC22A15	0.28182276	0.14091746	CIS	NaN
PLEKHN1--FAF1	0.29783674	0.39966038	CIS	NaN
PLEKHN1--DPYD	0.28490024	0.19064120	CIS	NaN
PLEKHN1--TTLL10	0.28057227	0.12071282	CIS	NaN
PLEKHN1--PDE4B	0.29256067	0.31441321	CIS	NaN
PLEKHN1--CSMD2	0.30157246	0.46001964	CIS	NaN
PLEKHN1--FBLIM1	0.29169786	0.30047263	CIS	NaN
PLEKHN1--FPGT-TNNI3K	0.29623856	0.37383819	CIS	NaN
PLEKHN1--TNNI3K	0.29623856	0.37383819	CIS	NaN
PLEKHN1--RER1	0.28520639	0.19558784	CIS	NaN
PLEKHN1--PEX10	0.28520639	0.19558784	CIS	NaN
PLEKHN1--HSPB11	0.29618152	0.37291650	CIS	NaN
PLEKHN1--LRRC42	0.29618152	0.37291650	CIS	NaN
PLEKHN1--C1orf159	0.28057227	0.12071282	CIS	NaN
PLEKHN1--ATAD3A	0.28057227	0.12071282	CIS	NaN
PLEKHN1--ISG15	0.28326162	0.16416556	CIS	NaN
PLEKHN1--AGRN	0.28326162	0.16416556	CIS	NaN
PLEKHN1--PRKCZ	0.28057227	0.12071282	CIS	NaN
PLEKHN1--CCNL2	0.28057227	0.12071282	CIS	NaN
PLEKHN1--MRPL20	0.28057227	0.12071282	CIS	NaN
PLEKHN1--TNFRSF18	0.28057227	0.12071282	CIS	NaN
PLEKHN1--TNFRSF4	0.28057227	0.12071282	CIS	NaN
PLEKHN1--SSU72	0.28057227	0.12071282	CIS	NaN
ISG15--SKI	0.28520639	0.19558784	CIS	NaN
ISG15--C1orf159	0.28057227	0.12071282	CIS	NaN
AGRN--SKI	0.28520639	0.19558784	CIS	NaN
AGRN--C1orf159	0.28057227	0.12071282	CIS	NaN
AGRN--RBP7	0.29365873	0.33215491	CIS	NaN
AGRN--TTLL10	0.28057227	0.12071282	CIS	NaN
AGRN--TNFRSF18	0.28057227	0.12071282	CIS	NaN
AGRN--TNFRSF4	0.28057227	0.12071282	CIS	NaN
AGRN--FAM43B	0.29933333	0.42384136	CIS	NaN
AGRN--FAF1	0.29783674	0.39966038	CIS	NaN
AGRN--SDF4	0.28057227	0.12071282	CIS	NaN
AGRN--ATAD3A	0.28057227	0.12071282	CIS	NaN
AGRN--DAB1	0.29945979	0.42588453	CIS	NaN
AGRN--KIAA1751	0.28057227	0.12071282	CIS	NaN
RNF223--CCNL2	0.27790845	0.07767263	CIS	NaN
RNF223--MRPL20	0.27790845	0.07767263	CIS	NaN
RNF223--RNF223	0.27790845	0.07767263	CIS	NaN
RNF223--C1orf159	0.27790845	0.07767263	CIS	NaN
RNF223--SDF4	0.27790845	0.07767263	CIS	NaN
RNF223--KIAA1751	0.27790845	0.07767263	CIS	NaN
RNF223--TTC34	0.28249858	0.15183677	CIS	NaN
RNF223--VWA1	0.27790845	0.07767263	CIS	NaN
RNF223--ATAD3C	0.27790845	0.07767263	CIS	NaN
RNF223--TTLL10	0.27790845	0.07767263	CIS	NaN
RNF223--TNFRSF18	0.27790845	0.07767263	CIS	NaN
RNF223--TNFRSF4	0.27790845	0.07767263	CIS	NaN
RNF223--DVL1	0.27790845	0.07767263	CIS	NaN
RNF223--MXRA8	0.27790845	0.07767263	CIS	NaN
RNF223--ATAD3A	0.27790845	0.07767263	CIS	NaN
RNF223--CEP104	0.28713138	0.22669044	CIS	NaN
RNF223--RLF	0.28966036	0.26755206	CIS	NaN
C1orf159--CCNL2	0.27790845	0.07767263	CIS	NaN
C1orf159--MRPL20	0.27790845	0.07767263	CIS	NaN
C1orf159--C1orf159	0.27790845	0.07767263	CIS	NaN
C1orf159--SDF4	0.27790845	0.07767263	CIS	NaN
C1orf159--KIAA1751	0.27790845	0.07767263	CIS	NaN
C1orf159--TTC34	0.28249858	0.15183677	CIS	NaN
C1orf159--VWA1	0.27790845	0.07767263	CIS	NaN
C1orf159--ATAD3C	0.27790845	0.07767263	CIS	NaN
C1orf159--TTLL10	0.27790845	0.07767263	CIS	NaN
C1orf159--TNFRSF18	0.27790845	0.07767263	CIS	NaN
C1orf159--TNFRSF4	0.27790845	0.07767263	CIS	NaN
C1orf159--DVL1	0.27790845	0.07767263	CIS	NaN
C1orf159--MXRA8	0.27790845	0.07767263	CIS	NaN
C1orf159--ATAD3A	0.27790845	0.07767263	CIS	NaN
C1orf159--CEP104	0.28713138	0.22669044	CIS	NaN
C1orf159--RLF	0.28966036	0.26755206	CIS	NaN
C1orf159--SCNN1D	0.27790845	0.07767263	CIS	NaN
C1orf159--ACAP3	0.27790845	0.07767263	CIS	NaN
C1orf159--B3GALT6	0.27790845	0.07767263	CIS	NaN
C1orf159--FAM132A	0.27790845	0.07767263	CIS	NaN
C1orf159--UBE2J2	0.27790845	0.07767263	CIS	NaN
C1orf159--ATAD3B	0.27790845	0.07767263	CIS	NaN
C1orf159--PRKCZ	0.28249858	0.15183677	CIS	NaN
C1orf159--NADK	0.27790845	0.07767263	CIS	NaN
C1orf159--E2F2	0.29690057	0.38453448	CIS	NaN
C1orf159--PUSL1	0.27790845	0.07767263	CIS	NaN
C1orf159--CPSF3L	0.27790845	0.07767263	CIS	NaN
C1orf159--GLTPD1	0.27790845	0.07767263	CIS	NaN
C1orf159--TAS1R3	0.27790845	0.07767263	CIS	NaN
TTLL10--DVL1	0.27790845	0.07767263	CIS	NaN
TTLL10--MXRA8	0.27790845	0.07767263	CIS	NaN
TTLL10--SEPN1	0.29187786	0.30338087	CIS	NaN
TTLL10--FAM54B	0.29187786	0.30338087	CIS	NaN
TTLL10--PRKCZ	0.28249858	0.15183677	CIS	NaN
TTLL10--TTLL10	0.27790845	0.07767263	CIS	NaN
TTLL10--TNFRSF18	0.27790845	0.07767263	CIS	NaN
TTLL10--TNFRSF4	0.27790845	0.07767263	CIS	NaN
TTLL10--VAMP3	0.28733493	0.22997936	CIS	NaN
TTLL10--CDK11B	0.27790845	0.07767263	CIS	NaN
TTLL10--SLC35E2B	0.27790845	0.07767263	CIS	NaN
TTLL10--SDF4	0.27790845	0.07767263	CIS	NaN
TTLL10--B3GALT6	0.27790845	0.07767263	CIS	NaN
TTLL10--FAM132A	0.27790845	0.07767263	CIS	NaN
TTLL10--UBE2J2	0.27790845	0.07767263	CIS	NaN
TTLL10--SSU72	0.27790845	0.07767263	CIS	NaN
TTLL10--TPRG1L	0.28713138	0.22669044	CIS	NaN
TTLL10--WRAP73	0.28713138	0.22669044	CIS	NaN
TTLL10--GNB1	0.27790845	0.07767263	CIS	NaN
TTLL10--VWA1	0.27790845	0.07767263	CIS	NaN
TTLL10--ATAD3C	0.27790845	0.07767263	CIS	NaN
TTLL10--ACAP3	0.27790845	0.07767263	CIS	NaN
TTLL10--PUSL1	0.27790845	0.07767263	CIS	NaN
TTLL10--CPSF3L	0.27790845	0.07767263	CIS	NaN
TTLL10--GLTPD1	0.27790845	0.07767263	CIS	NaN
TTLL10--TAS1R3	0.27790845	0.07767263	CIS	NaN
TTLL10--CCNL2	0.27790845	0.07767263	CIS	NaN
TTLL10--MRPL20	0.27790845	0.07767263	CIS	NaN
TTLL10--LOC643988	0.27790845	0.07767263	CIS	NaN
TTLL10--KIAA1751	0.27790845	0.07767263	CIS	NaN
TTLL10--SCNN1D	0.27790845	0.07767263	CIS	NaN
TNFRSF18--VWA1	0.27790845	0.07767263	CIS	NaN
TNFRSF18--ATAD3C	0.27790845	0.07767263	CIS	NaN
TNFRSF18--ACAP3	0.27790845	0.07767263	CIS	NaN
TNFRSF18--PUSL1	0.27790845	0.07767263	CIS	NaN
TNFRSF18--CPSF3L	0.27790845	0.07767263	CIS	NaN
TNFRSF18--GLTPD1	0.27790845	0.07767263	CIS	NaN
TNFRSF18--TAS1R3	0.27790845	0.07767263	CIS	NaN
TNFRSF18--DVL1	0.27790845	0.07767263	CIS	NaN
TNFRSF18--SDF4	0.27790845	0.07767263	CIS	NaN
TNFRSF18--TNFRSF18	0.27790845	0.07767263	CIS	NaN
TNFRSF18--TNFRSF4	0.27790845	0.07767263	CIS	NaN
TNFRSF18--CCNL2	0.27790845	0.07767263	CIS	NaN
TNFRSF18--MRPL20	0.27790845	0.07767263	CIS	NaN
TNFRSF18--GNB1	0.27790845	0.07767263	CIS	NaN
TNFRSF18--B3GALT6	0.27790845	0.07767263	CIS	NaN
TNFRSF18--FAM132A	0.27790845	0.07767263	CIS	NaN
TNFRSF18--UBE2J2	0.27790845	0.07767263	CIS	NaN
TNFRSF18--LOC643988	0.27790845	0.07767263	CIS	NaN
TNFRSF18--KIAA1751	0.27790845	0.07767263	CIS	NaN
TNFRSF18--MXRA8	0.27790845	0.07767263	CIS	NaN
TNFRSF18--SCNN1D	0.27790845	0.07767263	CIS	NaN
TNFRSF4--VWA1	0.27790845	0.07767263	CIS	NaN
TNFRSF4--ATAD3C	0.27790845	0.07767263	CIS	NaN
TNFRSF4--ACAP3	0.27790845	0.07767263	CIS	NaN
TNFRSF4--PUSL1	0.27790845	0.07767263	CIS	NaN
TNFRSF4--CPSF3L	0.27790845	0.07767263	CIS	NaN
TNFRSF4--GLTPD1	0.27790845	0.07767263	CIS	NaN
TNFRSF4--TAS1R3	0.27790845	0.07767263	CIS	NaN
TNFRSF4--DVL1	0.27790845	0.07767263	CIS	NaN
TNFRSF4--SDF4	0.27790845	0.07767263	CIS	NaN
TNFRSF4--TNFRSF4	0.27790845	0.07767263	CIS	NaN
TNFRSF4--CCNL2	0.27790845	0.07767263	CIS	NaN
TNFRSF4--MRPL20	0.27790845	0.07767263	CIS	NaN
TNFRSF4--GNB1	0.27790845	0.07767263	CIS	NaN
TNFRSF4--B3GALT6	0.27790845	0.07767263	CIS	NaN
TNFRSF4--FAM132A	0.27790845	0.07767263	CIS	NaN
TNFRSF4--UBE2J2	0.27790845	0.07767263	CIS	NaN
TNFRSF4--LOC643988	0.27790845	0.07767263	CIS	NaN
TNFRSF4--KIAA1751	0.27790845	0.07767263	CIS	NaN
TNFRSF4--MXRA8	0.27790845	0.07767263	CIS	NaN
TNFRSF4--SCNN1D	0.27790845	0.07767263	CIS	NaN
SDF4--SDF4	0.27790845	0.07767263	CIS	NaN
SDF4--B3GALT6	0.27790845	0.07767263	CIS	NaN
SDF4--FAM132A	0.27790845	0.07767263	CIS	NaN
SDF4--UBE2J2	0.27790845	0.07767263	CIS	NaN
SDF4--DVL1	0.27790845	0.07767263	CIS	NaN
SDF4--MXRA8	0.27790845	0.07767263	CIS	NaN
SDF4--VWA1	0.27790845	0.07767263	CIS	NaN
SDF4--SCNN1D	0.27790845	0.07767263	CIS	NaN
SDF4--ACAP3	0.27790845	0.07767263	CIS	NaN
SDF4--ATAD3A	0.27790845	0.07767263	CIS	NaN
SDF4--PRKCZ	0.28249858	0.15183677	CIS	NaN
SDF4--PRDM16	0.28713138	0.22669044	CIS	NaN
SDF4--MMEL1	0.28249858	0.15183677	CIS	NaN
SDF4--MIB2	0.27790845	0.07767263	CIS	NaN
SDF4--ZNF643	0.28966036	0.26755206	CIS	NaN
SDF4--SKI	0.28249858	0.15183677	CIS	NaN
B3GALT6--SCNN1D	0.27790845	0.07767263	CIS	NaN
B3GALT6--ACAP3	0.27790845	0.07767263	CIS	NaN
B3GALT6--ATAD3A	0.27790845	0.07767263	CIS	NaN
B3GALT6--PRKCZ	0.28249858	0.15183677	CIS	NaN
B3GALT6--PRDM16	0.28713138	0.22669044	CIS	NaN
B3GALT6--MMEL1	0.28249858	0.15183677	CIS	NaN
B3GALT6--MIB2	0.27790845	0.07767263	CIS	NaN
B3GALT6--DVL1	0.27790845	0.07767263	CIS	NaN
B3GALT6--MXRA8	0.27790845	0.07767263	CIS	NaN
B3GALT6--ZNF643	0.28966036	0.26755206	CIS	NaN
B3GALT6--SKI	0.28249858	0.15183677	CIS	NaN
FAM132A--SCNN1D	0.27790845	0.07767263	CIS	NaN
FAM132A--ACAP3	0.27790845	0.07767263	CIS	NaN
FAM132A--ATAD3A	0.27790845	0.07767263	CIS	NaN
FAM132A--PRKCZ	0.28249858	0.15183677	CIS	NaN
FAM132A--PRDM16	0.28713138	0.22669044	CIS	NaN
FAM132A--MMEL1	0.28249858	0.15183677	CIS	NaN
FAM132A--MIB2	0.27790845	0.07767263	CIS	NaN
FAM132A--DVL1	0.27790845	0.07767263	CIS	NaN
FAM132A--MXRA8	0.27790845	0.07767263	CIS	NaN
FAM132A--ZNF643	0.28966036	0.26755206	CIS	NaN
FAM132A--SKI	0.28249858	0.15183677	CIS	NaN
UBE2J2--SCNN1D	0.27790845	0.07767263	CIS	NaN
UBE2J2--ACAP3	0.27790845	0.07767263	CIS	NaN
UBE2J2--ATAD3A	0.27790845	0.07767263	CIS	NaN
UBE2J2--PRKCZ	0.28249858	0.15183677	CIS	NaN
UBE2J2--PRDM16	0.28713138	0.22669044	CIS	NaN
UBE2J2--MMEL1	0.28249858	0.15183677	CIS	NaN
UBE2J2--MIB2	0.27790845	0.07767263	CIS	NaN
UBE2J2--DVL1	0.27790845	0.07767263	CIS	NaN
UBE2J2--MXRA8	0.27790845	0.07767263	CIS	NaN
UBE2J2--ZNF643	0.28966036	0.26755206	CIS	NaN
UBE2J2--SKI	0.28249858	0.15183677	CIS	NaN
SCNN1D--GNB1	0.27790845	0.07767263	CIS	NaN
SCNN1D--CCNL2	0.27790845	0.07767263	CIS	NaN
SCNN1D--MRPL20	0.27790845	0.07767263	CIS	NaN
SCNN1D--PRDM2	0.28919460	0.26002659	CIS	NaN
SCNN1D--SCNN1D	0.27790845	0.07767263	CIS	NaN
SCNN1D--ACAP3	0.27790845	0.07767263	CIS	NaN
SCNN1D--CDK11B	0.27790845	0.07767263	CIS	NaN
SCNN1D--CDK11A	0.27790845	0.07767263	CIS	NaN
SCNN1D--SLC35E2	0.27790845	0.07767263	CIS	NaN
SCNN1D--ATAD3A	0.27790845	0.07767263	CIS	NaN
SCNN1D--PUM1	0.29509663	0.35538768	CIS	NaN
SCNN1D--MIB2	0.27790845	0.07767263	CIS	NaN
SCNN1D--MMP23B	0.27790845	0.07767263	CIS	NaN
SCNN1D--PUSL1	0.27790845	0.07767263	CIS	NaN
SCNN1D--CPSF3L	0.27790845	0.07767263	CIS	NaN
SCNN1D--GLTPD1	0.27790845	0.07767263	CIS	NaN
SCNN1D--TAS1R3	0.27790845	0.07767263	CIS	NaN
SCNN1D--DVL1	0.27790845	0.07767263	CIS	NaN
ACAP3--PRDM2	0.28919460	0.26002659	CIS	NaN
ACAP3--GNB1	0.27790845	0.07767263	CIS	NaN
ACAP3--ACAP3	0.27790845	0.07767263	CIS	NaN
ACAP3--CDK11B	0.27790845	0.07767263	CIS	NaN
ACAP3--CDK11A	0.27790845	0.07767263	CIS	NaN
ACAP3--SLC35E2	0.27790845	0.07767263	CIS	NaN
ACAP3--ATAD3A	0.27790845	0.07767263	CIS	NaN
ACAP3--PUM1	0.29509663	0.35538768	CIS	NaN
ACAP3--MIB2	0.27790845	0.07767263	CIS	NaN
ACAP3--MMP23B	0.27790845	0.07767263	CIS	NaN
ACAP3--PUSL1	0.27790845	0.07767263	CIS	NaN
ACAP3--CPSF3L	0.27790845	0.07767263	CIS	NaN
ACAP3--GLTPD1	0.27790845	0.07767263	CIS	NaN
ACAP3--TAS1R3	0.27790845	0.07767263	CIS	NaN
ACAP3--DVL1	0.27790845	0.07767263	CIS	NaN
ACAP3--VWA1	0.27790845	0.07767263	CIS	NaN
ACAP3--ATAD3C	0.27790845	0.07767263	CIS	NaN
ACAP3--ATAD3B	0.27790845	0.07767263	CIS	NaN
PUSL1--VWA1	0.27790845	0.07767263	CIS	NaN
PUSL1--ATAD3C	0.27790845	0.07767263	CIS	NaN
PUSL1--ATAD3B	0.27790845	0.07767263	CIS	NaN
CPSF3L--VWA1	0.27790845	0.07767263	CIS	NaN
CPSF3L--ATAD3C	0.27790845	0.07767263	CIS	NaN
CPSF3L--ATAD3B	0.27790845	0.07767263	CIS	NaN
GLTPD1--VWA1	0.27790845	0.07767263	CIS	NaN
GLTPD1--ATAD3C	0.27790845	0.07767263	CIS	NaN
GLTPD1--ATAD3B	0.27790845	0.07767263	CIS	NaN
TAS1R3--VWA1	0.27790845	0.07767263	CIS	NaN
TAS1R3--ATAD3C	0.27790845	0.07767263	CIS	NaN
TAS1R3--ATAD3B	0.27790845	0.07767263	CIS	NaN
DVL1--VWA1	0.27790845	0.07767263	CIS	NaN
DVL1--ATAD3C	0.27790845	0.07767263	CIS	NaN
DVL1--ATAD3B	0.27790845	0.07767263	CIS	NaN
DVL1--DVL1	0.27790845	0.07767263	CIS	NaN
DVL1--MXRA8	0.27790845	0.07767263	CIS	NaN
DVL1--KIAA1751	0.27790845	0.07767263	CIS	NaN
DVL1--GABRD	0.27790845	0.07767263	CIS	NaN
DVL1--CDK11B	0.27790845	0.07767263	CIS	NaN
DVL1--SLC35E2B	0.27790845	0.07767263	CIS	NaN
MXRA8--MXRA8	0.27790845	0.07767263	CIS	NaN
MXRA8--VWA1	0.27790845	0.07767263	CIS	NaN
MXRA8--ATAD3C	0.27790845	0.07767263	CIS	NaN
MXRA8--KIAA1751	0.27790845	0.07767263	CIS	NaN
MXRA8--GABRD	0.27790845	0.07767263	CIS	NaN
MXRA8--CDK11B	0.27790845	0.07767263	CIS	NaN
MXRA8--SLC35E2B	0.27790845	0.07767263	CIS	NaN
CCNL2--CCNL2	0.27790845	0.07767263	CIS	NaN
CCNL2--MRPL20	0.27790845	0.07767263	CIS	NaN
CCNL2--SSU72	0.27790845	0.07767263	CIS	NaN
CCNL2--SKI	0.28249858	0.15183677	CIS	NaN
CCNL2--KIAA1751	0.27790845	0.07767263	CIS	NaN
CCNL2--VWA1	0.27790845	0.07767263	CIS	NaN
CCNL2--ATAD3A	0.27790845	0.07767263	CIS	NaN
CCNL2--LOC643988	0.27790845	0.07767263	CIS	NaN
CCNL2--MIB2	0.27790845	0.07767263	CIS	NaN
CCNL2--ATAD3C	0.27790845	0.07767263	CIS	NaN
CCNL2--ATAD3B	0.27790845	0.07767263	CIS	NaN
MRPL20--MRPL20	0.27790845	0.07767263	CIS	NaN
MRPL20--SSU72	0.27790845	0.07767263	CIS	NaN
MRPL20--SKI	0.28249858	0.15183677	CIS	NaN
MRPL20--KIAA1751	0.27790845	0.07767263	CIS	NaN
MRPL20--VWA1	0.27790845	0.07767263	CIS	NaN
MRPL20--ATAD3A	0.27790845	0.07767263	CIS	NaN
MRPL20--LOC643988	0.27790845	0.07767263	CIS	NaN
MRPL20--MIB2	0.27790845	0.07767263	CIS	NaN
MRPL20--ATAD3C	0.27790845	0.07767263	CIS	NaN
MRPL20--ATAD3B	0.27790845	0.07767263	CIS	NaN
VWA1--SSU72	0.27790845	0.07767263	CIS	NaN
VWA1--MIB2	0.27790845	0.07767263	CIS	NaN
VWA1--MMP23B	0.27790845	0.07767263	CIS	NaN
VWA1--CDK11B	0.27790845	0.07767263	CIS	NaN
VWA1--ATAD3A	0.27790845	0.07767263	CIS	NaN
VWA1--VWA1	0.27790845	0.07767263	CIS	NaN
VWA1--ATAD3C	0.27790845	0.07767263	CIS	NaN
VWA1--ATAD3B	0.27790845	0.07767263	CIS	NaN
VWA1--KPNA6	0.29592632	0.36879315	CIS	NaN
VWA1--C1orf86	0.28249858	0.15183677	CIS	NaN
VWA1--SLC2A1	0.29675789	0.38222911	CIS	NaN
VWA1--MORN1	0.28249858	0.15183677	CIS	NaN
ATAD3C--ATAD3C	0.27790845	0.07767263	CIS	NaN
ATAD3C--KPNA6	0.29592632	0.36879315	CIS	NaN
ATAD3C--C1orf86	0.28249858	0.15183677	CIS	NaN
ATAD3C--ATAD3A	0.27790845	0.07767263	CIS	NaN
ATAD3C--SLC2A1	0.29675789	0.38222911	CIS	NaN
ATAD3C--MORN1	0.28249858	0.15183677	CIS	NaN
ATAD3C--ATAD3B	0.27790845	0.07767263	CIS	NaN
ATAD3C--MAST2	0.29574079	0.36579557	CIS	NaN
ATAD3C--EIF4G3	0.30511847	0.51731368	CIS	NaN
ATAD3B--ATAD3B	0.27790845	0.07767263	CIS	NaN
ATAD3B--ATAD3A	0.27790845	0.07767263	CIS	NaN
ATAD3B--MAST2	0.29574079	0.36579557	CIS	NaN
ATAD3B--EIF4G3	0.30511847	0.51731368	CIS	NaN
ATAD3B--MIB2	0.27790845	0.07767263	CIS	NaN
ATAD3B--MMP23B	0.27790845	0.07767263	CIS	NaN
ATAD3B--CDK11B	0.27790845	0.07767263	CIS	NaN
ATAD3B--PPT1	0.28966036	0.26755206	CIS	NaN
ATAD3A--MIB2	0.27790845	0.07767263	CIS	NaN
ATAD3A--ATAD3A	0.27790845	0.07767263	CIS	NaN
ATAD3A--MMP23B	0.27790845	0.07767263	CIS	NaN
ATAD3A--CDK11B	0.27790845	0.07767263	CIS	NaN
ATAD3A--SSU72	0.27790845	0.07767263	CIS	NaN
ATAD3A--EIF2C1	0.29453182	0.34626174	CIS	NaN
ATAD3A--SLC35E2B	0.27790845	0.07767263	CIS	NaN
ATAD3A--VWA5B1	0.29649139	0.37792319	CIS	NaN
ATAD3A--CDK11A	0.27790845	0.07767263	CIS	NaN
ATAD3A--GPR153	0.28764379	0.23496964	CIS	NaN
ATAD3A--LOC643988	0.27790845	0.07767263	CIS	NaN
TMEM240--MIB2	0.27790845	0.07767263	CIS	NaN
TMEM240--MMP23B	0.27790845	0.07767263	CIS	NaN
TMEM240--CDK11B	0.27790845	0.07767263	CIS	NaN
SSU72--MIB2	0.27790845	0.07767263	CIS	NaN
SSU72--MMP23B	0.27790845	0.07767263	CIS	NaN
SSU72--CDK11B	0.27790845	0.07767263	CIS	NaN
SSU72--SSU72	0.27790845	0.07767263	CIS	NaN
SSU72--MEGF6	0.28713138	0.22669044	CIS	NaN
SSU72--SLC35E2B	0.27790845	0.07767263	CIS	NaN
SSU72--SLC30A2	0.29187786	0.30338087	CIS	NaN
SSU72--TRIM63	0.29187786	0.30338087	CIS	NaN
SSU72--PRKCZ	0.28249858	0.15183677	CIS	NaN
SSU72--AK5	0.28849513	0.24872504	CIS	NaN
SSU72--CDK11A	0.27790845	0.07767263	CIS	NaN
SSU72--CEP104	0.28713138	0.22669044	CIS	NaN
SSU72--DFFB	0.28713138	0.22669044	CIS	NaN
SSU72--LOC643988	0.27790845	0.07767263	CIS	NaN
SSU72--SKI	0.28249858	0.15183677	CIS	NaN
SSU72--GNB1	0.27790845	0.07767263	CIS	NaN
LOC643988--MIB2	0.27790845	0.07767263	CIS	NaN
LOC643988--MMP23B	0.27790845	0.07767263	CIS	NaN
LOC643988--CDK11B	0.27790845	0.07767263	CIS	NaN
